Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.003724,-15.701776,0.000004,-0.000000,-0.000000,-0.016564,-0.000844,-0.000000,-15.701776,0.000035,0.000000
0.020000,-0.003724,-15.701776,-0.000009,-0.000000,-0.000000,-0.016564,-0.000844,-0.000000,-15.701776,0.000035,0.000000
0.030000,-0.004841,-15.746257,-0.000017,-0.000000,-0.000000,-0.021533,-0.001097,-0.000000,-15.746257,0.000035,0.000000
0.040000,0.002979,-15.657295,-0.000017,-0.000000,-0.000000,0.013251,0.000675,-0.000000,-15.657295,0.000035,0.000000
0.050000,-0.002979,-15.657295,-0.000013,-0.000000,-0.000000,-0.013251,-0.000675,-0.000000,-15.657295,0.000035,0.000000
0.060000,-0.003724,-15.746257,-0.000004,-0.000000,-0.000000,-0.016564,-0.000844,-0.000000,-15.746257,0.000035,0.000000
0.070000,-0.006330,-15.657295,-0.000004,-0.000000,-0.000000,-0.028159,-0.001434,-0.000000,-15.657295,0.000035,0.000000
0.080000,-0.010054,-15.701776,-0.000009,-0.000000,-0.000000,-0.044723,-0.002278,-0.000000,-15.701776,0.000035,0.000000
0.090000,-0.009682,-15.657295,-0.000004,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-15.657295,0.000035,0.000000
0.100000,-0.002234,-15.701776,-0.000004,-0.000000,-0.000000,-0.009938,-0.000506,-0.000000,-15.701776,0.000035,0.000000
0.110000,-0.012288,-15.657295,-0.000009,-0.000000,-0.000000,-0.054661,-0.002785,-0.000000,-15.657295,0.000035,0.000000
0.120000,-0.006330,-15.568333,-0.000004,-0.000000,-0.000000,-0.028159,-0.001434,-0.000000,-15.568333,0.000035,0.000000
0.130000,-0.001117,-15.701776,0.000004,-0.000000,-0.000000,-0.004969,-0.000253,-0.000000,-15.701776,0.000035,0.000000
0.140000,-0.009682,-15.746257,-0.000009,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-15.746257,0.000035,0.000000
0.150000,-0.008192,-15.612814,0.000000,-0.000000,-0.000000,-0.036441,-0.001856,-0.000000,-15.612814,0.000035,0.000000
0.160000,-0.011544,-15.746257,-0.000013,-0.000000,-0.000000,-0.051348,-0.002616,-0.000000,-15.746257,0.000035,0.000000
0.170000,-0.009309,-15.657295,0.000004,-0.000000,-0.000000,-0.041410,-0.002110,-0.000000,-15.657295,0.000035,0.000000
0.180000,-0.004096,-15.657295,0.000004,-0.000000,-0.000000,-0.018220,-0.000928,-0.000000,-15.657295,0.000035,0.000000
0.190000,0.008565,-15.746257,-0.000009,-0.000000,-0.000000,0.038097,0.001941,-0.000000,-15.746257,0.000035,0.000000
0.200000,-0.000372,-15.657295,-0.000009,-0.000000,-0.000000,-0.001656,-0.000084,-0.000000,-15.657295,0.000035,0.000000
0.210000,-0.004468,-15.657295,-0.000017,-0.000000,-0.000000,-0.019877,-0.001013,-0.000000,-15.657295,0.000035,0.000000
0.220000,-0.005958,-15.657295,0.000004,-0.000000,-0.000000,-0.026502,-0.001350,-0.000000,-15.657295,0.000035,0.000000
0.230000,-0.002979,-15.746257,0.000000,-0.000000,-0.000000,-0.013251,-0.000675,-0.000000,-15.746257,0.000035,0.000000
0.240000,-0.001862,-15.657295,-0.000009,-0.000000,-0.000000,-0.008282,-0.000422,-0.000000,-15.657295,0.000035,0.000000
0.250000,-0.004468,-15.701776,-0.000009,-0.000000,-0.000000,-0.019877,-0.001013,-0.000000,-15.701776,0.000035,0.000000
0.260000,-0.005213,-15.701776,-0.000013,-0.000000,-0.000000,-0.023189,-0.001181,-0.000000,-15.701776,0.000035,0.000000
0.270000,-0.005586,-15.657295,-0.000013,-0.000000,-0.000000,-0.024846,-0.001266,-0.000000,-15.657295,0.000035,0.000000
0.280000,-0.008192,-15.657295,-0.000004,-0.000000,-0.000000,-0.036441,-0.001856,-0.000000,-15.657295,0.000035,0.000000
