Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.011544,-1294.618042,-0.000043,-0.000000,-0.000000,-0.051348,-0.002616,-0.000000,-1294.618042,0.000208,0.000000
0.020000,-0.006703,-1294.618042,-0.000207,-0.000000,-0.000000,-0.029815,-0.001519,-0.000000,-1294.618042,0.000208,0.000000
0.030000,-0.001489,-1294.618042,-0.000151,-0.000000,-0.000000,-0.006625,-0.000338,-0.000000,-1294.618042,0.000208,0.000000
0.040000,-0.010426,-1294.618042,-0.000229,-0.000000,-0.000000,-0.046379,-0.002363,-0.000000,-1294.618042,0.000208,0.000000
0.050000,-0.015267,-1294.573608,-0.000172,-0.000000,-0.000000,-0.067912,-0.003460,-0.000000,-1294.573608,0.000208,0.000000
0.060000,-0.004096,-1294.662598,-0.000069,-0.000000,-0.000000,-0.018220,-0.000928,-0.000000,-1294.662598,0.000208,0.000000
0.070000,-0.020108,-1294.618042,-0.000177,-0.000000,-0.000000,-0.089445,-0.004557,-0.000000,-1294.618042,0.000208,0.000000
0.080000,-0.027928,-1294.618042,0.000000,-0.000000,-0.000000,-0.124230,-0.006329,-0.000000,-1294.618042,0.000208,0.000000
0.090000,-0.043940,-1294.573608,-0.000177,-0.000000,-0.000000,-0.195455,-0.009957,-0.000000,-1294.573608,0.000208,0.000000
0.100000,-0.027556,-1294.618042,-0.000116,-0.000000,-0.000000,-0.122573,-0.006244,-0.000000,-1294.618042,0.000208,0.000000
0.110000,-0.018619,-1294.618042,0.000099,-0.000000,-0.000000,-0.082820,-0.004219,-0.000000,-1294.618042,0.000208,0.000000
0.120000,-0.015640,-1294.618042,-0.000039,-0.000000,-0.000000,-0.069568,-0.003544,-0.000000,-1294.618042,0.000208,0.000000
0.130000,-0.023087,-1294.618042,-0.000164,-0.000000,-0.000000,-0.102696,-0.005232,-0.000000,-1294.618042,0.000208,0.000000
0.140000,-0.027556,-1294.662598,-0.000022,-0.000000,-0.000000,-0.122573,-0.006244,-0.000000,-1294.662598,0.000208,0.000000
0.150000,-0.026811,-1294.618042,-0.000190,-0.000000,-0.000000,-0.119260,-0.006075,-0.000000,-1294.618042,0.000208,0.000000
0.160000,-0.010426,-1294.662598,-0.000073,-0.000000,-0.000000,-0.046379,-0.002363,-0.000000,-1294.662598,0.000208,0.000000
0.170000,-0.018619,-1294.618042,0.000129,-0.000000,-0.000000,-0.082820,-0.004219,-0.000000,-1294.618042,0.000208,0.000000
0.180000,-0.027556,-1294.573608,-0.000022,-0.000000,-0.000000,-0.122573,-0.006244,-0.000000,-1294.573608,0.000208,0.000000
0.190000,-0.009682,-1294.662598,-0.000142,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-1294.662598,0.000208,0.000000
0.200000,-0.010799,-1294.618042,-0.000060,-0.000000,-0.000000,-0.048035,-0.002447,-0.000000,-1294.618042,0.000208,0.000000
0.210000,-0.008565,-1294.618042,0.000022,-0.000000,-0.000000,-0.038097,-0.001941,-0.000000,-1294.618042,0.000208,0.000000
0.220000,-0.016757,-1294.529175,-0.000108,-0.000000,-0.000000,-0.074538,-0.003797,-0.000000,-1294.529175,0.000208,0.000000
0.230000,-0.024949,-1294.618042,-0.000155,-0.000000,-0.000000,-0.110978,-0.005654,-0.000000,-1294.618042,0.000208,0.000000
0.240000,-0.016757,-1294.662598,-0.000043,-0.000000,-0.000000,-0.074538,-0.003797,-0.000000,-1294.662598,0.000208,0.000000
