Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.032396,-38.075695,0.016755,-0.044286,-1.124861,0.144106,0.007341,-11.248610,-38.075695,-1.125009,0.000000
0.120000,0.030535,-38.075695,0.016755,-0.044286,-1.124861,0.135824,0.006919,-11.248610,-38.075695,-1.125009,0.000000
0.130000,0.022342,-38.075695,0.016750,-0.044286,-1.124861,0.099384,0.005063,-11.248610,-38.075695,-1.125009,0.000000
0.140000,0.021598,-38.120174,0.016746,-0.044286,-1.124861,0.096071,0.004894,-11.248610,-38.120174,-1.125009,0.000000
0.150000,0.026438,-38.120174,0.016742,-0.044286,-1.124861,0.117604,0.005991,-11.248610,-38.120174,-1.125009,0.000000
0.160000,0.030907,-38.075695,0.016759,-0.044286,-1.124861,0.137481,0.007004,-11.248610,-38.075695,-1.125009,0.000000
0.170000,0.035003,-38.120174,0.016737,-0.044286,-1.124861,0.155701,0.007932,-11.248610,-38.120174,-1.125009,0.000000
0.180000,0.035003,-38.075695,0.016750,-0.044286,-1.124861,0.155701,0.007932,-11.248610,-38.075695,-1.125009,0.000000
0.190000,0.031279,-38.120174,0.016746,-0.044286,-1.124861,0.139137,0.007088,-11.248610,-38.120174,-1.125009,0.000000
0.200000,0.025321,-38.120174,0.016742,-0.044286,-1.124861,0.112635,0.005738,-11.248610,-38.120174,-1.125009,0.000000
0.210000,0.032024,-38.120174,0.016746,-0.044286,-1.124861,0.142450,0.007257,-11.248610,-38.120174,-1.125009,0.000000
0.220000,0.034258,-38.075695,0.016755,-0.044286,-1.124861,0.152388,0.007763,-11.248610,-38.075695,-1.125009,0.000000
0.230000,0.023087,-38.075695,0.016746,-0.044286,-1.124861,0.102696,0.005232,-11.248610,-38.075695,-1.125009,0.000000
