Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.006703,-37.319519,0.000022,-0.000000,-0.000000,0.029815,0.001519,-0.000000,-37.319519,-0.000069,0.000000
0.120000,0.001117,-37.230556,0.000026,-0.000000,-0.000000,0.004969,0.000253,-0.000000,-37.230556,-0.000069,0.000000
0.130000,0.004468,-37.275036,0.000026,-0.000000,-0.000000,0.019877,0.001013,-0.000000,-37.275036,-0.000069,0.000000
0.140000,-0.000372,-37.363998,0.000013,-0.000000,-0.000000,-0.001657,-0.000084,-0.000000,-37.363998,-0.000069,0.000000
0.150000,-0.003351,-37.186073,0.000026,-0.000000,-0.000000,-0.014908,-0.000759,-0.000000,-37.186073,-0.000069,0.000000
0.160000,-0.002234,-37.230556,0.000022,-0.000000,-0.000000,-0.009939,-0.000506,-0.000000,-37.230556,-0.000069,0.000000
0.170000,-0.000000,-37.230556,0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-37.230556,-0.000069,0.000000
0.180000,0.010426,-37.230556,0.000022,-0.000000,-0.000000,0.046379,0.002363,-0.000000,-37.230556,-0.000069,0.000000
0.190000,0.006330,-37.319519,0.000022,-0.000000,-0.000000,0.028159,0.001434,-0.000000,-37.319519,-0.000069,0.000000
0.200000,-0.001862,-37.275036,0.000017,-0.000000,-0.000000,-0.008282,-0.000422,-0.000000,-37.275036,-0.000069,0.000000
0.210000,0.003724,-37.275036,0.000030,-0.000000,-0.000000,0.016564,0.000844,-0.000000,-37.275036,-0.000069,0.000000
0.220000,0.007075,-37.319519,0.000030,-0.000000,-0.000000,0.031471,0.001603,-0.000000,-37.319519,-0.000069,0.000000
0.230000,-0.001117,-37.275036,0.000009,-0.000000,-0.000000,-0.004969,-0.000253,-0.000000,-37.275036,-0.000069,0.000000
0.240000,0.004468,-37.319519,0.000022,-0.000000,-0.000000,0.019877,0.001013,-0.000000,-37.319519,-0.000069,0.000000
0.250000,0.002234,-37.230556,0.000022,-0.000000,-0.000000,0.009938,0.000506,-0.000000,-37.230556,-0.000069,0.000000
0.260000,0.004841,-37.275036,0.000026,-0.000000,-0.000000,0.021533,0.001097,-0.000000,-37.275036,-0.000069,0.000000
0.270000,0.006703,-37.230556,0.000017,-0.000000,-0.000000,0.029815,0.001519,-0.000000,-37.230556,-0.000069,0.000000
