Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,0.002975,-513.265686,0.000004,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-513.265686,0.000191,0.000000
0.020000,0.002975,-513.221191,-0.000009,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-513.221191,0.000191,0.000000
0.030000,0.001114,-513.265686,0.000009,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-513.265686,0.000191,0.000000
0.040000,0.008560,-513.221191,0.000000,-0.000000,-0.000000,0.038078,0.001940,-0.000000,-513.221191,0.000191,0.000000
0.050000,-0.003357,-513.310181,0.000013,-0.000000,-0.000000,-0.014932,-0.000761,-0.000000,-513.310181,0.000191,0.000000
0.060000,-0.006706,-513.265686,0.000000,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-513.265686,0.000191,0.000000
0.070000,-0.002983,-513.265686,0.000009,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-513.265686,0.000191,0.000000
0.080000,0.005211,-513.221191,0.000004,-0.000000,-0.000000,0.023179,0.001181,-0.000000,-513.221191,0.000191,0.000000
0.090000,0.000366,-513.221191,-0.000004,-0.000000,-0.000000,0.001629,0.000083,-0.000000,-513.221191,0.000191,0.000000
0.100000,0.006699,-513.310181,0.000017,-0.000000,-0.000000,0.029797,0.001518,-0.000000,-513.310181,0.000191,0.000000
0.110000,-0.002983,-513.265686,-0.000022,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-513.265686,0.000191,0.000000
0.120000,0.008186,-513.265686,0.000017,-0.000000,-0.000000,0.036415,0.001855,-0.000000,-513.265686,0.000191,0.000000
0.130000,0.006699,-513.310181,-0.000009,-0.000000,-0.000000,0.029797,0.001518,-0.000000,-513.310181,0.000191,0.000000
0.140000,0.007446,-513.265686,0.000017,-0.000000,-0.000000,0.033123,0.001687,-0.000000,-513.265686,0.000191,0.000000
0.150000,-0.006706,-513.265686,-0.000013,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-513.265686,0.000191,0.000000
0.160000,0.000366,-513.221191,-0.000013,-0.000000,-0.000000,0.001629,0.000083,-0.000000,-513.221191,0.000191,0.000000
0.170000,-0.008194,-513.310181,0.000000,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-513.310181,0.000191,0.000000
0.180000,0.002975,-513.310181,-0.000004,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-513.310181,0.000191,0.000000
0.190000,0.006699,-513.265686,0.000000,-0.000000,-0.000000,0.029797,0.001518,-0.000000,-513.265686,0.000191,0.000000
0.200000,0.001862,-513.310181,-0.000004,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-513.310181,0.000191,0.000000
0.210000,-0.001862,-513.221191,0.000009,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-513.221191,0.000191,0.000000
0.220000,-0.004097,-513.265686,-0.000009,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-513.265686,0.000191,0.000000
0.230000,-0.002609,-513.265686,0.000000,-0.000000,-0.000000,-0.011607,-0.000591,-0.000000,-513.265686,0.000191,0.000000
0.240000,-0.000000,-513.265686,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-513.265686,0.000191,0.000000
0.250000,-0.002983,-513.310181,0.000009,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-513.310181,0.000191,0.000000
0.260000,-0.000374,-513.310181,0.000000,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-513.310181,0.000191,0.000000
0.270000,-0.004471,-513.265686,0.000004,-0.000000,-0.000000,-0.019887,-0.001013,-0.000000,-513.265686,0.000191,0.000000
0.280000,-0.009682,-513.265686,0.000000,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-513.265686,0.000191,0.000000
0.290000,0.000740,-513.221191,0.000013,-0.000000,-0.000000,0.003292,0.000168,-0.000000,-513.221191,0.000191,0.000000
0.300000,-0.001122,-513.310181,0.000000,-0.000000,-0.000000,-0.004989,-0.000254,-0.000000,-513.310181,0.000191,0.000000
0.310000,-0.000748,-513.265686,-0.000009,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-513.265686,0.000191,0.000000
0.320000,-0.004097,-513.221191,-0.000004,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-513.221191,0.000191,0.000000
0.330000,0.002602,-513.310181,0.000004,-0.000000,-0.000000,0.011573,0.000590,-0.000000,-513.310181,0.000191,0.000000
0.340000,0.001488,-513.221191,0.000000,0.000000,0.000009,0.006618,0.000337,0.000087,-513.221191,0.000277,0.000000
0.350000,-0.002609,-513.310181,0.000000,0.000001,0.000026,-0.011607,-0.000591,0.000257,-513.310181,0.000451,0.000000
0.360000,0.016380,-513.221191,0.000004,0.000002,0.000043,0.072863,0.003712,0.000431,-513.221191,0.000624,0.000000
0.370000,-0.008942,-513.221191,0.000013,0.000005,0.000121,-0.039774,-0.002026,0.001211,-513.221191,0.000780,0.000000
0.380000,0.011169,-513.265686,-0.000004,0.000010,0.000251,0.049684,0.002531,0.002513,-513.265686,0.000954,0.000000
0.390000,0.013031,-513.221191,0.000004,0.000017,0.000433,0.057965,0.002953,0.004334,-513.221191,0.001110,0.000000
0.400000,0.028671,-513.265686,-0.000009,0.000025,0.000633,0.127536,0.006497,0.006328,-513.265686,0.001283,0.000000
0.410000,0.036491,-513.310181,-0.000009,0.000034,0.000858,0.162322,0.008269,0.008584,-513.310181,0.001457,0.000000
0.420000,0.021225,-513.310181,0.000009,0.000044,0.001110,0.094413,0.004810,0.011101,-513.310181,0.001613,0.000000
0.430000,0.001488,-513.265686,0.000004,0.000053,0.001344,0.006618,0.000337,0.013440,-513.265686,0.001786,0.000000
0.440000,0.010048,-513.221191,-0.000009,0.000059,0.001509,0.044695,0.002277,0.015090,-513.221191,0.001942,0.000000
0.450000,0.016754,-513.310181,-0.000017,0.000065,0.001639,0.074526,0.003797,0.016389,-513.310181,0.002116,0.000000
0.460000,-0.002609,-513.265686,0.000009,0.000069,0.001752,-0.011607,-0.000591,0.017516,-513.265686,0.002289,0.000000
0.470000,-0.029793,-513.310181,0.000000,0.000074,0.001891,-0.132525,-0.006751,0.018906,-513.310181,0.002445,0.000000
0.480000,-0.023834,-513.310181,-0.000013,0.000080,0.002029,-0.106020,-0.005401,0.020291,-513.310181,0.002619,0.000000
0.490000,-0.001862,-513.265686,0.000009,0.000085,0.002168,-0.008281,-0.000422,0.021680,-513.265686,0.002775,0.000000
0.500000,-0.003357,-513.310181,0.000000,0.000090,0.002298,-0.014932,-0.000761,0.022982,-513.310181,0.002948,0.000000
0.510000,0.005959,-513.265686,0.000009,0.000095,0.002419,0.026505,0.001350,0.024193,-513.265686,0.003122,0.000000
0.520000,-0.011177,-513.354675,-0.000004,0.000100,0.002532,-0.049718,-0.002533,0.025321,-513.354675,0.003278,0.000000
0.530000,-0.025322,-513.221191,0.000000,0.000105,0.002662,-0.112638,-0.005738,0.026623,-513.221191,0.003451,0.000000
0.540000,-0.020859,-513.221191,0.000000,0.000111,0.002827,-0.092784,-0.004727,0.028269,-513.221191,0.003607,0.000000
0.550000,-0.020111,-513.310181,-0.000022,0.000117,0.002983,-0.089459,-0.004557,0.029833,-513.310181,0.003781,0.000000
0.560000,-0.005219,-513.310181,-0.000022,0.000123,0.003122,-0.023213,-0.001183,0.031218,-513.310181,0.003954,0.000000
0.570000,0.010048,-513.265686,0.000004,0.000128,0.003243,0.044695,0.002277,0.032433,-513.265686,0.004110,0.000000
0.580000,0.005959,-513.310181,-0.000009,0.000133,0.003373,0.026505,0.001350,0.033735,-513.310181,0.004284,0.000000
0.590000,0.017128,-513.221191,0.000000,0.000137,0.003486,0.076189,0.003881,0.034863,-513.221191,0.004457,0.000000
0.600000,0.017128,-513.354675,0.000013,0.000141,0.003582,0.076189,0.003881,0.035816,-513.354675,0.004613,0.000000
0.610000,0.018242,-513.265686,0.000009,0.000147,0.003729,0.081144,0.004134,0.037289,-513.265686,0.004787,0.000000
0.620000,0.022339,-513.310181,0.000013,0.000155,0.003946,0.099368,0.005062,0.039458,-513.310181,0.004943,0.000000
0.630000,0.010796,-513.221191,-0.000009,0.000164,0.004171,0.048021,0.002446,0.041713,-513.221191,0.005116,0.000000
0.640000,0.016754,-513.221191,0.000017,0.000172,0.004380,0.074526,0.003797,0.043795,-513.221191,0.005290,0.000000
0.650000,0.016006,-513.310181,0.000000,0.000179,0.004553,0.071200,0.003627,0.045529,-513.310181,0.005446,0.000000
0.660000,0.016754,-513.265686,0.000009,0.000185,0.004692,0.074526,0.003797,0.046918,-513.265686,0.005619,0.000000
0.670000,0.020477,-513.310181,0.000004,0.000189,0.004813,0.091088,0.004640,0.048129,-513.310181,0.005776,0.000000
0.680000,0.018616,-513.265686,0.000013,0.000194,0.004934,0.082807,0.004218,0.049344,-513.265686,0.005949,0.000000
0.690000,-0.014900,-513.221191,0.000013,0.000199,0.005056,-0.066279,-0.003376,0.050559,-513.221191,0.006122,0.000000
0.700000,-0.018997,-513.310181,0.000030,0.000204,0.005186,-0.084504,-0.004305,0.051861,-513.310181,0.006279,0.000000
0.710000,-0.007820,-513.265686,0.000034,0.000210,0.005333,-0.034786,-0.001772,0.053333,-513.265686,0.006452,0.000000
0.720000,-0.011917,-513.310181,0.000039,0.000216,0.005498,-0.053010,-0.002700,0.054979,-513.310181,0.006608,0.000000
0.730000,-0.012291,-513.310181,0.000034,0.000222,0.005646,-0.054673,-0.002785,0.056455,-513.310181,0.006782,0.000000
0.740000,-0.011177,-513.265686,0.000039,0.000228,0.005801,-0.049718,-0.002533,0.058015,-513.265686,0.006955,0.000000
0.750000,0.006699,-513.265686,0.000052,0.000236,0.005992,0.029797,0.001518,0.059922,-513.265686,0.007111,0.000000
0.760000,0.007446,-513.265686,0.000065,0.000244,0.006209,0.033123,0.001687,0.062091,-513.265686,0.007284,0.000000
0.770000,0.009682,-513.265686,0.000095,0.000253,0.006417,0.043066,0.002194,0.064173,-513.265686,0.007441,0.000000
0.780000,0.007446,-513.310181,0.000078,0.000260,0.006599,0.033123,0.001687,0.065993,-513.310181,0.007614,0.000000
0.790000,0.015266,-513.310181,0.000073,0.000265,0.006730,0.067908,0.003459,0.067295,-513.310181,0.007787,0.000000
0.800000,0.021599,-513.310181,0.000095,0.000268,0.006808,0.096076,0.004894,0.068075,-513.310181,0.007944,0.000000
0.810000,0.042076,-513.265686,0.000108,0.000272,0.006912,0.187164,0.009535,0.069116,-513.265686,0.008117,0.000000
