Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.010056,-622.155090,0.000000,-0.000000,-0.000000,-0.044729,-0.002279,-0.000000,-622.155090,0.000260,0.000000
0.020000,-0.011169,-622.155090,0.000009,-0.000000,-0.000000,-0.049684,-0.002531,-0.000000,-622.155090,0.000260,0.000000
0.030000,-0.009682,-622.244019,0.000009,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-622.244019,0.000260,0.000000
0.040000,-0.007080,-622.199524,0.000000,-0.000000,-0.000000,-0.031494,-0.001604,-0.000000,-622.199524,0.000260,0.000000
0.050000,-0.009308,-622.199524,0.000017,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-622.199524,0.000260,0.000000
0.060000,-0.013405,-622.155090,-0.000017,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-622.155090,0.000260,0.000000
0.070000,-0.010429,-622.199524,0.000009,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-622.199524,0.000260,0.000000
0.080000,-0.011169,-622.199524,-0.000009,-0.000000,-0.000000,-0.049684,-0.002531,-0.000000,-622.199524,0.000260,0.000000
0.090000,-0.013405,-622.155090,0.000022,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-622.155090,0.000260,0.000000
0.100000,-0.020485,-622.199524,0.000013,-0.000000,-0.000000,-0.091121,-0.004642,-0.000000,-622.199524,0.000260,0.000000
0.110000,-0.021599,-622.110596,0.000004,-0.000000,-0.000000,-0.096076,-0.004894,-0.000000,-622.110596,0.000260,0.000000
0.120000,-0.015266,-622.199524,0.000017,-0.000000,-0.000000,-0.067908,-0.003459,-0.000000,-622.199524,0.000260,0.000000
0.130000,-0.020111,-622.244019,0.000000,-0.000000,-0.000000,-0.089459,-0.004557,-0.000000,-622.244019,0.000260,0.000000
0.140000,-0.018623,-622.110596,0.000017,-0.000000,-0.000000,-0.082841,-0.004220,-0.000000,-622.110596,0.000260,0.000000
0.150000,-0.021973,-622.199524,0.000009,-0.000000,-0.000000,-0.097739,-0.004979,-0.000000,-622.199524,0.000260,0.000000
0.160000,-0.019363,-622.199524,-0.000009,-0.000000,-0.000000,-0.086133,-0.004388,-0.000000,-622.199524,0.000260,0.000000
0.170000,-0.013779,-622.155090,0.000000,-0.000000,-0.000000,-0.061291,-0.003122,-0.000000,-622.155090,0.000260,0.000000
0.180000,-0.013405,-622.199524,0.000009,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-622.199524,0.000260,0.000000
0.190000,-0.014526,-622.066101,0.000009,-0.000000,-0.000000,-0.064617,-0.003292,-0.000000,-622.066101,0.000260,0.000000
0.200000,-0.004845,-622.244019,0.000009,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-622.244019,0.000260,0.000000
0.210000,-0.010429,-622.155090,-0.000017,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-622.155090,0.000260,0.000000
0.220000,-0.010803,-622.110596,0.000000,-0.000000,-0.000000,-0.048055,-0.002448,-0.000000,-622.110596,0.000260,0.000000
0.230000,-0.019363,-622.244019,0.000009,-0.000000,-0.000000,-0.086133,-0.004388,-0.000000,-622.244019,0.000260,0.000000
0.240000,-0.021599,-622.155090,0.000000,-0.000000,-0.000000,-0.096076,-0.004894,-0.000000,-622.155090,0.000260,0.000000
0.250000,-0.006332,-622.199524,0.000004,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-622.199524,0.000260,0.000000
0.260000,-0.002235,-622.155090,0.000000,-0.000000,-0.000000,-0.009944,-0.000507,-0.000000,-622.155090,0.000260,0.000000
0.270000,-0.017876,-622.110596,0.000004,-0.000000,-0.000000,-0.079515,-0.004051,-0.000000,-622.110596,0.000260,0.000000
0.280000,-0.004471,-622.199524,0.000009,-0.000000,-0.000000,-0.019887,-0.001013,-0.000000,-622.199524,0.000260,0.000000
0.290000,-0.020111,-622.155090,-0.000004,-0.000000,-0.000000,-0.089459,-0.004557,-0.000000,-622.155090,0.000260,0.000000
0.300000,-0.021973,-622.244019,0.000009,-0.000000,-0.000000,-0.097739,-0.004979,-0.000000,-622.244019,0.000260,0.000000
0.310000,-0.010056,-622.155090,-0.000004,-0.000000,-0.000000,-0.044729,-0.002279,-0.000000,-622.155090,0.000260,0.000000
0.320000,-0.017876,-622.199524,-0.000004,-0.000000,-0.000000,-0.079515,-0.004051,-0.000000,-622.199524,0.000260,0.000000
0.330000,-0.016388,-622.199524,0.000004,-0.000000,-0.000000,-0.072897,-0.003714,-0.000000,-622.199524,0.000312,0.000000
0.340000,-0.034630,-622.110596,0.000004,0.000001,0.000026,-0.154041,-0.007847,0.000261,-622.110596,0.000486,0.000000
0.350000,-0.042084,-622.155090,-0.000004,0.000004,0.000095,-0.187198,-0.009536,0.000954,-622.155090,0.000642,0.000000
0.360000,-0.036491,-622.155090,-0.000013,0.000008,0.000208,-0.162322,-0.008269,0.002082,-622.155090,0.000815,0.000000
0.370000,-0.031281,-622.110596,0.000004,0.000013,0.000330,-0.139143,-0.007088,0.003297,-622.110596,0.000989,0.000000
0.380000,-0.034264,-622.155090,0.000000,0.000018,0.000451,-0.152412,-0.007764,0.004508,-622.155090,0.001145,0.000000
0.390000,-0.047295,-622.066101,0.000013,0.000024,0.000616,-0.210377,-0.010717,0.006158,-622.066101,0.001318,0.000000
0.400000,-0.054741,-622.244019,-0.000004,0.000033,0.000841,-0.243500,-0.012404,0.008414,-622.244019,0.001492,0.000000
0.410000,-0.035378,-622.155090,0.000000,0.000042,0.001075,-0.157367,-0.008017,0.010753,-622.155090,0.001648,0.000000
0.420000,-0.043571,-622.199524,0.000000,0.000051,0.001283,-0.193816,-0.009873,0.012835,-622.199524,0.001821,0.000000
0.430000,-0.074104,-622.155090,0.000004,0.000058,0.001474,-0.329632,-0.016792,0.014742,-622.155090,0.001977,0.000000
0.440000,-0.062935,-622.110596,0.000000,0.000064,0.001622,-0.279948,-0.014261,0.016218,-622.110596,0.002151,0.000000
0.450000,-0.051765,-622.244019,0.000004,0.000067,0.001709,-0.230264,-0.011730,0.017085,-622.244019,0.002324,0.000000
0.460000,-0.033142,-622.155090,0.000000,0.000071,0.001804,-0.147423,-0.007510,0.018039,-622.155090,0.002480,0.000000
0.470000,-0.023460,-622.155090,0.000013,0.000075,0.001917,-0.104357,-0.005316,0.019167,-622.155090,0.002654,0.000000
0.480000,-0.032402,-622.244019,-0.000004,0.000081,0.002055,-0.144131,-0.007342,0.020552,-622.244019,0.002810,0.000000
0.490000,-0.034264,-622.155090,0.000000,0.000087,0.002203,-0.152412,-0.007764,0.022028,-622.155090,0.002983,0.000000
0.500000,-0.045433,-622.244019,-0.000013,0.000092,0.002324,-0.202096,-0.010295,0.023243,-622.244019,0.003157,0.000000
0.510000,-0.046173,-622.110596,0.000000,0.000095,0.002420,-0.205388,-0.010463,0.024197,-622.110596,0.003313,0.000000
0.520000,-0.031281,-622.199524,0.000009,0.000099,0.002515,-0.139143,-0.007088,0.025151,-622.199524,0.003486,0.000000
0.530000,-0.026810,-622.244019,-0.000004,0.000105,0.002671,-0.119255,-0.006075,0.026710,-622.244019,0.003642,0.000000
0.540000,-0.033142,-622.110596,0.000004,0.000114,0.002897,-0.147423,-0.007510,0.028966,-622.110596,0.003816,0.000000
