Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.019737,-303.048706,0.000004,-0.000000,-0.000000,-0.087796,-0.004473,-0.000000,-303.048706,-0.000113,0.000000
0.020000,-0.014900,-303.093201,0.000004,-0.000000,-0.000000,-0.066279,-0.003376,-0.000000,-303.093201,-0.000113,0.000000
0.030000,-0.016388,-303.093201,0.000004,-0.000000,-0.000000,-0.072897,-0.003714,-0.000000,-303.093201,-0.000113,0.000000
0.040000,-0.021973,-303.093201,-0.000009,-0.000000,-0.000000,-0.097739,-0.004979,-0.000000,-303.093201,-0.000113,0.000000
0.050000,-0.014526,-303.093201,0.000000,-0.000000,-0.000000,-0.064617,-0.003292,-0.000000,-303.093201,-0.000113,0.000000
0.060000,-0.005219,-303.048706,0.000000,-0.000000,-0.000000,-0.023213,-0.001183,-0.000000,-303.048706,-0.000113,0.000000
0.070000,-0.012291,-303.182159,0.000000,-0.000000,-0.000000,-0.054673,-0.002785,-0.000000,-303.182159,-0.000113,0.000000
0.080000,-0.015640,-303.093201,0.000004,-0.000000,-0.000000,-0.069571,-0.003544,-0.000000,-303.093201,-0.000113,0.000000
0.090000,-0.014153,-303.093201,-0.000004,-0.000000,-0.000000,-0.062954,-0.003207,-0.000000,-303.093201,-0.000113,0.000000
0.100000,-0.011543,-303.048706,0.000013,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-303.048706,-0.000113,0.000000
0.110000,-0.008942,-303.048706,0.000004,-0.000000,-0.000000,-0.039774,-0.002026,-0.000000,-303.048706,-0.000113,0.000000
0.120000,-0.004845,-303.137695,-0.000004,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-303.137695,-0.000113,0.000000
0.130000,-0.010803,-303.137695,-0.000009,-0.000000,-0.000000,-0.048055,-0.002448,-0.000000,-303.137695,-0.000113,0.000000
0.140000,-0.010056,-303.093201,0.000009,-0.000000,-0.000000,-0.044729,-0.002279,-0.000000,-303.093201,-0.000113,0.000000
0.150000,-0.013405,-303.137695,0.000013,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-303.137695,-0.000113,0.000000
0.160000,-0.018250,-303.004242,0.000022,-0.000000,-0.000000,-0.081178,-0.004135,-0.000000,-303.004242,-0.000113,0.000000
0.170000,-0.016388,-303.137695,0.000013,-0.000000,-0.000000,-0.072897,-0.003714,-0.000000,-303.137695,-0.000113,0.000000
