Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.006332,-276.137756,0.000013,-0.000000,-0.000000,0.028168,0.001435,-0.000000,-276.137756,0.000208,0.000000
0.120000,0.009315,-276.093262,0.000009,-0.000000,-0.000000,0.041437,0.002111,-0.000000,-276.093262,0.000208,0.000000
0.130000,0.012291,-276.182220,0.000004,-0.000000,-0.000000,0.054673,0.002785,-0.000000,-276.182220,0.000208,0.000000
0.140000,-0.003723,-276.004303,0.000009,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-276.004303,0.000208,0.000000
0.150000,-0.007072,-276.093262,0.000026,-0.000000,-0.000000,-0.031460,-0.001603,-0.000000,-276.093262,0.000208,0.000000
0.160000,-0.000000,-276.093262,0.000009,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-276.093262,0.000208,0.000000
0.170000,-0.000000,-276.048767,0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-276.048767,0.000208,0.000000
0.180000,0.001122,-276.137756,0.000009,-0.000000,-0.000000,0.004989,0.000254,-0.000000,-276.137756,0.000208,0.000000
0.190000,0.004845,-276.137756,0.000009,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-276.137756,0.000208,0.000000
0.200000,0.004845,-276.093262,0.000004,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-276.093262,0.000208,0.000000
0.210000,0.009682,-276.137756,0.000013,-0.000000,-0.000000,0.043066,0.002194,-0.000000,-276.137756,0.000208,0.000000
0.220000,0.008194,-276.093262,0.000009,-0.000000,-0.000000,0.036449,0.001857,-0.000000,-276.093262,0.000208,0.000000
0.230000,0.002983,-276.093262,0.000009,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-276.093262,0.000208,0.000000
0.240000,0.009315,-276.093262,-0.000004,-0.000000,-0.000000,0.041437,0.002111,-0.000000,-276.093262,0.000208,0.000000
0.250000,0.007454,-276.048767,0.000026,-0.000000,-0.000000,0.033157,0.001689,-0.000000,-276.048767,0.000208,0.000000
0.260000,0.002235,-276.093262,0.000009,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-276.093262,0.000208,0.000000
0.270000,0.004097,-276.093262,0.000030,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-276.093262,0.000208,0.000000
0.280000,-0.001862,-276.137756,0.000004,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-276.137756,0.000208,0.000000
0.290000,0.003357,-276.048767,-0.000013,-0.000000,-0.000000,0.014932,0.000761,-0.000000,-276.048767,0.000208,0.000000
0.300000,-0.001488,-276.137756,0.000013,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-276.137756,0.000208,0.000000
0.310000,0.004845,-276.226715,0.000022,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-276.226715,0.000208,0.000000
0.320000,0.006706,-276.137756,0.000013,-0.000000,-0.000000,0.029831,0.001520,-0.000000,-276.137756,0.000208,0.000000
0.330000,-0.007446,-276.226715,0.000009,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-276.226715,0.000208,0.000000
0.340000,-0.003349,-276.048767,0.000022,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-276.048767,0.000208,0.000000
0.350000,-0.000740,-276.093262,0.000022,-0.000000,-0.000000,-0.003292,-0.000168,-0.000000,-276.093262,0.000295,0.000000
0.360000,-0.003723,-276.137756,-0.000009,0.000001,0.000035,-0.016561,-0.000844,0.000348,-276.137756,0.000469,0.000000
0.370000,0.001862,-276.048767,0.000017,0.000005,0.000139,0.008281,0.000422,0.001389,-276.048767,0.000642,0.000000
0.380000,-0.005585,-276.137756,-0.000004,0.000011,0.000286,-0.024842,-0.001266,0.002861,-276.137756,0.000798,0.000000
0.390000,-0.017128,-276.137756,0.000017,0.000018,0.000460,-0.076189,-0.003881,0.004599,-276.137756,0.000971,0.000000
0.400000,-0.008560,-276.137756,0.000017,0.000025,0.000625,-0.038078,-0.001940,0.006245,-276.137756,0.001128,0.000000
0.410000,-0.010048,-276.137756,0.000022,0.000031,0.000798,-0.044695,-0.002277,0.007979,-276.137756,0.001301,0.000000
0.420000,-0.000000,-276.048767,0.000017,0.000038,0.000963,-0.000000,-0.000000,0.009629,-276.048767,0.001474,0.000000
0.430000,-0.010422,-276.182220,0.000004,0.000044,0.001119,-0.046358,-0.002362,0.011188,-276.182220,0.001631,0.000000
0.440000,0.002235,-276.137756,0.000009,0.000050,0.001258,0.009944,0.000507,0.012577,-276.137756,0.001804,0.000000
0.450000,0.005219,-276.182220,0.000017,0.000054,0.001379,0.023213,0.001183,0.013788,-276.182220,0.001960,0.000000
0.460000,0.012291,-276.137756,-0.000009,0.000059,0.001500,0.054673,0.002785,0.015003,-276.137756,0.002134,0.000000
0.470000,0.022720,-276.137756,-0.000004,0.000064,0.001631,0.101065,0.005149,0.016305,-276.137756,0.002307,0.000000
0.480000,0.020485,-276.093262,0.000000,0.000070,0.001778,0.091121,0.004642,0.017778,-276.093262,0.002463,0.000000
0.490000,0.005592,-276.093262,0.000009,0.000076,0.001934,0.024876,0.001267,0.019341,-276.093262,0.002637,0.000000
0.500000,0.008194,-276.093262,0.000017,0.000083,0.002107,0.036449,0.001857,0.021074,-276.093262,0.002792,0.000000
0.510000,0.005959,-276.182220,0.000017,0.000089,0.002272,0.026505,0.001350,0.022721,-276.182220,0.002966,0.000000
0.520000,0.014526,-276.137756,0.000030,0.000095,0.002420,0.064617,0.003292,0.024197,-276.137756,0.003140,0.000000
0.530000,-0.001862,-276.137756,0.000000,0.000100,0.002550,-0.008281,-0.000422,0.025499,-276.137756,0.003296,0.000000
0.540000,-0.007072,-276.137756,0.000017,0.000105,0.002671,-0.031460,-0.001603,0.026710,-276.137756,0.003469,0.000000
0.550000,-0.014145,-276.048767,-0.000004,0.000110,0.002792,-0.062920,-0.003205,0.027925,-276.048767,0.003625,0.000000
0.560000,-0.017128,-276.226715,-0.000009,0.000114,0.002897,-0.076189,-0.003881,0.028966,-276.226715,0.003799,0.000000
