Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.004471,-133.442856,-0.000026,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-133.442856,0.000156,0.000000
0.120000,-0.000000,-133.487335,-0.000026,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-133.487335,0.000156,0.000000
0.130000,0.002975,-133.398376,-0.000013,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-133.398376,0.000156,0.000000
0.140000,0.003349,-133.487335,0.000000,-0.000000,-0.000000,0.014898,0.000759,-0.000000,-133.487335,0.000156,0.000000
0.150000,0.000748,-133.487335,-0.000030,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-133.487335,0.000156,0.000000
0.160000,0.007820,-133.442856,-0.000043,-0.000000,-0.000000,0.034786,0.001772,-0.000000,-133.442856,0.000156,0.000000
0.170000,-0.000374,-133.487335,-0.000017,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-133.487335,0.000156,0.000000
0.180000,-0.006332,-133.398376,-0.000030,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-133.398376,0.000156,0.000000
0.190000,-0.007820,-133.442856,-0.000022,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-133.442856,0.000156,0.000000
0.200000,-0.003349,-133.442856,-0.000017,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-133.442856,0.000156,0.000000
0.210000,0.004097,-133.487335,-0.000034,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-133.487335,0.000156,0.000000
0.220000,0.007446,-133.487335,-0.000034,-0.000000,-0.000000,0.033123,0.001687,-0.000000,-133.487335,0.000156,0.000000
0.230000,0.007072,-133.398376,-0.000009,-0.000000,-0.000000,0.031460,0.001603,-0.000000,-133.398376,0.000156,0.000000
0.240000,0.001114,-133.487335,0.000004,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-133.487335,0.000156,0.000000
0.250000,0.007072,-133.487335,-0.000030,-0.000000,-0.000000,0.031460,0.001603,-0.000000,-133.487335,0.000156,0.000000
0.260000,0.004471,-133.442856,-0.000017,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-133.442856,0.000156,0.000000
0.270000,0.005211,-133.531815,-0.000013,-0.000000,-0.000000,0.023179,0.001181,-0.000000,-133.531815,0.000156,0.000000
0.280000,0.004471,-133.487335,-0.000022,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-133.487335,0.000156,0.000000
0.290000,0.009308,-133.487335,-0.000026,-0.000000,-0.000000,0.041403,0.002109,-0.000000,-133.487335,0.000156,0.000000
0.300000,-0.001862,-133.442856,-0.000026,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-133.442856,0.000156,0.000000
0.310000,0.003349,-133.487335,0.000004,-0.000000,-0.000000,0.014898,0.000759,-0.000000,-133.487335,0.000156,0.000000
0.320000,0.000374,-133.531815,-0.000004,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-133.531815,0.000156,0.000000
0.330000,0.005585,-133.442856,-0.000022,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-133.442856,0.000156,0.000000
0.340000,0.003723,-133.487335,-0.000030,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-133.487335,0.000156,0.000000
0.350000,0.001488,-133.487335,-0.000047,-0.000000,-0.000000,0.006618,0.000337,-0.000000,-133.487335,0.000173,0.000000
0.360000,0.000374,-133.398376,-0.000034,0.000000,0.000008,0.001663,0.000085,0.000083,-133.398376,0.000329,0.000000
0.370000,0.007072,-133.442856,-0.000030,0.000003,0.000069,0.031460,0.001603,0.000693,-133.442856,0.000503,0.000000
0.380000,0.015266,-133.487335,-0.000013,0.000008,0.000199,0.067908,0.003459,0.001995,-133.487335,0.000659,0.000000
0.390000,-0.010429,-133.487335,-0.000030,0.000014,0.000355,-0.046392,-0.002363,0.003554,-133.487335,0.000832,0.000000
0.400000,-0.002983,-133.531815,-0.000039,0.000020,0.000520,-0.013269,-0.000676,0.005200,-133.531815,0.001006,0.000000
0.410000,-0.003349,-133.487335,-0.000013,0.000028,0.000702,-0.014898,-0.000759,0.007021,-133.487335,0.001162,0.000000
0.420000,-0.012665,-133.531815,-0.000017,0.000034,0.000867,-0.056336,-0.002870,0.008671,-133.531815,0.001335,0.000000
0.430000,-0.025696,-133.442856,-0.000030,0.000041,0.001032,-0.114301,-0.005823,0.010318,-133.442856,0.001492,0.000000
0.440000,-0.028297,-133.487335,-0.000030,0.000047,0.001188,-0.125873,-0.006412,0.011881,-133.487335,0.001665,0.000000
0.450000,-0.017876,-133.531815,-0.000022,0.000052,0.001327,-0.079515,-0.004051,0.013266,-133.531815,0.001838,0.000000
0.460000,-0.031281,-133.442856,-0.000013,0.000057,0.001448,-0.139143,-0.007088,0.014481,-133.442856,0.001994,0.000000
0.470000,-0.029793,-133.531815,-0.000009,0.000061,0.001561,-0.132525,-0.006751,0.015609,-133.531815,0.002168,0.000000
0.480000,0.002975,-133.487335,-0.000026,0.000066,0.001665,0.013236,0.000674,0.016650,-133.487335,0.002324,0.000000
0.490000,0.008194,-133.531815,-0.000043,0.000071,0.001795,0.036449,0.001857,0.017948,-133.531815,0.002497,0.000000
0.500000,-0.004845,-133.531815,-0.000030,0.000076,0.001934,-0.021550,-0.001098,0.019337,-133.531815,0.002671,0.000000
0.510000,-0.012291,-133.442856,-0.000026,0.000082,0.002081,-0.054673,-0.002785,0.020813,-133.442856,0.002827,0.000000
0.520000,-0.009682,-133.531815,-0.000030,0.000087,0.002220,-0.043066,-0.002194,0.022198,-133.531815,0.003000,0.000000
0.530000,-0.008194,-133.487335,-0.000009,0.000093,0.002350,-0.036449,-0.001857,0.023500,-133.487335,0.003157,0.000000
0.540000,-0.016388,-133.487335,-0.000013,0.000097,0.002463,-0.072897,-0.003714,0.024628,-133.487335,0.003330,0.000000
0.550000,0.002235,-133.576294,-0.000039,0.000100,0.002550,0.009944,0.000507,0.025495,-133.576294,0.003503,0.000000
0.560000,0.007446,-133.531815,-0.000009,0.000104,0.002654,0.033123,0.001687,0.026536,-133.531815,0.003660,0.000000
0.570000,0.013031,-133.531815,-0.000017,0.000110,0.002792,0.057965,0.002953,0.027921,-133.531815,0.003833,0.000000
0.580000,0.010056,-133.487335,-0.000039,0.000118,0.002992,0.044729,0.002279,0.029916,-133.487335,0.004006,0.000000
0.590000,-0.010429,-133.531815,-0.000013,0.000126,0.003208,-0.046392,-0.002363,0.032085,-133.531815,0.004163,0.000000
0.600000,-0.008194,-133.531815,-0.000030,0.000135,0.003425,-0.036449,-0.001857,0.034253,-133.531815,0.004336,0.000000
0.610000,0.005211,-133.531815,-0.000034,0.000142,0.003616,0.023179,0.001181,0.036161,-133.531815,0.004492,0.000000
0.620000,0.011917,-133.531815,-0.000022,0.000148,0.003764,0.053010,0.002700,0.037637,-133.531815,0.004666,0.000000
0.630000,0.004837,-133.531815,-0.000004,0.000153,0.003885,0.021516,0.001096,0.038848,-133.531815,0.004839,0.000000
0.640000,-0.003723,-133.531815,0.000009,0.000158,0.004006,-0.016561,-0.000844,0.040063,-133.531815,0.004995,0.000000
0.650000,-0.022346,-133.576294,0.000026,0.000163,0.004137,-0.099402,-0.005064,0.041365,-133.576294,0.005169,0.000000
0.660000,-0.027931,-133.487335,0.000034,0.000169,0.004292,-0.124244,-0.006329,0.042924,-133.487335,0.005325,0.000000
0.670000,-0.030159,-133.531815,0.000022,0.000175,0.004449,-0.134154,-0.006834,0.044488,-133.531815,0.005498,0.000000
0.680000,-0.031281,-133.531815,0.000043,0.000181,0.004605,-0.139143,-0.007088,0.046047,-133.531815,0.005671,0.000000
0.690000,-0.032394,-133.576294,0.000047,0.000188,0.004770,-0.144098,-0.007341,0.047697,-133.576294,0.005828,0.000000
0.700000,-0.018990,-133.576294,0.000017,0.000194,0.004917,-0.084470,-0.004303,0.049170,-133.576294,0.006001,0.000000
0.710000,0.001114,-133.487335,0.000043,0.000200,0.005082,0.004955,0.000252,0.050816,-133.487335,0.006157,0.000000
0.720000,-0.002983,-133.531815,0.000052,0.000207,0.005264,-0.013269,-0.000676,0.052640,-133.531815,0.006331,0.000000
0.730000,-0.001488,-133.576294,0.000073,0.000213,0.005411,-0.006618,-0.000337,0.054113,-133.576294,0.006504,0.000000
0.740000,-0.009308,-133.531815,0.000091,0.000217,0.005515,-0.041403,-0.002109,0.055153,-133.531815,0.006660,0.000000
0.750000,-0.006332,-133.531815,0.000060,0.000220,0.005576,-0.028168,-0.001435,0.055759,-133.531815,0.006834,0.000000
0.760000,-0.008568,-133.487335,0.000052,0.000222,0.005646,-0.038112,-0.001941,0.056455,-133.487335,0.006990,0.000000
0.770000,-0.000374,-133.531815,0.000073,0.000227,0.005775,-0.001663,-0.000085,0.057754,-133.531815,0.007163,0.000000
0.780000,0.020851,-133.576294,0.000082,0.000235,0.005975,0.092750,0.004725,0.059748,-133.576294,0.007337,0.000000
0.790000,0.010796,-133.576294,0.000091,0.000244,0.006209,0.048021,0.002446,0.062091,-133.576294,0.007493,0.000000
0.800000,-0.013779,-133.576294,0.000099,0.000254,0.006452,-0.061291,-0.003122,0.064521,-133.576294,0.007666,0.000000
0.810000,-0.016014,-133.531815,0.000108,0.000264,0.006712,-0.071234,-0.003629,0.067121,-133.531815,0.007822,0.000000
0.820000,0.001862,-133.620773,0.000116,0.000273,0.006938,0.008281,0.000422,0.069377,-133.620773,0.007996,0.000000
0.830000,-0.007072,-133.531815,0.000138,0.000279,0.007094,-0.031460,-0.001603,0.070937,-133.531815,0.008169,0.000000
0.840000,-0.007820,-133.576294,0.000151,0.000285,0.007241,-0.034786,-0.001772,0.072413,-133.576294,0.008325,0.000000
0.850000,-0.038727,-133.576294,0.000116,0.000291,0.007397,-0.172265,-0.008776,0.073972,-133.576294,0.008499,0.000000
0.860000,-0.046173,-133.576294,0.000138,0.000297,0.007554,-0.205388,-0.010463,0.075535,-133.576294,0.008655,0.000000
0.870000,-0.044312,-133.620773,0.000147,0.000303,0.007701,-0.197107,-0.010041,0.077007,-133.620773,0.008828,0.000000
0.880000,-0.043938,-133.620773,0.000138,0.000309,0.007857,-0.195445,-0.009956,0.078571,-133.620773,0.009002,0.000000
0.890000,-0.045799,-133.576294,0.000181,0.000315,0.008004,-0.203725,-0.010378,0.080043,-133.576294,0.009158,0.000000
0.900000,-0.030159,-133.620773,0.000164,0.000321,0.008152,-0.134154,-0.006834,0.081519,-133.620773,0.009331,0.000000
0.910000,-0.010796,-133.620773,0.000172,0.000327,0.008317,-0.048021,-0.002446,0.083165,-133.620773,0.009487,0.000000
0.920000,0.000374,-133.620773,0.000160,0.000336,0.008525,0.001663,0.000085,0.085247,-133.620773,0.009661,0.000000
0.930000,0.003349,-133.487335,0.000164,0.000342,0.008698,0.014898,0.000759,0.086981,-133.487335,0.009834,0.000000
0.940000,-0.001122,-133.576294,0.000181,0.000348,0.008828,-0.004989,-0.000254,0.088283,-133.576294,0.009990,0.000000
0.950000,-0.008934,-133.576294,0.000177,0.000352,0.008941,-0.039741,-0.002024,0.089411,-133.576294,0.010164,0.000000
0.960000,-0.001122,-133.531815,0.000216,0.000357,0.009071,-0.004989,-0.000254,0.090709,-133.531815,0.010337,0.000000
0.970000,0.001114,-133.665253,0.000211,0.000363,0.009227,0.004955,0.000252,0.092272,-133.665253,0.010493,0.000000
0.980000,-0.001862,-133.620773,0.000216,0.000370,0.009401,-0.008281,-0.000422,0.094005,-133.620773,0.010667,0.000000
0.990000,-0.016014,-133.576294,0.000211,0.000378,0.009591,-0.071234,-0.003629,0.095913,-133.576294,0.010823,0.000000
1.000000,-0.026810,-133.620773,0.000224,0.000385,0.009791,-0.119255,-0.006075,0.097908,-133.620773,0.010996,0.000000
1.010000,-0.021599,-133.576294,0.000250,0.000394,0.010008,-0.096076,-0.004894,0.100076,-133.576294,0.011170,0.000000
1.020000,-0.006706,-133.576294,0.000233,0.000401,0.010190,-0.029831,-0.001520,0.101897,-133.576294,0.011326,0.000000
