Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.000374,-211.907257,0.000004,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-211.907257,0.000173,0.000000
0.020000,0.001122,-211.996216,0.000013,-0.000000,-0.000000,0.004989,0.000254,-0.000000,-211.996216,0.000173,0.000000
0.030000,-0.008934,-212.040695,-0.000013,-0.000000,-0.000000,-0.039741,-0.002024,-0.000000,-212.040695,0.000173,0.000000
0.040000,-0.006699,-211.996216,0.000017,-0.000000,-0.000000,-0.029797,-0.001518,-0.000000,-211.996216,0.000173,0.000000
0.050000,-0.007820,-212.040695,0.000004,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-212.040695,0.000173,0.000000
0.060000,-0.002235,-211.996216,0.000009,-0.000000,-0.000000,-0.009944,-0.000507,-0.000000,-211.996216,0.000173,0.000000
0.070000,0.003723,-211.951736,0.000013,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-211.951736,0.000173,0.000000
0.080000,0.001862,-212.040695,-0.000009,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-212.040695,0.000173,0.000000
0.090000,-0.003349,-211.951736,-0.000009,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-211.951736,0.000173,0.000000
0.100000,-0.000374,-211.996216,-0.000009,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-211.996216,0.000173,0.000000
0.110000,-0.001862,-211.951736,0.000000,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-211.951736,0.000173,0.000000
0.120000,-0.008560,-211.996216,-0.000013,-0.000000,-0.000000,-0.038078,-0.001940,-0.000000,-211.996216,0.000173,0.000000
0.130000,-0.009308,-212.040695,-0.000009,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-212.040695,0.000173,0.000000
0.140000,-0.003723,-211.996216,-0.000004,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-211.996216,0.000173,0.000000
0.150000,0.002609,-211.996216,0.000004,-0.000000,-0.000000,0.011607,0.000591,-0.000000,-211.996216,0.000173,0.000000
0.160000,-0.004837,-211.951736,-0.000004,-0.000000,-0.000000,-0.021516,-0.001096,-0.000000,-211.951736,0.000173,0.000000
0.170000,0.002235,-211.996216,0.000009,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-211.996216,0.000173,0.000000
0.180000,-0.003723,-211.996216,0.000004,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-211.996216,0.000173,0.000000
0.190000,-0.001862,-211.996216,-0.000004,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-211.996216,0.000173,0.000000
0.200000,-0.002975,-212.040695,-0.000013,-0.000000,-0.000000,-0.013236,-0.000674,-0.000000,-212.040695,0.000173,0.000000
0.210000,0.004845,-211.996216,-0.000017,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-211.996216,0.000173,0.000000
0.220000,0.009682,-211.996216,0.000000,-0.000000,-0.000000,0.043066,0.002194,-0.000000,-211.996216,0.000173,0.000000
0.230000,-0.004837,-211.996216,0.000009,-0.000000,-0.000000,-0.021516,-0.001096,-0.000000,-211.996216,0.000173,0.000000
0.240000,-0.010422,-211.951736,0.000000,-0.000000,-0.000000,-0.046358,-0.002362,-0.000000,-211.951736,0.000173,0.000000
