Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.015274,-91.541794,-0.000004,-0.000000,-0.000000,0.067942,0.003461,-0.000000,-91.541794,0.000234,0.000000
0.120000,0.011917,-91.541794,-0.000004,-0.000000,-0.000000,0.053010,0.002700,-0.000000,-91.541794,0.000234,0.000000
0.130000,0.001122,-91.541794,0.000017,-0.000000,-0.000000,0.004989,0.000254,-0.000000,-91.541794,0.000234,0.000000
0.140000,-0.002602,-91.497314,0.000013,-0.000000,-0.000000,-0.011573,-0.000590,-0.000000,-91.497314,0.000234,0.000000
0.150000,0.002235,-91.541794,-0.000004,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-91.541794,0.000234,0.000000
0.160000,0.007080,-91.541794,0.000000,-0.000000,-0.000000,0.031494,0.001604,-0.000000,-91.541794,0.000234,0.000000
0.170000,0.005219,-91.541794,0.000013,-0.000000,-0.000000,0.023213,0.001183,-0.000000,-91.541794,0.000234,0.000000
0.180000,-0.005211,-91.497314,0.000000,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-91.497314,0.000234,0.000000
0.190000,0.004097,-91.497314,0.000009,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-91.497314,0.000234,0.000000
0.200000,0.011551,-91.452835,0.000009,-0.000000,-0.000000,0.051381,0.002617,-0.000000,-91.452835,0.000234,0.000000
0.210000,0.008568,-91.541794,-0.000004,-0.000000,-0.000000,0.038112,0.001941,-0.000000,-91.541794,0.000234,0.000000
0.220000,0.014900,-91.541794,0.000017,-0.000000,-0.000000,0.066279,0.003376,-0.000000,-91.541794,0.000234,0.000000
0.230000,-0.001488,-91.630760,0.000013,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-91.630760,0.000234,0.000000
