Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,0.002235,-1304.136963,0.000034,-0.000000,-0.000009,0.009944,0.000507,-0.000087,-1304.136963,0.000208,0.000000
0.020000,-0.018997,-1304.136963,0.000013,-0.000000,-0.000009,-0.084504,-0.004305,-0.000087,-1304.136963,0.000208,0.000000
0.030000,-0.001122,-1304.048096,-0.000009,-0.000000,-0.000000,-0.004989,-0.000254,-0.000000,-1304.048096,0.000208,0.000000
0.040000,-0.006706,-1304.181519,0.000034,-0.000000,-0.000009,-0.029831,-0.001520,-0.000087,-1304.181519,0.000208,0.000000
0.050000,-0.000748,-1304.092529,0.000043,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-1304.092529,0.000208,0.000000
0.060000,-0.000000,-1304.136963,0.000039,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-1304.136963,0.000208,0.000000
0.070000,-0.010803,-1304.136963,0.000022,-0.000000,-0.000009,-0.048055,-0.002448,-0.000087,-1304.136963,0.000208,0.000000
0.080000,-0.000374,-1304.136963,0.000017,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-1304.136963,0.000208,0.000000
0.090000,-0.007446,-1304.181519,-0.000004,-0.000000,-0.000009,-0.033123,-0.001687,-0.000087,-1304.181519,0.000208,0.000000
0.100000,-0.010056,-1304.136963,0.000022,-0.000000,-0.000009,-0.044729,-0.002279,-0.000087,-1304.136963,0.000208,0.000000
0.110000,-0.005959,-1304.136963,-0.000004,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-1304.136963,0.000208,0.000000
0.120000,-0.005585,-1304.181519,0.000039,-0.000000,-0.000000,-0.024842,-0.001266,-0.000000,-1304.181519,0.000208,0.000000
0.130000,-0.006332,-1304.092529,0.000017,-0.000000,-0.000009,-0.028168,-0.001435,-0.000087,-1304.092529,0.000208,0.000000
0.140000,-0.015266,-1304.225952,0.000026,-0.000000,-0.000009,-0.067908,-0.003459,-0.000087,-1304.225952,0.000208,0.000000
0.150000,-0.000000,-1304.092529,0.000060,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-1304.092529,0.000208,0.000000
0.160000,0.001862,-1304.181519,0.000030,-0.000000,-0.000009,0.008281,0.000422,-0.000087,-1304.181519,0.000208,0.000000
0.170000,-0.010429,-1304.136963,-0.000022,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-1304.136963,0.000208,0.000000
0.180000,0.003349,-1304.048096,0.000004,-0.000000,-0.000009,0.014898,0.000759,-0.000087,-1304.048096,0.000208,0.000000
0.190000,-0.007446,-1304.136963,0.000034,-0.000000,-0.000009,-0.033123,-0.001687,-0.000087,-1304.136963,0.000208,0.000000
0.200000,0.001114,-1304.092529,0.000047,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-1304.092529,0.000208,0.000000
0.210000,0.011917,-1304.136963,0.000065,-0.000000,-0.000009,0.053010,0.002700,-0.000087,-1304.136963,0.000208,0.000000
0.220000,-0.008568,-1304.092529,0.000022,-0.000000,-0.000009,-0.038112,-0.001941,-0.000087,-1304.092529,0.000208,0.000000
0.230000,-0.005219,-1304.136963,-0.000009,-0.000000,-0.000000,-0.023213,-0.001183,-0.000000,-1304.136963,0.000208,0.000000
0.240000,0.001488,-1304.181519,0.000047,-0.000000,-0.000009,0.006618,0.000337,-0.000087,-1304.181519,0.000208,0.000000
0.250000,-0.017502,-1304.048096,0.000030,-0.000000,-0.000009,-0.077852,-0.003966,-0.000087,-1304.048096,0.000208,0.000000
0.260000,0.001114,-1304.092529,0.000030,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-1304.092529,0.000208,0.000000
0.270000,0.010048,-1304.136963,0.000009,-0.000000,-0.000009,0.044695,0.002277,-0.000087,-1304.136963,0.000208,0.000000
0.280000,-0.001495,-1304.136963,0.000047,-0.000000,-0.000009,-0.006652,-0.000339,-0.000087,-1304.136963,0.000208,0.000000
0.290000,0.001114,-1304.181519,0.000065,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-1304.181519,0.000208,0.000000
0.300000,-0.006706,-1304.136963,0.000034,-0.000000,-0.000009,-0.029831,-0.001520,-0.000087,-1304.136963,0.000208,0.000000
0.310000,-0.013039,-1304.092529,0.000034,-0.000000,-0.000009,-0.057999,-0.002955,-0.000087,-1304.092529,0.000208,0.000000
0.320000,0.001114,-1304.136963,0.000009,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-1304.136963,0.000208,0.000000
0.330000,0.001114,-1304.136963,0.000017,-0.000000,-0.000009,0.004955,0.000252,-0.000087,-1304.136963,0.000208,0.000000
0.340000,-0.001122,-1304.181519,0.000060,-0.000000,-0.000000,-0.004989,-0.000254,-0.000000,-1304.181519,0.000208,0.000000
0.350000,0.011917,-1304.092529,0.000026,-0.000000,-0.000000,0.053010,0.002700,-0.000000,-1304.092529,0.000208,0.000000
0.360000,-0.004097,-1304.136963,0.000065,-0.000000,-0.000009,-0.018224,-0.000928,-0.000087,-1304.136963,0.000208,0.000000
0.370000,-0.011177,-1304.092529,0.000022,-0.000000,-0.000000,-0.049718,-0.002533,-0.000000,-1304.092529,0.000208,0.000000
0.380000,0.006699,-1304.048096,0.000034,-0.000000,-0.000009,0.029797,0.001518,-0.000087,-1304.048096,0.000208,0.000000
0.390000,-0.013779,-1304.225952,0.000034,-0.000000,-0.000009,-0.061291,-0.003122,-0.000087,-1304.225952,0.000208,0.000000
0.400000,-0.003357,-1304.092529,0.000013,-0.000000,-0.000000,-0.014932,-0.000761,-0.000000,-1304.092529,0.000312,0.000000
0.410000,0.001114,-1304.092529,0.000004,0.000001,0.000035,0.004955,0.000252,0.000348,-1304.092529,0.000468,0.000000
0.420000,0.037605,-1304.181519,0.000043,0.000004,0.000113,0.167277,0.008521,0.001128,-1304.181519,0.000642,0.000000
0.430000,0.018990,-1304.136963,0.000065,0.000009,0.000226,0.084470,0.004303,0.002256,-1304.136963,0.000815,0.000000
0.440000,0.032021,-1304.181519,0.000039,0.000014,0.000356,0.142435,0.007256,0.003558,-1304.181519,0.000971,0.000000
0.450000,0.050270,-1304.092529,-0.000004,0.000019,0.000494,0.223612,0.011391,0.004943,-1304.092529,0.001145,0.000000
0.460000,0.053619,-1304.181519,0.000060,0.000025,0.000633,0.238511,0.012150,0.006332,-1304.181519,0.001301,0.000000
0.470000,0.057343,-1304.092529,0.000060,0.000030,0.000772,0.255072,0.012994,0.007717,-1304.092529,0.001474,0.000000
0.480000,0.043938,-1304.048096,0.000039,0.000036,0.000911,0.195445,0.009956,0.009106,-1304.048096,0.001648,0.000000
0.490000,0.043938,-1304.181519,0.000000,0.000042,0.001067,0.195445,0.009956,0.010666,-1304.181519,0.001804,0.000000
0.500000,0.043190,-1304.136963,-0.000009,0.000048,0.001214,0.192119,0.009787,0.012142,-1304.136963,0.001977,0.000000
0.510000,0.038353,-1304.136963,0.000022,0.000054,0.001362,0.170603,0.008691,0.013618,-1304.136963,0.002134,0.000000
0.520000,0.032768,-1304.092529,-0.000004,0.000060,0.001535,0.145760,0.007425,0.015352,-1304.092529,0.002307,0.000000
0.530000,0.028297,-1304.092529,0.000026,0.000069,0.001760,0.125873,0.006412,0.017604,-1304.092529,0.002480,0.000000
0.540000,0.032394,-1304.136963,0.000000,0.000078,0.001986,0.144098,0.007341,0.019859,-1304.136963,0.002637,0.000000
0.550000,0.051758,-1304.092529,-0.000013,0.000085,0.002168,0.230230,0.011728,0.021680,-1304.092529,0.002810,0.000000
0.560000,0.058090,-1304.136963,-0.000026,0.000091,0.002316,0.258398,0.013163,0.023156,-1304.136963,0.002966,0.000000
0.570000,0.042076,-1304.092529,-0.000004,0.000095,0.002420,0.187164,0.009535,0.024197,-1304.092529,0.003140,0.000000
0.580000,0.025322,-1304.048096,0.000030,0.000100,0.002532,0.112638,0.005738,0.025325,-1304.048096,0.003313,0.000000
0.590000,-0.013405,-1304.181519,0.000030,0.000104,0.002637,-0.059628,-0.003038,0.026366,-1304.181519,0.003469,0.000000
0.600000,-0.005585,-1304.048096,0.000030,0.000108,0.002749,-0.024842,-0.001266,0.027493,-1304.048096,0.003643,0.000000
0.610000,0.016754,-1304.181519,-0.000004,0.000114,0.002888,0.074526,0.003797,0.028879,-1304.181519,0.003816,0.000000
0.620000,0.031647,-1304.048096,0.000022,0.000120,0.003044,0.140772,0.007171,0.030442,-1304.048096,0.003972,0.000000
0.630000,0.032021,-1304.048096,0.000009,0.000125,0.003183,0.142435,0.007256,0.031827,-1304.048096,0.004146,0.000000
0.640000,0.024200,-1304.181519,-0.000013,0.000131,0.003322,0.107649,0.005484,0.033216,-1304.181519,0.004302,0.000000
0.650000,0.029045,-1304.181519,0.000022,0.000138,0.003504,0.129199,0.006582,0.035037,-1304.181519,0.004475,0.000000
0.660000,0.040962,-1304.136963,0.000060,0.000144,0.003668,0.182209,0.009282,0.036683,-1304.136963,0.004648,0.000000
0.670000,0.043938,-1304.136963,0.000060,0.000150,0.003799,0.195445,0.009956,0.037985,-1304.136963,0.004805,0.000000
0.680000,0.044312,-1304.092529,0.000043,0.000154,0.003920,0.197107,0.010041,0.039200,-1304.092529,0.004978,0.000000
0.690000,0.051758,-1304.136963,0.000000,0.000159,0.004033,0.230230,0.011728,0.040328,-1304.136963,0.005134,0.000000
0.700000,0.065910,-1304.048096,0.000047,0.000164,0.004154,0.293184,0.014935,0.041539,-1304.048096,0.005308,0.000000
0.710000,0.074471,-1304.181519,0.000026,0.000169,0.004302,0.331261,0.016875,0.043015,-1304.181519,0.005481,0.000000
0.720000,0.075958,-1304.136963,0.000030,0.000175,0.004440,0.337879,0.017212,0.044404,-1304.136963,0.005637,0.000000
0.730000,0.057716,-1304.092529,0.000009,0.000182,0.004631,0.256735,0.013079,0.046312,-1304.092529,0.005811,0.000000
0.740000,0.060692,-1304.136963,0.000013,0.000191,0.004856,0.269971,0.013753,0.048564,-1304.136963,0.005967,0.000000
0.750000,0.067772,-1304.092529,0.000056,0.000201,0.005099,0.301465,0.015357,0.050994,-1304.092529,0.006140,0.000000
0.760000,0.065910,-1304.136963,0.000030,0.000210,0.005334,0.293184,0.014935,0.053337,-1304.136963,0.006314,0.000000
0.770000,0.071495,-1304.136963,0.000013,0.000219,0.005559,0.318026,0.016201,0.055589,-1304.136963,0.006470,0.000000
0.780000,0.056595,-1304.136963,0.000065,0.000226,0.005741,0.251746,0.012825,0.057409,-1304.136963,0.006643,0.000000
0.790000,0.038727,-1304.092529,0.000065,0.000231,0.005880,0.172265,0.008776,0.058798,-1304.092529,0.006799,0.000000
0.800000,0.033882,-1304.092529,0.000047,0.000236,0.005993,0.150715,0.007678,0.059926,-1304.092529,0.006973,0.000000
0.810000,0.027184,-1304.136963,0.000065,0.000241,0.006123,0.120918,0.006160,0.061228,-1304.136963,0.007146,0.000000
0.820000,0.006699,-1304.092529,0.000069,0.000247,0.006261,0.029797,0.001518,0.062614,-1304.092529,0.007302,0.000000
0.830000,0.017502,-1304.092529,0.000073,0.000253,0.006418,0.077852,0.003966,0.064177,-1304.092529,0.007476,0.000000
0.840000,0.032021,-1304.136963,0.000112,0.000260,0.006608,0.142435,0.007256,0.066084,-1304.136963,0.007631,0.000000
0.850000,0.039841,-1304.092529,0.000121,0.000269,0.006834,0.177220,0.009028,0.068336,-1304.092529,0.007805,0.000000
0.860000,0.051384,-1304.181519,0.000129,0.000276,0.007016,0.228567,0.011644,0.070161,-1304.181519,0.007979,0.000000
0.870000,0.056595,-1304.136963,0.000121,0.000282,0.007163,0.251746,0.012825,0.071633,-1304.136963,0.008134,0.000000
0.880000,0.058456,-1304.136963,0.000103,0.000286,0.007267,0.260027,0.013246,0.072674,-1304.136963,0.008308,0.000000
0.890000,0.053993,-1304.136963,0.000112,0.000289,0.007345,0.240174,0.012235,0.073453,-1304.136963,0.008464,0.000000
0.900000,0.065910,-1304.092529,0.000168,0.000293,0.007441,0.293184,0.014935,0.074407,-1304.092529,0.008638,0.000000
0.910000,0.072609,-1304.181519,0.000129,0.000299,0.007606,0.322981,0.016453,0.076057,-1304.181519,0.008811,0.000000
0.920000,0.075592,-1304.136963,0.000116,0.000309,0.007848,0.336250,0.017129,0.078484,-1304.136963,0.008967,0.000000
0.930000,0.068886,-1304.092529,0.000121,0.000319,0.008091,0.306419,0.015610,0.080913,-1304.092529,0.009141,0.000000
0.940000,0.058090,-1304.092529,0.000151,0.000328,0.008325,0.258398,0.013163,0.083253,-1304.092529,0.009297,0.000000
0.950000,0.060326,-1304.092529,0.000185,0.000336,0.008525,0.268342,0.013670,0.085247,-1304.092529,0.009470,0.000000
0.960000,0.074097,-1304.136963,0.000172,0.000342,0.008681,0.329598,0.016791,0.086810,-1304.136963,0.009644,0.000000
0.970000,0.063675,-1304.136963,0.000138,0.000348,0.008828,0.283240,0.014429,0.088283,-1304.136963,0.009800,0.000000
0.980000,0.037231,-1304.092529,0.000207,0.000354,0.008985,0.165614,0.008437,0.089846,-1304.092529,0.009973,0.000000
0.990000,0.032021,-1304.181519,0.000229,0.000360,0.009141,0.142435,0.007256,0.091405,-1304.181519,0.010147,0.000000
1.000000,0.030533,-1304.092529,0.000254,0.000366,0.009297,0.135817,0.006919,0.092968,-1304.092529,0.010303,0.000000
1.010000,0.025688,-1304.181519,0.000216,0.000371,0.009427,0.114267,0.005821,0.094267,-1304.181519,0.010476,0.000000
1.020000,0.024574,-1304.048096,0.000246,0.000376,0.009557,0.109312,0.005569,0.095569,-1304.048096,0.010632,0.000000
1.030000,0.041702,-1304.092529,0.000229,0.000383,0.009722,0.185501,0.009450,0.097215,-1304.092529,0.010806,0.000000
1.040000,0.043564,-1304.136963,0.000241,0.000390,0.009904,0.193782,0.009872,0.099039,-1304.136963,0.010979,0.000000
1.050000,0.055481,-1304.136963,0.000280,0.000397,0.010095,0.246792,0.012572,0.100947,-1304.136963,0.011135,0.000000
1.060000,0.048035,-1304.092529,0.000254,0.000404,0.010268,0.213669,0.010885,0.102680,-1304.092529,0.011309,0.000000
1.070000,0.050270,-1304.181519,0.000285,0.000410,0.010424,0.223612,0.011391,0.104240,-1304.181519,0.011465,0.000000
1.080000,0.049149,-1304.136963,0.000289,0.000414,0.010519,0.218624,0.011137,0.105194,-1304.136963,0.011638,0.000000
1.090000,0.053993,-1304.136963,0.000310,0.000417,0.010589,0.240174,0.012235,0.105890,-1304.136963,0.011812,0.000000
1.100000,0.052872,-1304.092529,0.000254,0.000422,0.010710,0.235185,0.011981,0.107105,-1304.092529,0.011968,0.000000
1.110000,0.051758,-1304.181519,0.000267,0.000429,0.010893,0.230230,0.011728,0.108925,-1304.181519,0.012141,0.000000
1.120000,0.054367,-1304.092529,0.000285,0.000437,0.011109,0.241837,0.012320,0.111094,-1304.092529,0.012298,0.000000
1.130000,0.059204,-1304.136963,0.000319,0.000448,0.011369,0.263353,0.013416,0.113694,-1304.136963,0.012471,0.000000
1.140000,0.058830,-1304.181519,0.000354,0.000456,0.011595,0.261690,0.013331,0.115950,-1304.181519,0.012644,0.000000
1.150000,0.053619,-1304.048096,0.000302,0.000464,0.011777,0.238511,0.012150,0.117771,-1304.048096,0.012801,0.000000
1.160000,0.050270,-1304.181519,0.000302,0.000470,0.011942,0.223612,0.011391,0.119417,-1304.181519,0.012974,0.000000
1.170000,0.042076,-1304.048096,0.000332,0.000476,0.012098,0.187164,0.009535,0.120980,-1304.048096,0.013130,0.000000
1.180000,0.043190,-1304.092529,0.000349,0.000482,0.012254,0.192119,0.009787,0.122540,-1304.092529,0.013303,0.000000
1.190000,0.041702,-1304.136963,0.000315,0.000489,0.012419,0.185501,0.009450,0.124186,-1304.136963,0.013477,0.000000
1.200000,0.041702,-1304.092529,0.000315,0.000495,0.012584,0.185501,0.009450,0.125836,-1304.092529,0.013633,0.000000
1.210000,0.040962,-1304.136963,0.000354,0.000502,0.012740,0.182209,0.009282,0.127396,-1304.136963,0.013806,0.000000
