Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.009682,-310.432556,-0.000017,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-310.432556,0.000147,0.000000
0.120000,-0.015266,-310.388062,0.000000,-0.000000,-0.000000,-0.067908,-0.003459,-0.000000,-310.388062,0.000147,0.000000
0.130000,-0.016754,-310.432556,-0.000043,-0.000000,-0.000000,-0.074526,-0.003797,-0.000000,-310.432556,0.000147,0.000000
0.140000,-0.008568,-310.388062,-0.000017,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-310.388062,0.000147,0.000000
0.150000,-0.004097,-310.477051,-0.000026,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-310.477051,0.000147,0.000000
0.160000,-0.010056,-310.388062,-0.000004,-0.000000,-0.000000,-0.044729,-0.002279,-0.000000,-310.388062,0.000147,0.000000
0.170000,-0.023087,-310.388062,-0.000009,-0.000000,-0.000000,-0.102694,-0.005231,-0.000000,-310.388062,0.000147,0.000000
0.180000,-0.014526,-310.432556,-0.000047,-0.000000,-0.000000,-0.064617,-0.003292,-0.000000,-310.432556,0.000147,0.000000
0.190000,-0.013031,-310.388062,0.000000,-0.000000,-0.000000,-0.057965,-0.002953,-0.000000,-310.388062,0.000147,0.000000
0.200000,-0.002235,-310.388062,-0.000017,-0.000000,-0.000000,-0.009944,-0.000507,-0.000000,-310.388062,0.000147,0.000000
0.210000,-0.004845,-310.388062,-0.000004,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-310.388062,0.000147,0.000000
0.220000,-0.006332,-310.388062,0.000009,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-310.388062,0.000147,0.000000
0.230000,-0.011543,-310.432556,-0.000052,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-310.432556,0.000147,0.000000
0.240000,-0.009308,-310.343597,-0.000009,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-310.343597,0.000147,0.000000
0.250000,-0.009682,-310.432556,0.000013,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-310.432556,0.000147,0.000000
0.260000,-0.005585,-310.432556,-0.000030,-0.000000,-0.000000,-0.024842,-0.001266,-0.000000,-310.432556,0.000147,0.000000
0.270000,-0.006706,-310.388062,-0.000043,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-310.388062,0.000147,0.000000
0.280000,-0.015266,-310.432556,-0.000039,-0.000000,-0.000000,-0.067908,-0.003459,-0.000000,-310.432556,0.000147,0.000000
0.290000,-0.008942,-310.388062,-0.000034,-0.000000,-0.000000,-0.039774,-0.002026,-0.000000,-310.388062,0.000147,0.000000
0.300000,-0.021973,-310.388062,-0.000047,-0.000000,-0.000000,-0.097739,-0.004979,-0.000000,-310.388062,0.000147,0.000000
0.310000,-0.024574,-310.432556,-0.000022,-0.000000,-0.000000,-0.109312,-0.005569,-0.000000,-310.432556,0.000147,0.000000
0.320000,-0.021973,-310.432556,-0.000052,-0.000000,-0.000000,-0.097739,-0.004979,-0.000000,-310.432556,0.000147,0.000000
