Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.014893,-29.223986,0.000009,-0.000000,-0.000000,-0.066245,-0.003375,-0.000000,-29.223986,0.000191,0.000000
0.020000,-0.022339,-29.179504,0.000009,-0.000000,-0.000000,-0.099368,-0.005062,-0.000000,-29.179504,0.000191,0.000000
0.030000,-0.014893,-29.179504,0.000009,-0.000000,-0.000000,-0.066245,-0.003375,-0.000000,-29.179504,0.000191,0.000000
0.040000,-0.024948,-29.223986,0.000013,-0.000000,-0.000000,-0.110975,-0.005653,-0.000000,-29.223986,0.000191,0.000000
0.050000,-0.013779,-29.223986,0.000000,-0.000000,-0.000000,-0.061291,-0.003122,-0.000000,-29.223986,0.000191,0.000000
0.060000,-0.007446,-29.223986,0.000009,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-29.223986,0.000191,0.000000
0.070000,-0.011169,-29.223986,0.000013,-0.000000,-0.000000,-0.049684,-0.002531,-0.000000,-29.223986,0.000191,0.000000
0.080000,-0.014893,-29.179504,0.000009,-0.000000,-0.000000,-0.066245,-0.003375,-0.000000,-29.179504,0.000191,0.000000
0.090000,-0.016006,-29.223986,0.000009,-0.000000,-0.000000,-0.071200,-0.003627,-0.000000,-29.223986,0.000191,0.000000
0.100000,-0.013779,-29.268465,0.000013,-0.000000,-0.000000,-0.061291,-0.003122,-0.000000,-29.268465,0.000191,0.000000
0.110000,-0.023087,-29.179504,0.000013,-0.000000,-0.000000,-0.102694,-0.005231,-0.000000,-29.179504,0.000191,0.000000
0.120000,-0.027550,-29.223986,-0.000004,-0.000000,-0.000000,-0.122547,-0.006243,-0.000000,-29.223986,0.000191,0.000000
0.130000,-0.022713,-29.223986,0.000009,-0.000000,-0.000000,-0.101031,-0.005147,-0.000000,-29.223986,0.000191,0.000000
0.140000,-0.019363,-29.223986,0.000000,-0.000000,-0.000000,-0.086133,-0.004388,-0.000000,-29.223986,0.000191,0.000000
0.150000,-0.013405,-29.268465,0.000004,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-29.268465,0.000191,0.000000
0.160000,-0.013031,-29.135023,-0.000004,-0.000000,-0.000000,-0.057965,-0.002953,-0.000000,-29.135023,0.000191,0.000000
0.170000,-0.019730,-29.179504,0.000013,-0.000000,-0.000000,-0.087762,-0.004471,-0.000000,-29.179504,0.000191,0.000000
0.180000,-0.023460,-29.268465,0.000000,-0.000000,-0.000000,-0.104357,-0.005316,-0.000000,-29.268465,0.000191,0.000000
0.190000,-0.021965,-29.179504,0.000017,-0.000000,-0.000000,-0.097705,-0.004977,-0.000000,-29.179504,0.000191,0.000000
0.200000,-0.016380,-29.268465,0.000000,-0.000000,-0.000000,-0.072863,-0.003712,-0.000000,-29.268465,0.000191,0.000000
0.210000,-0.021225,-29.223986,-0.000009,-0.000000,-0.000000,-0.094413,-0.004810,-0.000000,-29.223986,0.000191,0.000000
0.220000,-0.021591,-29.223986,0.000013,-0.000000,-0.000000,-0.096042,-0.004893,-0.000000,-29.223986,0.000191,0.000000
0.230000,-0.014519,-29.223986,0.000000,-0.000000,-0.000000,-0.064583,-0.003290,-0.000000,-29.223986,0.000191,0.000000
0.240000,-0.010422,-29.223986,0.000004,-0.000000,-0.000000,-0.046358,-0.002362,-0.000000,-29.223986,0.000191,0.000000
0.250000,-0.012283,-29.312946,0.000004,-0.000000,-0.000000,-0.054639,-0.002783,-0.000000,-29.312946,0.000191,0.000000
0.260000,-0.016754,-29.223986,0.000017,-0.000000,-0.000000,-0.074526,-0.003797,-0.000000,-29.223986,0.000191,0.000000
0.270000,-0.023827,-29.268465,0.000013,-0.000000,-0.000000,-0.105986,-0.005399,-0.000000,-29.268465,0.000191,0.000000
0.280000,-0.022713,-29.268465,0.000009,-0.000000,-0.000000,-0.101031,-0.005147,-0.000000,-29.268465,0.000191,0.000000
0.290000,-0.017868,-29.223986,0.000009,-0.000000,-0.000000,-0.079481,-0.004049,-0.000000,-29.223986,0.000191,0.000000
0.300000,-0.011543,-29.223986,0.000009,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-29.223986,0.000191,0.000000
0.310000,-0.013779,-29.223986,0.000004,-0.000000,-0.000000,-0.061291,-0.003122,-0.000000,-29.223986,0.000191,0.000000
0.320000,-0.018616,-29.223986,-0.000004,-0.000000,-0.000000,-0.082807,-0.004218,-0.000000,-29.223986,0.000191,0.000000
0.330000,-0.019730,-29.223986,0.000004,-0.000000,-0.000000,-0.087762,-0.004471,-0.000000,-29.223986,0.000191,0.000000
0.340000,-0.020851,-29.223986,0.000009,-0.000000,-0.000000,-0.092750,-0.004725,-0.000000,-29.223986,0.000191,0.000000
0.350000,-0.010048,-29.268465,0.000000,-0.000000,-0.000000,-0.044695,-0.002277,-0.000000,-29.268465,0.000225,0.000000
0.360000,-0.024200,-29.223986,0.000009,0.000001,0.000026,-0.107649,-0.005484,0.000257,-29.223986,0.000399,0.000000
0.370000,-0.021225,-29.268465,0.000017,0.000004,0.000095,-0.094413,-0.004810,0.000954,-29.268465,0.000555,0.000000
0.380000,-0.018990,-29.268465,0.000013,0.000009,0.000217,-0.084470,-0.004303,0.002169,-29.268465,0.000728,0.000000
0.390000,-0.029045,-29.179504,0.000004,0.000015,0.000373,-0.129199,-0.006582,0.003728,-29.179504,0.000885,0.000000
0.400000,-0.027550,-29.268465,0.000017,0.000020,0.000512,-0.122547,-0.006243,0.005117,-29.268465,0.001058,0.000000
0.410000,-0.032768,-29.223986,0.000000,0.000025,0.000642,-0.145760,-0.007425,0.006415,-29.223986,0.001231,0.000000
0.420000,-0.013779,-29.268465,0.000013,0.000030,0.000772,-0.061291,-0.003122,0.007717,-29.268465,0.001388,0.000000
0.430000,-0.009308,-29.268465,-0.000004,0.000036,0.000919,-0.041403,-0.002109,0.009190,-29.268465,0.001561,0.000000
0.440000,-0.022339,-29.223986,0.000017,0.000042,0.001075,-0.099368,-0.005062,0.010753,-29.223986,0.001734,0.000000
0.450000,-0.020851,-29.268465,0.000013,0.000048,0.001231,-0.092750,-0.004725,0.012312,-29.268465,0.001891,0.000000
0.460000,-0.023460,-29.268465,0.000000,0.000054,0.001361,-0.104357,-0.005316,0.013614,-29.268465,0.002064,0.000000
0.470000,-0.034630,-29.223986,0.000000,0.000059,0.001492,-0.154041,-0.007847,0.014916,-29.223986,0.002220,0.000000
0.480000,-0.048409,-29.268465,0.000004,0.000065,0.001648,-0.215332,-0.010970,0.016476,-29.268465,0.002394,0.000000
0.490000,-0.046547,-29.223986,0.000004,0.000072,0.001838,-0.207051,-0.010548,0.018383,-29.223986,0.002567,0.000000
0.500000,-0.032394,-29.223986,0.000000,0.000081,0.002046,-0.144098,-0.007341,0.020465,-29.223986,0.002723,0.000000
0.510000,-0.016380,-29.223986,0.000017,0.000087,0.002203,-0.072863,-0.003712,0.022028,-29.223986,0.002897,0.000000
0.520000,-0.022339,-29.223986,0.000013,0.000091,0.002315,-0.099368,-0.005062,0.023152,-29.223986,0.003053,0.000000
