Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.000740,-28.912619,0.000026,-0.000000,-0.000000,0.003292,0.000168,-0.000000,-28.912619,0.000087,0.000000
0.120000,-0.000748,-28.868137,0.000013,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-28.868137,0.000087,0.000000
0.130000,0.000374,-28.912619,0.000026,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-28.912619,0.000087,0.000000
0.140000,0.008560,-28.868137,0.000026,-0.000000,-0.000000,0.038078,0.001940,-0.000000,-28.868137,0.000087,0.000000
0.150000,-0.000748,-28.912619,0.000000,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-28.912619,0.000087,0.000000
0.160000,0.006699,-28.868137,0.000004,-0.000000,-0.000000,0.029797,0.001518,-0.000000,-28.868137,0.000087,0.000000
0.170000,0.000374,-28.912619,0.000004,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-28.912619,0.000087,0.000000
0.180000,0.000374,-28.868137,0.000017,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-28.868137,0.000087,0.000000
0.190000,-0.001488,-28.868137,0.000034,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-28.868137,0.000087,0.000000
0.200000,-0.004471,-28.912619,0.000017,-0.000000,-0.000000,-0.019887,-0.001013,-0.000000,-28.912619,0.000087,0.000000
0.210000,-0.000000,-28.868137,0.000013,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-28.868137,0.000087,0.000000
0.220000,-0.000000,-28.957100,0.000026,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-28.957100,0.000087,0.000000
0.230000,0.004837,-28.868137,0.000022,-0.000000,-0.000000,0.021516,0.001096,-0.000000,-28.868137,0.000087,0.000000
0.240000,0.001114,-28.912619,0.000004,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-28.912619,0.000087,0.000000
0.250000,-0.008568,-28.957100,0.000009,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-28.957100,0.000087,0.000000
0.260000,-0.001122,-28.912619,0.000004,-0.000000,-0.000000,-0.004989,-0.000254,-0.000000,-28.912619,0.000087,0.000000
0.270000,-0.007446,-28.912619,0.000026,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-28.912619,0.000087,0.000000
0.280000,0.004471,-28.868137,0.000034,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-28.868137,0.000087,0.000000
0.290000,0.008560,-28.912619,-0.000004,-0.000000,-0.000000,0.038078,0.001940,-0.000000,-28.912619,0.000087,0.000000
0.300000,0.011917,-28.912619,0.000017,-0.000000,-0.000000,0.053010,0.002700,-0.000000,-28.912619,0.000087,0.000000
0.310000,-0.006332,-28.912619,0.000022,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-28.912619,0.000087,0.000000
0.320000,-0.007820,-28.912619,0.000034,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-28.912619,0.000087,0.000000
0.330000,-0.006332,-28.868137,0.000013,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-28.868137,0.000087,0.000000
0.340000,0.003723,-28.868137,0.000017,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-28.868137,0.000087,0.000000
0.350000,0.004471,-28.912619,0.000009,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-28.912619,0.000087,0.000000
0.360000,0.005959,-28.912619,0.000009,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-28.912619,0.000087,0.000000
