Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.008192,-26.021357,0.000004,-0.000000,-0.000000,0.036441,0.001856,-0.000000,-26.021357,0.000095,0.000000
0.120000,-0.005213,-26.021357,0.000004,-0.000000,-0.000000,-0.023190,-0.001181,-0.000000,-26.021357,0.000095,0.000000
0.130000,0.006330,-26.021357,-0.000013,-0.000000,-0.000000,0.028159,0.001434,-0.000000,-26.021357,0.000095,0.000000
0.140000,0.008192,-25.976875,0.000000,-0.000000,-0.000000,0.036441,0.001856,-0.000000,-25.976875,0.000095,0.000000
0.150000,0.002979,-26.021357,0.000004,-0.000000,-0.000000,0.013251,0.000675,-0.000000,-26.021357,0.000095,0.000000
0.160000,0.001117,-26.065838,-0.000013,-0.000000,-0.000000,0.004969,0.000253,-0.000000,-26.065838,0.000095,0.000000
0.170000,-0.007075,-26.021357,0.000000,-0.000000,-0.000000,-0.031471,-0.001603,-0.000000,-26.021357,0.000095,0.000000
0.180000,-0.004841,-26.021357,0.000004,-0.000000,-0.000000,-0.021533,-0.001097,-0.000000,-26.021357,0.000095,0.000000
0.190000,0.004096,-26.021357,0.000000,-0.000000,-0.000000,0.018220,0.000928,-0.000000,-26.021357,0.000095,0.000000
0.200000,0.007075,-26.065838,-0.000004,-0.000000,-0.000000,0.031471,0.001603,-0.000000,-26.065838,0.000095,0.000000
0.210000,-0.005958,-25.976875,0.000004,-0.000000,-0.000000,-0.026502,-0.001350,-0.000000,-25.976875,0.000095,0.000000
0.220000,-0.008565,-25.976875,0.000009,-0.000000,-0.000000,-0.038097,-0.001941,-0.000000,-25.976875,0.000095,0.000000
0.230000,-0.011916,-25.976875,-0.000017,-0.000000,-0.000000,-0.053005,-0.002700,-0.000000,-25.976875,0.000095,0.000000
0.240000,-0.007075,-25.976875,0.000000,-0.000000,-0.000000,-0.031471,-0.001603,-0.000000,-25.976875,0.000095,0.000000
0.250000,0.000372,-26.110319,-0.000009,-0.000000,-0.000000,0.001656,0.000084,-0.000000,-26.110319,0.000095,0.000000
0.260000,0.007820,-26.021357,-0.000009,-0.000000,-0.000000,0.034784,0.001772,-0.000000,-26.021357,0.000095,0.000000
0.270000,-0.009682,-26.021357,-0.000004,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-26.021357,0.000095,0.000000
0.280000,-0.007075,-25.976875,0.000004,-0.000000,-0.000000,-0.031471,-0.001603,-0.000000,-25.976875,0.000095,0.000000
0.290000,-0.001490,-25.932394,0.000000,-0.000000,-0.000000,-0.006626,-0.000338,-0.000000,-25.932394,0.000095,0.000000
0.300000,0.001117,-26.021357,0.000000,-0.000000,-0.000000,0.004969,0.000253,-0.000000,-26.021357,0.000095,0.000000
0.310000,0.007820,-26.021357,-0.000004,-0.000000,-0.000000,0.034784,0.001772,-0.000000,-26.021357,0.000095,0.000000
0.320000,-0.001117,-26.021357,0.000004,-0.000000,-0.000000,-0.004969,-0.000253,-0.000000,-26.021357,0.000095,0.000000
0.330000,-0.001490,-26.021357,-0.000004,-0.000000,-0.000000,-0.006626,-0.000338,-0.000000,-26.021357,0.000095,0.000000
0.340000,0.018619,-26.021357,0.000004,-0.000000,-0.000000,0.082820,0.004219,-0.000000,-26.021357,0.000095,0.000000
0.350000,0.010054,-26.110319,-0.000004,-0.000000,-0.000000,0.044723,0.002278,-0.000000,-26.110319,0.000095,0.000000
0.360000,0.002979,-26.021357,0.000000,-0.000000,-0.000000,0.013251,0.000675,-0.000000,-26.021357,0.000095,0.000000
0.370000,-0.010054,-26.065838,0.000004,-0.000000,-0.000000,-0.044723,-0.002278,-0.000000,-26.065838,0.000095,0.000000
0.380000,-0.000745,-26.065838,0.000000,-0.000000,-0.000000,-0.003313,-0.000169,-0.000000,-26.065838,0.000095,0.000000
0.390000,0.008565,-25.976875,0.000004,-0.000000,-0.000000,0.038097,0.001941,-0.000000,-25.976875,0.000147,0.000000
0.400000,0.004096,-26.021357,-0.000013,0.000000,0.000009,0.018220,0.000928,0.000086,-26.021357,0.000321,0.000000
0.410000,-0.002979,-25.976875,0.000000,0.000002,0.000061,-0.013251,-0.000675,0.000607,-25.976875,0.000494,0.000000
0.420000,0.009682,-26.065838,-0.000004,0.000007,0.000182,0.043066,0.002194,0.001821,-26.065838,0.000650,0.000000
0.430000,-0.000000,-26.021357,-0.000004,0.000014,0.000355,-0.000000,-0.000000,0.003555,-26.021357,0.000824,0.000000
0.440000,0.014522,-26.065838,0.000000,0.000022,0.000546,0.064599,0.003291,0.005463,-26.065838,0.000980,0.000000
0.450000,0.008192,-26.021357,0.000000,0.000029,0.000737,0.036441,0.001856,0.007371,-26.021357,0.001153,0.000000
0.460000,-0.011916,-26.021357,-0.000004,0.000036,0.000902,-0.053005,-0.002700,0.009018,-26.021357,0.001327,0.000000
0.470000,-0.017874,-26.021357,0.000000,0.000041,0.001049,-0.079507,-0.004050,0.010493,-26.021357,0.001483,0.000000
0.480000,-0.034258,-26.021357,0.000004,0.000047,0.001188,-0.152389,-0.007763,0.011881,-26.021357,0.001656,0.000000
0.490000,-0.019736,-25.976875,0.000009,0.000052,0.001318,-0.087789,-0.004472,0.013181,-25.976875,0.001812,0.000000
0.500000,-0.031279,-26.021357,0.000004,0.000057,0.001457,-0.139137,-0.007088,0.014569,-26.021357,0.001986,0.000000
0.510000,-0.034631,-26.021357,0.000004,0.000063,0.001596,-0.154045,-0.007847,0.015956,-26.021357,0.002159,0.000000
0.520000,-0.018619,-26.110319,0.000009,0.000068,0.001734,-0.082820,-0.004219,0.017344,-26.110319,0.002315,0.000000
0.530000,-0.004469,-25.976875,0.000000,0.000075,0.001899,-0.019877,-0.001013,0.018992,-25.976875,0.002489,0.000000
