Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.011171,-24.019714,-0.000004,-0.000000,-0.000000,-0.049692,-0.002531,-0.000000,-24.019714,0.000043,0.000000
0.120000,-0.005586,-23.975233,-0.000004,-0.000000,-0.000000,-0.024846,-0.001266,-0.000000,-23.975233,0.000043,0.000000
0.130000,-0.010799,-24.064194,-0.000004,-0.000000,-0.000000,-0.048036,-0.002447,-0.000000,-24.064194,0.000043,0.000000
0.140000,-0.002234,-23.975233,0.000000,-0.000000,-0.000000,-0.009939,-0.000506,-0.000000,-23.975233,0.000043,0.000000
0.150000,0.012661,-24.108675,0.000000,-0.000000,-0.000000,0.056317,0.002869,-0.000000,-24.108675,0.000043,0.000000
0.160000,0.007447,-23.975233,-0.000004,-0.000000,-0.000000,0.033128,0.001688,-0.000000,-23.975233,0.000043,0.000000
0.170000,0.006330,-23.975233,-0.000004,-0.000000,-0.000000,0.028159,0.001434,-0.000000,-23.975233,0.000043,0.000000
0.180000,-0.001490,-24.019714,-0.000013,-0.000000,-0.000000,-0.006626,-0.000338,-0.000000,-24.019714,0.000043,0.000000
0.190000,-0.000372,-23.930752,-0.000009,-0.000000,-0.000000,-0.001657,-0.000084,-0.000000,-23.930752,0.000043,0.000000
0.200000,0.007820,-24.019714,-0.000009,-0.000000,-0.000000,0.034784,0.001772,-0.000000,-24.019714,0.000043,0.000000
0.210000,0.012288,-23.975233,-0.000017,-0.000000,-0.000000,0.054661,0.002785,-0.000000,-23.975233,0.000043,0.000000
0.220000,0.001862,-23.930752,-0.000009,-0.000000,-0.000000,0.008282,0.000422,-0.000000,-23.930752,0.000043,0.000000
0.230000,-0.000000,-24.019714,-0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-24.019714,0.000043,0.000000
0.240000,-0.005213,-23.975233,-0.000004,-0.000000,-0.000000,-0.023190,-0.001181,-0.000000,-23.975233,0.000043,0.000000
0.250000,-0.000745,-23.975233,-0.000004,-0.000000,-0.000000,-0.003313,-0.000169,-0.000000,-23.975233,0.000043,0.000000
0.260000,0.007447,-23.975233,-0.000013,-0.000000,-0.000000,0.033128,0.001688,-0.000000,-23.975233,0.000043,0.000000
0.270000,0.003351,-24.019714,-0.000004,-0.000000,-0.000000,0.014907,0.000759,-0.000000,-24.019714,0.000043,0.000000
0.280000,0.010426,-24.019714,-0.000004,-0.000000,-0.000000,0.046379,0.002363,-0.000000,-24.019714,0.000043,0.000000
0.290000,0.010054,-23.975233,0.000000,-0.000000,-0.000000,0.044723,0.002278,-0.000000,-23.975233,0.000043,0.000000
0.300000,0.003351,-23.975233,-0.000009,-0.000000,-0.000000,0.014907,0.000759,-0.000000,-23.975233,0.000043,0.000000
0.310000,-0.000372,-24.019714,-0.000009,-0.000000,-0.000000,-0.001657,-0.000084,-0.000000,-24.019714,0.000043,0.000000
0.320000,-0.000372,-24.019714,0.000000,-0.000000,-0.000000,-0.001657,-0.000084,-0.000000,-24.019714,0.000043,0.000000
0.330000,0.001117,-24.064194,0.000000,-0.000000,-0.000000,0.004969,0.000253,-0.000000,-24.064194,0.000043,0.000000
0.340000,0.007447,-23.975233,-0.000004,-0.000000,-0.000000,0.033128,0.001688,-0.000000,-23.975233,0.000043,0.000000
0.350000,0.013778,-24.019714,-0.000004,-0.000000,-0.000000,0.061287,0.003122,-0.000000,-24.019714,0.000043,0.000000
0.360000,0.007820,-23.930752,0.000000,-0.000000,-0.000000,0.034784,0.001772,-0.000000,-23.930752,0.000043,0.000000
0.370000,0.001862,-23.975233,-0.000013,-0.000000,-0.000000,0.008282,0.000422,-0.000000,-23.975233,0.000043,0.000000
0.380000,-0.002234,-24.019714,-0.000017,-0.000000,-0.000000,-0.009939,-0.000506,-0.000000,-24.019714,0.000043,0.000000
0.390000,-0.000000,-23.975233,-0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-23.975233,0.000043,0.000000
0.400000,-0.000000,-24.019714,-0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-24.019714,0.000199,0.000000
0.410000,-0.016012,-24.019714,-0.000009,0.000001,0.000017,-0.071225,-0.003628,0.000174,-24.019714,0.000372,0.000000
0.420000,-0.009309,-23.975233,0.000000,0.000003,0.000069,-0.041410,-0.002110,0.000689,-23.975233,0.000546,0.000000
0.430000,-0.005213,-24.019714,-0.000004,0.000007,0.000182,-0.023190,-0.001181,0.001817,-24.019714,0.000702,0.000000
0.440000,-0.014150,-24.019714,-0.000004,0.000013,0.000329,-0.062943,-0.003206,0.003293,-24.019714,0.000876,0.000000
0.450000,-0.016384,-24.019714,0.000004,0.000020,0.000503,-0.072882,-0.003713,0.005026,-24.019714,0.001032,0.000000
0.460000,-0.014895,-24.019714,-0.000004,0.000027,0.000685,-0.066256,-0.003375,0.006851,-24.019714,0.001205,0.000000
0.470000,-0.020853,-23.975233,-0.000004,0.000034,0.000867,-0.092758,-0.004725,0.008667,-23.975233,0.001378,0.000000
