Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.012665,-66.009735,0.001246,-0.018180,-0.461781,0.056336,0.002870,-4.617814,-66.009735,-0.461572,0.000000
0.120000,0.012665,-65.965248,0.001298,-0.018180,-0.461781,0.056336,0.002870,-4.617814,-65.965248,-0.461572,0.000000
0.130000,0.002235,-66.009735,0.001255,-0.018180,-0.461781,0.009944,0.000507,-4.617814,-66.009735,-0.461572,0.000000
0.140000,0.008568,-66.009735,0.001276,-0.018180,-0.461781,0.038112,0.001941,-4.617814,-66.009735,-0.461572,0.000000
0.150000,0.012291,-66.054214,0.001237,-0.018180,-0.461781,0.054673,0.002785,-4.617814,-66.054214,-0.461572,0.000000
0.160000,0.015274,-66.009735,0.001276,-0.018180,-0.461781,0.067942,0.003461,-4.617814,-66.009735,-0.461572,0.000000
0.170000,0.015640,-66.098694,0.001263,-0.018180,-0.461781,0.069571,0.003544,-4.617814,-66.098694,-0.461572,0.000000
0.180000,0.011917,-66.054214,0.001246,-0.018180,-0.461781,0.053010,0.002700,-4.617814,-66.054214,-0.461572,0.000000
0.190000,0.010429,-66.009735,0.001293,-0.018180,-0.461781,0.046392,0.002363,-4.617814,-66.009735,-0.461572,0.000000
0.200000,0.015274,-66.009735,0.001298,-0.018180,-0.461781,0.067942,0.003461,-4.617814,-66.009735,-0.461572,0.000000
0.210000,0.013039,-66.054214,0.001246,-0.018180,-0.461781,0.057999,0.002955,-4.617814,-66.054214,-0.461572,0.000000
0.220000,0.013779,-66.009735,0.001285,-0.018180,-0.461781,0.061291,0.003122,-4.617814,-66.009735,-0.461572,0.000000
0.230000,0.009682,-66.009735,0.001268,-0.018180,-0.461781,0.043066,0.002194,-4.617814,-66.009735,-0.461572,0.000000
0.240000,0.018623,-65.965248,0.001268,-0.018180,-0.461781,0.082841,0.004220,-4.617814,-65.965248,-0.461572,0.000000
