Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.024574,-7.072471,-0.000017,-0.000000,-0.000000,-0.109312,-0.005569,-0.000000,-7.072471,0.000044,0.000000
0.120000,-0.011543,-7.027990,-0.000022,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-7.027990,0.000044,0.000000
0.130000,-0.001488,-7.072471,0.000004,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-7.072471,0.000044,0.000000
0.140000,0.001495,-7.072471,0.000000,-0.000000,-0.000000,0.006652,0.000339,-0.000000,-7.072471,0.000044,0.000000
0.150000,0.001122,-7.027990,-0.000004,-0.000000,-0.000000,0.004989,0.000254,-0.000000,-7.027990,0.000044,0.000000
0.160000,-0.005211,-7.161433,0.000013,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-7.161433,0.000044,0.000000
0.170000,-0.008560,-7.027990,-0.000009,-0.000000,-0.000000,-0.038078,-0.001940,-0.000000,-7.027990,0.000044,0.000000
0.180000,-0.013771,-7.072471,0.000013,-0.000000,-0.000000,-0.061257,-0.003121,-0.000000,-7.072471,0.000044,0.000000
0.190000,-0.016380,-7.027990,0.000017,-0.000000,-0.000000,-0.072863,-0.003712,-0.000000,-7.027990,0.000044,0.000000
0.200000,-0.004463,-7.027990,0.000004,-0.000000,-0.000000,-0.019853,-0.001011,-0.000000,-7.027990,0.000044,0.000000
0.210000,-0.008186,-7.116952,-0.000017,-0.000000,-0.000000,-0.036415,-0.001855,-0.000000,-7.116952,0.000044,0.000000
0.220000,-0.000366,-7.027990,-0.000022,-0.000000,-0.000000,-0.001629,-0.000083,-0.000000,-7.027990,0.000044,0.000000
0.230000,-0.003349,-7.072471,0.000039,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-7.072471,0.000044,0.000000
0.240000,-0.008560,-7.072471,0.000000,-0.000000,-0.000000,-0.038078,-0.001940,-0.000000,-7.072471,0.000044,0.000000
0.250000,-0.015633,-7.072471,0.000026,-0.000000,-0.000000,-0.069537,-0.003542,-0.000000,-7.072471,0.000044,0.000000
0.260000,-0.014519,-7.072471,0.000004,-0.000000,-0.000000,-0.064583,-0.003290,-0.000000,-7.072471,0.000044,0.000000
0.270000,-0.002975,-7.072471,0.000004,-0.000000,-0.000000,-0.013236,-0.000674,-0.000000,-7.072471,0.000044,0.000000
0.280000,-0.008934,-7.027990,0.000017,-0.000000,-0.000000,-0.039741,-0.002024,-0.000000,-7.027990,0.000044,0.000000
0.290000,-0.012657,-7.116952,-0.000009,-0.000000,-0.000000,-0.056302,-0.002868,-0.000000,-7.116952,0.000044,0.000000
0.300000,-0.015633,-7.072471,0.000004,-0.000000,-0.000000,-0.069537,-0.003542,-0.000000,-7.072471,0.000044,0.000000
0.310000,-0.014893,-7.116952,-0.000013,-0.000000,-0.000000,-0.066245,-0.003375,-0.000000,-7.116952,0.000044,0.000000
0.320000,-0.016006,-7.027990,0.000000,-0.000000,-0.000000,-0.071200,-0.003627,-0.000000,-7.027990,0.000044,0.000000
0.330000,-0.021591,-7.072471,-0.000004,-0.000000,-0.000000,-0.096042,-0.004893,-0.000000,-7.072471,0.000044,0.000000
0.340000,-0.025314,-7.116952,-0.000017,-0.000000,-0.000000,-0.112604,-0.005736,-0.000000,-7.116952,0.000044,0.000000
0.350000,-0.017128,-7.027990,-0.000013,-0.000000,-0.000000,-0.076189,-0.003881,-0.000000,-7.027990,0.000044,0.000000
0.360000,-0.007072,-7.116952,0.000004,-0.000000,-0.000000,-0.031460,-0.001603,-0.000000,-7.116952,0.000044,0.000000
0.370000,-0.001114,-7.027990,-0.000009,-0.000000,-0.000000,-0.004955,-0.000252,-0.000000,-7.027990,0.000044,0.000000
0.380000,-0.005951,-7.072471,0.000009,-0.000000,-0.000000,-0.026471,-0.001348,-0.000000,-7.072471,0.000044,0.000000
0.390000,-0.011543,-7.027990,0.000004,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-7.027990,0.000044,0.000000
0.400000,-0.018990,-7.027990,-0.000030,-0.000000,-0.000000,-0.084470,-0.004303,-0.000000,-7.027990,0.000079,0.000000
0.410000,-0.007812,-7.072471,0.000017,-0.000000,-0.000000,-0.034752,-0.001770,-0.000000,-7.072471,0.000235,0.000000
0.420000,-0.020103,-7.027990,-0.000009,0.000001,0.000026,-0.089425,-0.004556,0.000257,-7.027990,0.000409,0.000000
0.430000,-0.022339,-7.072471,-0.000009,0.000003,0.000079,-0.099368,-0.005062,0.000787,-7.072471,0.000565,0.000000
0.440000,-0.038353,-7.072471,0.000004,0.000007,0.000174,-0.170603,-0.008691,0.001741,-7.072471,0.000737,0.000000
0.450000,-0.027176,-7.072471,0.000004,0.000012,0.000313,-0.120884,-0.006158,0.003134,-7.072471,0.000911,0.000000
0.460000,-0.000740,-7.116952,0.000004,0.000018,0.000469,-0.003292,-0.000168,0.004693,-7.116952,0.001067,0.000000
0.470000,-0.003349,-7.072471,-0.000009,0.000025,0.000625,-0.014898,-0.000759,0.006253,-7.072471,0.001240,0.000000
0.480000,-0.007446,-7.116952,-0.000013,0.000031,0.000781,-0.033123,-0.001687,0.007812,-7.116952,0.001397,0.000000
0.490000,-0.000740,-7.116952,-0.000009,0.000039,0.000981,-0.003292,-0.000168,0.009810,-7.116952,0.001570,0.000000
0.500000,0.005592,-7.116952,0.000026,0.000047,0.001188,0.024876,0.001267,0.011885,-7.116952,0.001744,0.000000
0.510000,-0.008560,-7.116952,0.000009,0.000053,0.001353,-0.038078,-0.001940,0.013535,-7.116952,0.001900,0.000000
0.520000,-0.018616,-7.027990,0.000017,0.000058,0.001466,-0.082807,-0.004218,0.014655,-7.027990,0.002073,0.000000
0.530000,-0.004837,-7.116952,0.000009,0.000061,0.001544,-0.021516,-0.001096,0.015442,-7.116952,0.002229,0.000000
0.540000,-0.006699,-7.116952,0.000004,0.000064,0.001621,-0.029797,-0.001518,0.016214,-7.116952,0.002403,0.000000
0.550000,-0.005951,-7.027990,0.000022,0.000068,0.001726,-0.026471,-0.001348,0.017259,-7.027990,0.002577,0.000000
0.560000,0.013039,-7.072471,-0.000017,0.000074,0.001882,0.057999,0.002955,0.018818,-7.072471,0.002733,0.000000
0.570000,0.010429,-7.072471,-0.000034,0.000083,0.002100,0.046392,0.002363,0.020999,-7.072471,0.002905,0.000000
0.580000,-0.007072,-7.116952,0.000022,0.000091,0.002324,-0.031460,-0.001603,0.023239,-7.116952,0.003061,0.000000
0.590000,-0.027550,-7.116952,0.000000,0.000100,0.002550,-0.122547,-0.006243,0.025495,-7.116952,0.003235,0.000000
0.600000,-0.018990,-7.027990,0.000026,0.000110,0.002793,-0.084470,-0.004303,0.027933,-7.027990,0.003408,0.000000
0.610000,0.001122,-7.027990,0.000000,0.000119,0.003019,0.004989,0.000254,0.030188,-7.027990,0.003565,0.000000
