Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.009308,-53.732990,-0.000017,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-53.732990,0.000216,0.000000
0.120000,-0.014893,-53.777470,-0.000013,-0.000000,-0.000000,-0.066245,-0.003375,-0.000000,-53.777470,0.000216,0.000000
0.130000,-0.010429,-53.732990,-0.000017,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-53.732990,0.000216,0.000000
0.140000,-0.022339,-53.777470,-0.000030,-0.000000,-0.000000,-0.099368,-0.005062,-0.000000,-53.777470,0.000216,0.000000
0.150000,-0.010429,-53.777470,-0.000034,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-53.777470,0.000216,0.000000
0.160000,0.004471,-53.777470,-0.000004,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-53.777470,0.000216,0.000000
0.170000,-0.001862,-53.688507,-0.000030,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-53.688507,0.000216,0.000000
0.180000,-0.015640,-53.732990,-0.000004,-0.000000,-0.000000,-0.069571,-0.003544,-0.000000,-53.732990,0.000216,0.000000
0.190000,-0.014519,-53.777470,-0.000034,-0.000000,-0.000000,-0.064583,-0.003290,-0.000000,-53.777470,0.000216,0.000000
0.200000,-0.020477,-53.644028,-0.000013,-0.000000,-0.000000,-0.091088,-0.004640,-0.000000,-53.644028,0.000216,0.000000
0.210000,-0.011917,-53.732990,-0.000004,-0.000000,-0.000000,-0.053010,-0.002700,-0.000000,-53.732990,0.000216,0.000000
0.220000,-0.016388,-53.688507,-0.000039,-0.000000,-0.000000,-0.072897,-0.003714,-0.000000,-53.688507,0.000216,0.000000
0.230000,0.002609,-53.732990,-0.000017,-0.000000,-0.000000,0.011607,0.000591,-0.000000,-53.732990,0.000216,0.000000
0.240000,-0.004845,-53.732990,-0.000022,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-53.732990,0.000216,0.000000
0.250000,-0.013031,-53.688507,-0.000004,-0.000000,-0.000000,-0.057965,-0.002953,-0.000000,-53.688507,0.000216,0.000000
0.260000,-0.001488,-53.732990,-0.000030,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-53.732990,0.000216,0.000000
0.270000,-0.017128,-53.732990,-0.000013,-0.000000,-0.000000,-0.076189,-0.003881,-0.000000,-53.732990,0.000216,0.000000
0.280000,-0.020477,-53.688507,-0.000047,-0.000000,-0.000000,-0.091088,-0.004640,-0.000000,-53.688507,0.000216,0.000000
0.290000,-0.023087,-53.732990,-0.000009,-0.000000,-0.000000,-0.102694,-0.005231,-0.000000,-53.732990,0.000216,0.000000
0.300000,-0.014893,-53.732990,-0.000039,-0.000000,-0.000000,-0.066245,-0.003375,-0.000000,-53.732990,0.000216,0.000000
0.310000,-0.020477,-53.732990,-0.000030,-0.000000,-0.000000,-0.091088,-0.004640,-0.000000,-53.732990,0.000216,0.000000
0.320000,-0.012291,-53.821949,-0.000039,-0.000000,-0.000000,-0.054673,-0.002785,-0.000000,-53.821949,0.000216,0.000000
0.330000,-0.011543,-53.688507,-0.000034,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-53.688507,0.000216,0.000000
0.340000,-0.007072,-53.732990,-0.000026,-0.000000,-0.000000,-0.031460,-0.001603,-0.000000,-53.732990,0.000216,0.000000
0.350000,-0.013405,-53.732990,-0.000039,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-53.732990,0.000216,0.000000
0.360000,-0.017502,-53.732990,-0.000022,-0.000000,-0.000000,-0.077852,-0.003966,-0.000000,-53.732990,0.000216,0.000000
0.370000,-0.008194,-53.777470,-0.000009,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-53.777470,0.000216,0.000000
0.380000,-0.001488,-53.732990,-0.000022,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-53.732990,0.000216,0.000000
0.390000,-0.011917,-53.777470,-0.000013,-0.000000,-0.000000,-0.053010,-0.002700,-0.000000,-53.777470,0.000268,0.000000
0.400000,0.044312,-53.688507,-0.000026,0.000000,0.000008,0.197107,0.010041,0.000076,-53.688507,0.000442,0.000000
0.410000,0.056976,-53.732990,-0.000022,0.000002,0.000061,0.253443,0.012911,0.000606,-53.732990,0.000615,0.000000
0.420000,0.062561,-53.732990,-0.000013,0.000006,0.000156,0.278285,0.014177,0.001559,-53.732990,0.000771,0.000000
0.430000,0.083412,-53.732990,-0.000030,0.000012,0.000312,0.371036,0.018901,0.003119,-53.732990,0.000945,0.000000
0.440000,0.101654,-53.732990,-0.000013,0.000020,0.000503,0.452180,0.023035,0.005026,-53.732990,0.001101,0.000000
0.450000,0.098305,-53.777470,-0.000022,0.000027,0.000693,0.437281,0.022276,0.006934,-53.777470,0.001275,0.000000
0.460000,0.093094,-53.777470,0.000000,0.000034,0.000875,0.414102,0.021095,0.008751,-53.777470,0.001447,0.000000
0.470000,0.091606,-53.777470,-0.000030,0.000041,0.001031,0.407484,0.020758,0.010310,-53.777470,0.001603,0.000000
0.480000,0.092720,-53.688507,-0.000052,0.000046,0.001179,0.412439,0.021011,0.011794,-53.688507,0.001777,0.000000
0.490000,0.083786,-53.777470,-0.000039,0.000053,0.001344,0.372699,0.018986,0.013444,-53.777470,0.001933,0.000000
0.500000,0.089371,-53.732990,-0.000026,0.000059,0.001500,0.397541,0.020252,0.015003,-53.732990,0.002107,0.000000
0.510000,0.087509,-53.732990,-0.000030,0.000065,0.001656,0.389260,0.019830,0.016563,-53.732990,0.002280,0.000000
0.520000,0.088623,-53.777470,-0.000022,0.000071,0.001803,0.394215,0.020082,0.018031,-53.777470,0.002436,0.000000
0.530000,0.085648,-53.732990,-0.000017,0.000077,0.001968,0.380979,0.019408,0.019681,-53.732990,0.002610,0.000000
0.540000,0.091606,-53.821949,-0.000017,0.000085,0.002150,0.407484,0.020758,0.021498,-53.821949,0.002766,0.000000
0.550000,0.076340,-53.732990,-0.000039,0.000091,0.002315,0.339576,0.017299,0.023148,-53.732990,0.002940,0.000000
0.560000,0.081177,-53.732990,-0.000022,0.000097,0.002454,0.361092,0.018395,0.024541,-53.732990,0.003113,0.000000
0.570000,0.080063,-53.732990,-0.000022,0.000102,0.002592,0.356137,0.018143,0.025919,-53.732990,0.003269,0.000000
0.580000,0.059952,-53.732990,-0.000009,0.000107,0.002705,0.266679,0.013585,0.027054,-53.732990,0.003443,0.000000
0.590000,0.043938,-53.732990,-0.000043,0.000110,0.002792,0.195445,0.009956,0.027917,-53.732990,0.003599,0.000000
0.600000,0.031654,-53.777470,-0.000030,0.000113,0.002878,0.140806,0.007173,0.028780,-53.777470,0.003771,0.000000
0.610000,0.038353,-53.732990,-0.000013,0.000117,0.002982,0.170603,0.008691,0.029825,-53.732990,0.003945,0.000000
0.620000,0.034256,-53.732990,-0.000026,0.000123,0.003113,0.152378,0.007763,0.031127,-53.732990,0.004101,0.000000
0.630000,0.042076,-53.732990,-0.000009,0.000128,0.003252,0.187164,0.009535,0.032520,-53.732990,0.004275,0.000000
0.640000,0.037979,-53.777470,-0.000013,0.000133,0.003382,0.168940,0.008606,0.033822,-53.777470,0.004431,0.000000
0.650000,0.062187,-53.732990,-0.000026,0.000139,0.003529,0.276622,0.014092,0.035290,-53.732990,0.004604,0.000000
