Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.034256,-26.599609,0.001229,-0.010597,-0.269161,-0.152378,-0.007763,-2.691605,-26.599609,-0.268979,0.000000
0.120000,-0.025688,-26.599609,0.001220,-0.010597,-0.269161,-0.114267,-0.005821,-2.691605,-26.599609,-0.268979,0.000000
0.130000,-0.025322,-26.599609,0.001203,-0.010597,-0.269161,-0.112638,-0.005738,-2.691605,-26.599609,-0.268979,0.000000
0.140000,-0.024200,-26.688570,0.001207,-0.010597,-0.269161,-0.107649,-0.005484,-2.691605,-26.688570,-0.268979,0.000000
0.150000,-0.019363,-26.555128,0.001207,-0.010597,-0.269161,-0.086133,-0.004388,-2.691605,-26.555128,-0.268979,0.000000
0.160000,-0.020851,-26.599609,0.001233,-0.010597,-0.269161,-0.092750,-0.004725,-2.691605,-26.599609,-0.268979,0.000000
0.170000,-0.020477,-26.599609,0.001212,-0.010597,-0.269161,-0.091088,-0.004640,-2.691605,-26.599609,-0.268979,0.000000
0.180000,-0.020851,-26.599609,0.001199,-0.010597,-0.269161,-0.092750,-0.004725,-2.691605,-26.599609,-0.268979,0.000000
0.190000,-0.026436,-26.599609,0.001190,-0.010597,-0.269161,-0.117593,-0.005990,-2.691605,-26.599609,-0.268979,0.000000
0.200000,-0.021965,-26.555128,0.001216,-0.010597,-0.269161,-0.097705,-0.004977,-2.691605,-26.555128,-0.268979,0.000000
0.210000,-0.024948,-26.644089,0.001186,-0.010597,-0.269161,-0.110975,-0.005653,-2.691605,-26.644089,-0.268979,0.000000
0.220000,-0.024574,-26.599609,0.001186,-0.010597,-0.269161,-0.109312,-0.005569,-2.691605,-26.599609,-0.268979,0.000000
0.230000,-0.016380,-26.644089,0.001177,-0.010597,-0.269161,-0.072863,-0.003712,-2.691605,-26.644089,-0.268979,0.000000
0.240000,-0.024574,-26.599609,0.001190,-0.010597,-0.269161,-0.109312,-0.005569,-2.691605,-26.599609,-0.268979,0.000000
0.250000,-0.030159,-26.555128,0.001203,-0.010597,-0.269161,-0.134154,-0.006834,-2.691605,-26.555128,-0.268979,0.000000
0.260000,-0.025322,-26.644089,0.001229,-0.010597,-0.269161,-0.112638,-0.005738,-2.691605,-26.644089,-0.268979,0.000000
0.270000,-0.014519,-26.555128,0.001190,-0.010597,-0.269161,-0.064583,-0.003290,-2.691605,-26.555128,-0.268979,0.000000
0.280000,-0.017128,-26.599609,0.001203,-0.010597,-0.269161,-0.076189,-0.003881,-2.691605,-26.599609,-0.268979,0.000000
0.290000,-0.020103,-26.644089,0.001194,-0.010597,-0.269161,-0.089425,-0.004556,-2.691605,-26.644089,-0.268979,0.000000
0.300000,-0.015640,-26.688570,0.001224,-0.010597,-0.269161,-0.069571,-0.003544,-2.691605,-26.688570,-0.268979,0.000000
0.310000,-0.021591,-26.599609,0.001216,-0.010597,-0.269161,-0.096042,-0.004893,-2.691605,-26.599609,-0.268979,0.000000
0.320000,-0.024574,-26.644089,0.001212,-0.010597,-0.269161,-0.109312,-0.005569,-2.691605,-26.644089,-0.268979,0.000000
0.330000,-0.024200,-26.555128,0.001212,-0.010597,-0.269161,-0.107649,-0.005484,-2.691605,-26.555128,-0.268979,0.000000
0.340000,-0.026436,-26.599609,0.001203,-0.010597,-0.269161,-0.117593,-0.005990,-2.691605,-26.599609,-0.268979,0.000000
0.350000,-0.020851,-26.599609,0.001220,-0.010597,-0.269161,-0.092750,-0.004725,-2.691605,-26.599609,-0.268979,0.000000
0.360000,-0.027924,-26.599609,0.001203,-0.010597,-0.269161,-0.124210,-0.006328,-2.691605,-26.599609,-0.268979,0.000000
0.370000,-0.023087,-26.599609,0.001194,-0.010597,-0.269151,-0.102694,-0.005231,-2.691514,-26.599609,-0.268909,0.000000
0.380000,-0.036491,-26.599609,0.001203,-0.010595,-0.269117,-0.162322,-0.008269,-2.691166,-26.599609,-0.268735,0.000000
0.390000,-0.015266,-26.644089,0.001220,-0.010592,-0.269039,-0.067908,-0.003459,-2.690394,-26.644089,-0.268579,0.000000
0.400000,-0.013405,-26.644089,0.001207,-0.010587,-0.268909,-0.059628,-0.003038,-2.689092,-26.644089,-0.268405,0.000000
0.410000,-0.057716,-26.599609,0.001216,-0.010580,-0.268744,-0.256735,-0.013079,-2.687442,-26.599609,-0.268249,0.000000
0.420000,-0.060318,-26.555128,0.001199,-0.010573,-0.268563,-0.268308,-0.013668,-2.685625,-26.555128,-0.268077,0.000000
0.430000,-0.052872,-26.644089,0.001212,-0.010566,-0.268388,-0.235185,-0.011981,-2.683884,-26.644089,-0.267902,0.000000
0.440000,-0.049896,-26.644089,0.001207,-0.010561,-0.268242,-0.221950,-0.011307,-2.682416,-26.644089,-0.267746,0.000000
0.450000,-0.053246,-26.599609,0.001212,-0.010555,-0.268102,-0.236848,-0.012066,-2.681023,-26.599609,-0.267574,0.000000
0.460000,-0.044312,-26.644089,0.001194,-0.010549,-0.267946,-0.197107,-0.010041,-2.679463,-26.644089,-0.267416,0.000000
0.470000,-0.038727,-26.599609,0.001220,-0.010542,-0.267765,-0.172265,-0.008776,-2.677647,-26.599609,-0.267244,0.000000
0.480000,-0.041328,-26.599609,0.001220,-0.010534,-0.267574,-0.183838,-0.009365,-2.675739,-26.599609,-0.267070,0.000000
0.490000,-0.040215,-26.644089,0.001177,-0.010529,-0.267435,-0.178883,-0.009113,-2.674346,-26.644089,-0.266914,0.000000
