Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.009682,-120.765785,-0.000009,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-120.765785,0.000104,0.000000
0.020000,-0.007820,-120.721298,-0.000009,-0.000000,-0.000000,-0.034784,-0.001772,-0.000000,-120.721298,0.000104,0.000000
0.030000,-0.017874,-120.765785,0.000017,-0.000000,-0.000000,-0.079507,-0.004050,-0.000000,-120.765785,0.000104,0.000000
0.040000,-0.007075,-120.765785,0.000004,-0.000000,-0.000000,-0.031471,-0.001603,-0.000000,-120.765785,0.000104,0.000000
0.050000,-0.003351,-120.676819,0.000030,-0.000000,-0.000000,-0.014908,-0.000759,-0.000000,-120.676819,0.000104,0.000000
0.060000,-0.000000,-120.721298,0.000013,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-120.721298,0.000104,0.000000
0.070000,-0.008937,-120.765785,0.000004,-0.000000,-0.000000,-0.039754,-0.002025,-0.000000,-120.765785,0.000104,0.000000
0.080000,-0.018246,-120.676819,0.000030,-0.000000,-0.000000,-0.081164,-0.004135,-0.000000,-120.676819,0.000104,0.000000
0.090000,-0.010426,-120.721298,0.000000,-0.000000,-0.000000,-0.046379,-0.002363,-0.000000,-120.721298,0.000104,0.000000
0.100000,-0.003351,-120.676819,-0.000013,-0.000000,-0.000000,-0.014908,-0.000759,-0.000000,-120.676819,0.000104,0.000000
0.110000,-0.000000,-120.721298,0.000013,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-120.721298,0.000104,0.000000
0.120000,-0.005213,-120.765785,0.000013,-0.000000,-0.000000,-0.023190,-0.001181,-0.000000,-120.765785,0.000104,0.000000
0.130000,-0.005958,-120.676819,0.000017,-0.000000,-0.000000,-0.026502,-0.001350,-0.000000,-120.676819,0.000104,0.000000
0.140000,-0.006703,-120.765785,-0.000004,-0.000000,-0.000000,-0.029815,-0.001519,-0.000000,-120.765785,0.000104,0.000000
0.150000,-0.009682,-120.721298,-0.000009,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-120.721298,0.000104,0.000000
0.160000,-0.007447,-120.721298,0.000022,-0.000000,-0.000000,-0.033128,-0.001688,-0.000000,-120.721298,0.000104,0.000000
0.170000,-0.005213,-120.721298,0.000022,-0.000000,-0.000000,-0.023190,-0.001181,-0.000000,-120.721298,0.000104,0.000000
0.180000,0.000745,-120.721298,0.000017,-0.000000,-0.000000,0.003313,0.000169,-0.000000,-120.721298,0.000104,0.000000
0.190000,0.007075,-120.765785,-0.000009,-0.000000,-0.000000,0.031471,0.001603,-0.000000,-120.765785,0.000104,0.000000
0.200000,0.003351,-120.676819,-0.000004,-0.000000,-0.000000,0.014907,0.000759,-0.000000,-120.676819,0.000104,0.000000
0.210000,0.005586,-120.721298,-0.000004,-0.000000,-0.000000,0.024846,0.001266,-0.000000,-120.721298,0.000104,0.000000
0.220000,-0.008937,-120.676819,0.000030,-0.000000,-0.000000,-0.039754,-0.002025,-0.000000,-120.676819,0.000104,0.000000
0.230000,-0.006330,-120.721298,-0.000013,-0.000000,-0.000000,-0.028159,-0.001434,-0.000000,-120.721298,0.000104,0.000000
0.240000,-0.005586,-120.721298,0.000022,-0.000000,-0.000000,-0.024846,-0.001266,-0.000000,-120.721298,0.000104,0.000000
0.250000,-0.007447,-120.676819,-0.000017,-0.000000,-0.000000,-0.033128,-0.001688,-0.000000,-120.676819,0.000104,0.000000
0.260000,-0.005586,-120.765785,0.000017,-0.000000,-0.000000,-0.024846,-0.001266,-0.000000,-120.765785,0.000104,0.000000
0.270000,-0.005958,-120.721298,-0.000009,-0.000000,-0.000000,-0.026502,-0.001350,-0.000000,-120.721298,0.000104,0.000000
0.280000,-0.004469,-120.676819,0.000004,-0.000000,-0.000000,-0.019877,-0.001013,-0.000000,-120.676819,0.000104,0.000000
0.290000,-0.009682,-120.721298,0.000009,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-120.721298,0.000104,0.000000
0.300000,0.002607,-120.676819,0.000013,-0.000000,-0.000000,0.011595,0.000591,-0.000000,-120.676819,0.000104,0.000000
0.310000,-0.010054,-120.765785,0.000030,-0.000000,-0.000000,-0.044723,-0.002278,-0.000000,-120.765785,0.000104,0.000000
0.320000,-0.011171,-120.721298,0.000004,-0.000000,-0.000000,-0.049692,-0.002531,-0.000000,-120.721298,0.000104,0.000000
0.330000,0.001117,-120.721298,0.000017,-0.000000,-0.000000,0.004969,0.000253,-0.000000,-120.721298,0.000104,0.000000
0.340000,0.006330,-120.676819,-0.000009,-0.000000,-0.000000,0.028159,0.001434,-0.000000,-120.676819,0.000174,0.000000
0.350000,-0.010799,-120.632339,0.000009,0.000001,0.000018,-0.048036,-0.002447,0.000182,-120.632339,0.000348,0.000000
0.360000,-0.045802,-120.721298,0.000017,0.000002,0.000044,-0.203737,-0.010379,0.000439,-120.721298,0.000521,0.000000
0.370000,-0.055111,-120.676819,-0.000009,0.000005,0.000123,-0.245147,-0.012488,0.001226,-120.676819,0.000677,0.000000
0.380000,-0.060697,-120.676819,-0.000009,0.000010,0.000244,-0.269993,-0.013754,0.002437,-120.676819,0.000851,0.000000
0.390000,-0.020853,-120.765785,0.000004,0.000016,0.000416,-0.092758,-0.004725,0.004163,-120.765785,0.001007,0.000000
