Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.006706,-88.205727,-0.000009,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-88.205727,0.000182,0.000000
0.120000,-0.001488,-88.294685,-0.000013,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-88.294685,0.000182,0.000000
0.130000,0.002975,-88.250206,-0.000004,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-88.250206,0.000182,0.000000
0.140000,-0.005211,-88.205727,0.000000,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-88.205727,0.000182,0.000000
0.150000,-0.000748,-88.250206,0.000000,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-88.250206,0.000182,0.000000
0.160000,0.010429,-88.294685,0.000000,-0.000000,-0.000000,0.046392,0.002363,-0.000000,-88.294685,0.000182,0.000000
0.170000,0.008934,-88.250206,-0.000004,-0.000000,-0.000000,0.039741,0.002024,-0.000000,-88.250206,0.000182,0.000000
0.180000,-0.000374,-88.250206,-0.000013,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-88.250206,0.000182,0.000000
0.190000,0.003349,-88.250206,0.000004,-0.000000,-0.000000,0.014898,0.000759,-0.000000,-88.250206,0.000182,0.000000
0.200000,-0.007446,-88.250206,-0.000009,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-88.250206,0.000182,0.000000
0.210000,0.000748,-88.205727,0.000000,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-88.205727,0.000182,0.000000
0.220000,0.002235,-88.250206,0.000000,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-88.250206,0.000182,0.000000
0.230000,0.008194,-88.161247,-0.000009,-0.000000,-0.000000,0.036449,0.001857,-0.000000,-88.161247,0.000182,0.000000
0.240000,0.010796,-88.205727,0.000009,-0.000000,-0.000000,0.048021,0.002446,-0.000000,-88.205727,0.000182,0.000000
0.250000,0.000374,-88.294685,-0.000013,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-88.294685,0.000182,0.000000
0.260000,0.011543,-88.205727,-0.000004,-0.000000,-0.000000,0.051347,0.002616,-0.000000,-88.205727,0.000182,0.000000
0.270000,0.000748,-88.205727,-0.000004,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-88.205727,0.000182,0.000000
0.280000,-0.000000,-88.205727,-0.000009,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-88.205727,0.000182,0.000000
0.290000,0.005585,-88.205727,-0.000013,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-88.205727,0.000182,0.000000
0.300000,0.012291,-88.205727,-0.000034,-0.000000,-0.000000,0.054673,0.002785,-0.000000,-88.205727,0.000182,0.000000
0.310000,0.009682,-88.205727,-0.000017,-0.000000,-0.000000,0.043066,0.002194,-0.000000,-88.205727,0.000182,0.000000
0.320000,0.004471,-88.294685,-0.000013,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-88.294685,0.000182,0.000000
0.330000,0.002235,-88.250206,-0.000017,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-88.250206,0.000182,0.000000
0.340000,-0.001488,-88.250206,0.000004,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-88.250206,0.000182,0.000000
0.350000,-0.004471,-88.250206,-0.000022,-0.000000,-0.000000,-0.019887,-0.001013,-0.000000,-88.250206,0.000182,0.000000
0.360000,0.010429,-88.205727,-0.000017,-0.000000,-0.000000,0.046392,0.002363,-0.000000,-88.205727,0.000182,0.000000
0.370000,0.008934,-88.294685,-0.000004,-0.000000,-0.000000,0.039741,0.002024,-0.000000,-88.294685,0.000182,0.000000
0.380000,0.005959,-88.250206,0.000004,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-88.250206,0.000260,0.000000
0.390000,-0.028297,-88.250206,-0.000017,-0.000000,-0.000000,-0.125873,-0.006412,-0.000000,-88.250206,0.000347,0.000000
0.400000,-0.015266,-88.294685,-0.000009,-0.000000,-0.000000,-0.067908,-0.003459,-0.000000,-88.294685,0.000433,0.000000
0.410000,-0.005211,-88.250206,0.000004,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-88.250206,0.000512,0.000000
0.420000,-0.023087,-88.294685,-0.000009,-0.000000,-0.000000,-0.102694,-0.005231,-0.000000,-88.294685,0.000598,0.000000
0.430000,-0.004845,-88.250206,0.000004,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-88.250206,0.000676,0.000000
0.440000,0.019737,-88.250206,0.000000,-0.000000,-0.000000,0.087796,0.004473,-0.000000,-88.250206,0.000763,0.000000
0.450000,-0.011169,-88.250206,-0.000017,-0.000000,-0.000000,-0.049684,-0.002531,-0.000000,-88.250206,0.000850,0.000000
