Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.003724,-1296.708740,0.000022,-0.000000,-0.000000,0.016564,0.000844,-0.000000,-1296.708740,0.000191,0.000000
0.120000,-0.010054,-1296.575195,0.000297,-0.000000,-0.000000,-0.044723,-0.002278,-0.000000,-1296.575195,0.000191,0.000000
0.130000,-0.012288,-1296.619751,0.000078,-0.000000,-0.000000,-0.054661,-0.002785,-0.000000,-1296.619751,0.000191,0.000000
0.140000,0.004841,-1296.575195,0.000017,-0.000000,-0.000000,0.021533,0.001097,-0.000000,-1296.575195,0.000191,0.000000
0.150000,0.006330,-1296.664185,0.000004,-0.000000,-0.000000,0.028159,0.001434,-0.000000,-1296.664185,0.000191,0.000000
0.160000,0.001489,-1296.619751,0.000004,-0.000000,-0.000000,0.006625,0.000338,-0.000000,-1296.619751,0.000191,0.000000
0.170000,0.001489,-1296.530762,-0.000030,-0.000000,-0.000000,0.006625,0.000338,-0.000000,-1296.530762,0.000191,0.000000
0.180000,-0.003351,-1296.664185,0.000043,-0.000000,-0.000000,-0.014908,-0.000759,-0.000000,-1296.664185,0.000191,0.000000
0.190000,-0.002234,-1296.664185,0.000043,-0.000000,-0.000000,-0.009938,-0.000506,-0.000000,-1296.664185,0.000191,0.000000
0.200000,-0.000372,-1296.619751,-0.000022,-0.000000,-0.000000,-0.001657,-0.000084,-0.000000,-1296.619751,0.000191,0.000000
0.210000,-0.008192,-1296.664185,0.000155,-0.000000,-0.000000,-0.036441,-0.001856,-0.000000,-1296.664185,0.000191,0.000000
0.220000,-0.000000,-1296.575195,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-1296.575195,0.000191,0.000000
0.230000,0.005213,-1296.619751,0.000013,-0.000000,-0.000000,0.023189,0.001181,-0.000000,-1296.619751,0.000191,0.000000
0.240000,0.006703,-1296.575195,-0.000009,-0.000000,-0.000000,0.029815,0.001519,-0.000000,-1296.575195,0.000191,0.000000
0.250000,0.002607,-1296.619751,-0.000034,-0.000000,-0.000000,0.011595,0.000591,-0.000000,-1296.619751,0.000191,0.000000
0.260000,-0.005958,-1296.708740,0.000082,-0.000000,-0.000000,-0.026502,-0.001350,-0.000000,-1296.708740,0.000191,0.000000
0.270000,-0.007075,-1296.664185,0.000091,-0.000000,-0.000000,-0.031471,-0.001603,-0.000000,-1296.664185,0.000191,0.000000
0.280000,0.007447,-1296.619751,-0.000009,-0.000000,-0.000000,0.033128,0.001688,-0.000000,-1296.619751,0.000191,0.000000
0.290000,0.003724,-1296.664185,0.000022,-0.000000,-0.000000,0.016564,0.000844,-0.000000,-1296.664185,0.000191,0.000000
0.300000,0.001117,-1296.619751,-0.000017,-0.000000,-0.000000,0.004969,0.000253,-0.000000,-1296.619751,0.000191,0.000000
0.310000,-0.003724,-1296.664185,-0.000013,-0.000000,-0.000000,-0.016564,-0.000844,-0.000000,-1296.664185,0.000191,0.000000
0.320000,0.010799,-1296.619751,0.000056,-0.000000,-0.000000,0.048036,0.002447,-0.000000,-1296.619751,0.000191,0.000000
0.330000,0.002234,-1296.708740,0.000082,-0.000000,-0.000000,0.009938,0.000506,-0.000000,-1296.708740,0.000191,0.000000
0.340000,0.001489,-1296.575195,0.000022,-0.000000,-0.000000,0.006625,0.000338,-0.000000,-1296.575195,0.000191,0.000000
0.350000,0.001489,-1296.575195,0.000142,-0.000000,-0.000000,0.006625,0.000338,-0.000000,-1296.575195,0.000191,0.000000
0.360000,-0.002979,-1296.664185,0.000095,-0.000000,-0.000000,-0.013251,-0.000675,-0.000000,-1296.664185,0.000191,0.000000
0.370000,0.002234,-1296.619751,0.000259,-0.000000,-0.000000,0.009938,0.000506,-0.000000,-1296.619751,0.000191,0.000000
0.380000,0.002607,-1296.708740,0.000125,-0.000000,-0.000000,0.011595,0.000591,-0.000000,-1296.708740,0.000191,0.000000
0.390000,-0.001490,-1296.619751,0.000082,-0.000000,-0.000000,-0.006626,-0.000338,-0.000000,-1296.619751,0.000191,0.000000
0.400000,-0.002607,-1296.619751,0.000108,-0.000000,-0.000000,-0.011595,-0.000591,-0.000000,-1296.619751,0.000191,0.000000
0.410000,0.003724,-1296.664185,0.000030,-0.000000,-0.000000,0.016564,0.000844,-0.000000,-1296.664185,0.000191,0.000000
0.420000,-0.010426,-1296.575195,0.000039,0.000001,0.000017,-0.046379,-0.002363,0.000173,-1296.575195,0.000330,0.000000
0.430000,-0.020108,-1296.619751,0.000121,0.000003,0.000078,-0.089445,-0.004557,0.000781,-1296.619751,0.000503,0.000000
0.440000,-0.003724,-1296.619751,0.000224,0.000007,0.000173,-0.016564,-0.000844,0.001734,-1296.619751,0.000659,0.000000
0.450000,-0.020853,-1296.619751,0.000030,0.000011,0.000286,-0.092758,-0.004725,0.002861,-1296.619751,0.000832,0.000000
0.460000,-0.007075,-1296.708740,0.000138,0.000017,0.000425,-0.031471,-0.001603,0.004249,-1296.708740,0.001006,0.000000
0.470000,0.005958,-1296.575195,0.000177,0.000023,0.000581,0.026502,0.001350,0.005810,-1296.575195,0.001162,0.000000
0.480000,0.006330,-1296.664185,0.000013,0.000030,0.000763,0.028159,0.001434,0.007631,-1296.664185,0.001336,0.000000
0.490000,-0.005586,-1296.664185,0.000220,0.000039,0.000980,-0.024846,-0.001266,0.009799,-1296.664185,0.001492,0.000000
0.500000,-0.017129,-1296.664185,0.000060,0.000048,0.001214,-0.076194,-0.003882,0.012141,-1296.664185,0.001665,0.000000
0.510000,-0.023087,-1296.619751,-0.000034,0.000056,0.001414,-0.102696,-0.005232,0.014136,-1296.619751,0.001839,0.000000
0.520000,-0.011544,-1296.619751,0.000069,0.000062,0.001570,-0.051348,-0.002616,0.015697,-1296.619751,0.001995,0.000000
0.530000,-0.017502,-1296.575195,0.000065,0.000067,0.001708,-0.077851,-0.003966,0.017084,-1296.575195,0.002168,0.000000
0.540000,-0.040589,-1296.664185,0.000164,0.000072,0.001821,-0.180547,-0.009197,0.018212,-1296.664185,0.002324,0.000000
0.550000,-0.078943,-1296.619751,0.000086,0.000076,0.001925,-0.351156,-0.017889,0.019252,-1296.619751,0.002498,0.000000
0.560000,-0.065910,-1296.708740,0.000047,0.000080,0.002029,-0.293182,-0.014935,0.020293,-1296.708740,0.002671,0.000000
0.570000,-0.052132,-1296.619751,0.000052,0.000084,0.002133,-0.231896,-0.011813,0.021334,-1296.619751,0.002827,0.000000
0.580000,-0.070378,-1296.664185,0.000384,0.000088,0.002246,-0.313059,-0.015948,0.022461,-1296.664185,0.003001,0.000000
0.590000,-0.077081,-1296.575195,0.000086,0.000093,0.002350,-0.342874,-0.017467,0.023501,-1296.575195,0.003157,0.000000
0.600000,-0.071123,-1296.575195,0.000086,0.000097,0.002454,-0.316372,-0.016117,0.024542,-1296.575195,0.003330,0.000000
0.610000,-0.067772,-1296.619751,0.000030,0.000101,0.002576,-0.301464,-0.015357,0.025756,-1296.619751,0.003504,0.000000
0.620000,-0.045429,-1296.619751,0.000116,0.000107,0.002706,-0.202080,-0.010294,0.027057,-1296.619751,0.003660,0.000000
0.630000,-0.012288,-1296.664185,-0.000078,0.000113,0.002870,-0.054661,-0.002785,0.028705,-1296.664185,0.003833,0.000000
0.640000,-0.024949,-1296.664185,0.000108,0.000120,0.003053,-0.110978,-0.005654,0.030526,-1296.664185,0.003989,0.000000
0.650000,-0.018619,-1296.619751,0.000168,0.000128,0.003243,-0.082820,-0.004219,0.032434,-1296.619751,0.004163,0.000000
