Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.000372,-53.243698,-0.000017,-0.000000,-0.000000,-0.001657,-0.000084,-0.000000,-53.243698,0.000061,0.000000
0.120000,-0.006703,-53.199219,-0.000039,-0.000000,-0.000000,-0.029815,-0.001519,-0.000000,-53.199219,0.000061,0.000000
0.130000,0.004096,-53.288177,-0.000039,-0.000000,-0.000000,0.018220,0.000928,-0.000000,-53.288177,0.000061,0.000000
0.140000,0.003351,-53.199219,-0.000009,-0.000000,-0.000000,0.014907,0.000759,-0.000000,-53.199219,0.000061,0.000000
0.150000,0.003724,-53.243698,0.000009,-0.000000,-0.000000,0.016564,0.000844,-0.000000,-53.243698,0.000061,0.000000
0.160000,-0.006330,-53.243698,-0.000026,-0.000000,-0.000000,-0.028159,-0.001434,-0.000000,-53.243698,0.000061,0.000000
0.170000,0.005213,-53.243698,0.000009,-0.000000,-0.000000,0.023189,0.001181,-0.000000,-53.243698,0.000061,0.000000
0.180000,-0.000745,-53.288177,0.000000,-0.000000,-0.000000,-0.003313,-0.000169,-0.000000,-53.288177,0.000061,0.000000
0.190000,-0.008937,-53.243698,-0.000004,-0.000000,-0.000000,-0.039754,-0.002025,-0.000000,-53.243698,0.000061,0.000000
0.200000,-0.005586,-53.243698,0.000026,-0.000000,-0.000000,-0.024846,-0.001266,-0.000000,-53.243698,0.000061,0.000000
0.210000,-0.003351,-53.288177,0.000009,-0.000000,-0.000000,-0.014908,-0.000759,-0.000000,-53.288177,0.000061,0.000000
0.220000,-0.001117,-53.243698,0.000009,-0.000000,-0.000000,-0.004969,-0.000253,-0.000000,-53.243698,0.000061,0.000000
0.230000,-0.001117,-53.288177,-0.000009,-0.000000,-0.000000,-0.004969,-0.000253,-0.000000,-53.288177,0.000061,0.000000
