Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.002609,-40.566628,0.000043,-0.000000,-0.000000,-0.011607,-0.000591,-0.000000,-40.566628,0.000078,0.000000
0.120000,-0.008942,-40.522148,0.000022,-0.000000,-0.000000,-0.039774,-0.002026,-0.000000,-40.522148,0.000078,0.000000
0.130000,-0.005585,-40.566628,0.000017,-0.000000,-0.000000,-0.024842,-0.001266,-0.000000,-40.566628,0.000078,0.000000
0.140000,-0.006706,-40.566628,0.000034,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-40.566628,0.000078,0.000000
0.150000,-0.002983,-40.522148,0.000034,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-40.522148,0.000078,0.000000
0.160000,0.003723,-40.566628,0.000039,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-40.566628,0.000078,0.000000
0.170000,0.004837,-40.566628,0.000026,-0.000000,-0.000000,0.021516,0.001096,-0.000000,-40.566628,0.000078,0.000000
0.180000,0.002609,-40.522148,0.000039,-0.000000,-0.000000,0.011607,0.000591,-0.000000,-40.522148,0.000078,0.000000
0.190000,-0.011543,-40.566628,0.000026,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-40.566628,0.000078,0.000000
0.200000,-0.004097,-40.477665,0.000056,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-40.477665,0.000078,0.000000
0.210000,-0.002235,-40.566628,0.000030,-0.000000,-0.000000,-0.009944,-0.000507,-0.000000,-40.566628,0.000078,0.000000
0.220000,-0.000748,-40.477665,0.000039,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-40.477665,0.000078,0.000000
0.230000,-0.008568,-40.566628,0.000043,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-40.566628,0.000078,0.000000
0.240000,-0.008942,-40.611107,0.000026,-0.000000,-0.000000,-0.039774,-0.002026,-0.000000,-40.611107,0.000078,0.000000
0.250000,-0.001862,-40.477665,0.000026,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-40.477665,0.000078,0.000000
0.260000,-0.008568,-40.566628,0.000026,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-40.566628,0.000078,0.000000
0.270000,-0.004845,-40.477665,0.000052,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-40.477665,0.000078,0.000000
0.280000,-0.006332,-40.566628,0.000026,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-40.566628,0.000078,0.000000
0.290000,-0.001488,-40.566628,0.000034,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-40.566628,0.000078,0.000000
0.300000,-0.002983,-40.522148,0.000034,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-40.522148,0.000078,0.000000
0.310000,-0.009308,-40.566628,0.000034,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-40.566628,0.000078,0.000000
0.320000,-0.001488,-40.566628,0.000039,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-40.566628,0.000078,0.000000
0.330000,-0.010429,-40.566628,0.000004,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-40.566628,0.000078,0.000000
0.340000,-0.008568,-40.611107,0.000039,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-40.611107,0.000078,0.000000
0.350000,0.002975,-40.522148,0.000052,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-40.522148,0.000182,0.000000
0.360000,-0.011169,-40.566628,0.000026,0.000001,0.000017,-0.049684,-0.002531,0.000174,-40.566628,0.000355,0.000000
0.370000,-0.012291,-40.566628,0.000047,0.000002,0.000061,-0.054673,-0.002785,0.000606,-40.566628,0.000529,0.000000
0.380000,0.000740,-40.566628,0.000043,0.000006,0.000147,0.003292,0.000168,0.001472,-40.566628,0.000685,0.000000
0.390000,-0.016388,-40.566628,0.000026,0.000010,0.000260,-0.072897,-0.003714,0.002600,-40.566628,0.000858,0.000000
0.400000,0.003349,-40.522148,0.000047,0.000016,0.000408,0.014898,0.000759,0.004076,-40.522148,0.001032,0.000000
0.410000,0.011917,-40.566628,0.000000,0.000022,0.000564,0.053010,0.002700,0.005636,-40.566628,0.001188,0.000000
0.420000,0.004471,-40.522148,0.000039,0.000028,0.000711,0.019887,0.001013,0.007112,-40.522148,0.001361,0.000000
0.430000,0.015266,-40.611107,0.000052,0.000034,0.000867,0.067908,0.003459,0.008671,-40.611107,0.001518,0.000000
0.440000,0.015266,-40.522148,0.000017,0.000042,0.001058,0.067908,0.003459,0.010579,-40.522148,0.001691,0.000000
0.450000,0.001862,-40.566628,0.000047,0.000051,0.001292,0.008281,0.000422,0.012922,-40.566628,0.001864,0.000000
0.460000,-0.006706,-40.566628,0.000030,0.000060,0.001526,-0.029831,-0.001520,0.015261,-40.566628,0.002020,0.000000
0.470000,-0.021225,-40.433186,0.000026,0.000067,0.001709,-0.094413,-0.004810,0.017085,-40.433186,0.002194,0.000000
0.480000,-0.013405,-40.566628,0.000043,0.000073,0.001856,-0.059628,-0.003038,0.018557,-40.566628,0.002350,0.000000
0.490000,-0.016754,-40.566628,0.000039,0.000078,0.001986,-0.074526,-0.003797,0.019859,-40.566628,0.002523,0.000000
0.500000,-0.027557,-40.522148,0.000060,0.000084,0.002124,-0.122581,-0.006245,0.021245,-40.522148,0.002697,0.000000
0.510000,-0.040215,-40.566628,0.000043,0.000089,0.002263,-0.178883,-0.009113,0.022634,-40.566628,0.002853,0.000000
0.520000,-0.024574,-40.522148,0.000034,0.000095,0.002419,-0.109312,-0.005569,0.024193,-40.522148,0.003026,0.000000
0.530000,-0.028305,-40.566628,0.000030,0.000101,0.002576,-0.125907,-0.006414,0.025756,-40.566628,0.003183,0.000000
0.540000,-0.020111,-40.566628,0.000039,0.000106,0.002697,-0.089459,-0.004557,0.026971,-40.566628,0.003356,0.000000
0.550000,-0.022713,-40.522148,0.000047,0.000112,0.002836,-0.101031,-0.005147,0.028356,-40.522148,0.003529,0.000000
0.560000,-0.024948,-40.655590,0.000039,0.000117,0.002983,-0.110975,-0.005653,0.029833,-40.655590,0.003686,0.000000
0.570000,-0.021599,-40.477665,0.000043,0.000125,0.003174,-0.096076,-0.004894,0.031740,-40.477665,0.003859,0.000000
0.580000,-0.003349,-40.566628,0.000047,0.000133,0.003382,-0.014898,-0.000759,0.033822,-40.566628,0.004015,0.000000
0.590000,0.006332,-40.522148,0.000030,0.000141,0.003573,0.028168,0.001435,0.035729,-40.522148,0.004189,0.000000
0.600000,0.003349,-40.522148,0.000060,0.000147,0.003738,0.014898,0.000759,0.037376,-40.522148,0.004362,0.000000
0.610000,0.001114,-40.522148,0.000065,0.000151,0.003842,0.004955,0.000252,0.038417,-40.522148,0.004518,0.000000
0.620000,0.008194,-40.566628,0.000030,0.000154,0.003911,0.036449,0.001857,0.039109,-40.566628,0.004692,0.000000
0.630000,-0.000000,-40.566628,0.000043,0.000157,0.003989,-0.000000,-0.000000,0.039893,-40.566628,0.004848,0.000000
0.640000,-0.002609,-40.566628,0.000030,0.000162,0.004110,-0.011607,-0.000591,0.041104,-40.566628,0.005021,0.000000
0.650000,-0.007446,-40.566628,0.000026,0.000168,0.004258,-0.033123,-0.001687,0.042580,-40.566628,0.005195,0.000000
0.660000,-0.014526,-40.566628,0.000043,0.000175,0.004449,-0.064617,-0.003292,0.044488,-40.566628,0.005351,0.000000
0.670000,-0.005211,-40.522148,0.000026,0.000183,0.004657,-0.023179,-0.001181,0.046569,-40.522148,0.005524,0.000000
0.680000,-0.016388,-40.566628,0.000039,0.000191,0.004856,-0.072897,-0.003714,0.048564,-40.566628,0.005680,0.000000
0.690000,-0.026436,-40.522148,0.000017,0.000197,0.005012,-0.117593,-0.005990,0.050123,-40.522148,0.005854,0.000000
0.700000,-0.013779,-40.522148,0.000030,0.000202,0.005143,-0.061291,-0.003122,0.051425,-40.522148,0.006027,0.000000
0.710000,-0.013779,-40.566628,0.000034,0.000208,0.005290,-0.061291,-0.003122,0.052901,-40.566628,0.006183,0.000000
0.720000,-0.029793,-40.522148,0.000000,0.000214,0.005429,-0.132525,-0.006751,0.054287,-40.522148,0.006357,0.000000
0.730000,-0.048409,-40.522148,0.000013,0.000219,0.005568,-0.215332,-0.010970,0.055676,-40.522148,0.006513,0.000000
0.740000,-0.052132,-40.566628,0.000026,0.000225,0.005715,-0.231893,-0.011813,0.057148,-40.566628,0.006686,0.000000
0.750000,-0.049156,-40.566628,0.000026,0.000230,0.005836,-0.218658,-0.011139,0.058363,-40.566628,0.006860,0.000000
0.760000,-0.058090,-40.566628,0.000026,0.000234,0.005949,-0.258398,-0.013163,0.059491,-40.566628,0.007016,0.000000
0.770000,-0.056602,-40.522148,0.000047,0.000238,0.006053,-0.251780,-0.012826,0.060532,-40.522148,0.007189,0.000000
0.780000,-0.043938,-40.566628,0.000022,0.000244,0.006192,-0.195445,-0.009956,0.061921,-40.566628,0.007363,0.000000
0.790000,-0.018623,-40.522148,0.000017,0.000251,0.006365,-0.082841,-0.004220,0.063654,-40.522148,0.007519,0.000000
0.800000,-0.004471,-40.477665,0.000034,0.000258,0.006547,-0.019887,-0.001013,0.065475,-40.477665,0.007692,0.000000
0.810000,0.001114,-40.566628,0.000052,0.000265,0.006730,0.004955,0.000252,0.067295,-40.566628,0.007848,0.000000
0.820000,-0.005585,-40.522148,0.000004,0.000271,0.006886,-0.024842,-0.001266,0.068859,-40.522148,0.008022,0.000000
0.830000,-0.011917,-40.477665,0.000009,0.000277,0.007033,-0.053010,-0.002700,0.070331,-40.477665,0.008195,0.000000
0.840000,0.005585,-40.522148,0.000034,0.000282,0.007163,0.024842,0.001266,0.071633,-40.522148,0.008351,0.000000
0.850000,0.002609,-40.566628,0.000013,0.000288,0.007311,0.011607,0.000591,0.073105,-40.566628,0.008525,0.000000
0.860000,-0.007446,-40.611107,0.000052,0.000295,0.007501,-0.033123,-0.001687,0.075013,-40.611107,0.008681,0.000000
0.870000,-0.012291,-40.522148,0.000043,0.000303,0.007701,-0.054673,-0.002785,0.077007,-40.522148,0.008854,0.000000
0.880000,-0.023087,-40.566628,0.000022,0.000311,0.007900,-0.102694,-0.005231,0.079002,-40.566628,0.009028,0.000000
0.890000,-0.017502,-40.566628,0.000039,0.000319,0.008100,-0.077852,-0.003966,0.080997,-40.566628,0.009184,0.000000
0.900000,-0.017502,-40.522148,0.000043,0.000326,0.008290,-0.077852,-0.003966,0.082904,-40.522148,0.009357,0.000000
0.910000,-0.017876,-40.611107,0.000043,0.000333,0.008464,-0.079515,-0.004051,0.084642,-40.611107,0.009513,0.000000
0.920000,-0.030907,-40.522148,0.000047,0.000339,0.008620,-0.137480,-0.007004,0.086201,-40.522148,0.009687,0.000000
0.930000,-0.074844,-40.611107,0.000013,0.000345,0.008768,-0.332924,-0.016960,0.087677,-40.611107,0.009860,0.000000
0.940000,-0.059952,-40.611107,0.000052,0.000351,0.008906,-0.266679,-0.013585,0.089062,-40.611107,0.010016,0.000000
0.950000,-0.059952,-40.522148,0.000039,0.000355,0.009028,-0.266679,-0.013585,0.090277,-40.522148,0.010190,0.000000
0.960000,-0.063301,-40.611107,0.000017,0.000361,0.009175,-0.281577,-0.014344,0.091753,-40.611107,0.010346,0.000000
0.970000,-0.061440,-40.522148,0.000026,0.000367,0.009331,-0.273297,-0.013922,0.093313,-40.522148,0.010519,0.000000
0.980000,-0.042076,-40.566628,0.000052,0.000374,0.009505,-0.187164,-0.009535,0.095046,-40.566628,0.010693,0.000000
0.990000,-0.009308,-40.566628,0.000017,0.000382,0.009704,-0.041403,-0.002109,0.097041,-40.566628,0.010849,0.000000
1.000000,-0.001488,-40.522148,0.000047,0.000390,0.009912,-0.006618,-0.000337,0.099123,-40.522148,0.011022,0.000000
1.010000,-0.005585,-40.566628,0.000030,0.000397,0.010086,-0.024842,-0.001266,0.100856,-40.566628,0.011178,0.000000
1.020000,-0.010803,-40.566628,0.000039,0.000403,0.010225,-0.048055,-0.002448,0.102245,-40.566628,0.011352,0.000000
1.030000,0.002975,-40.611107,0.000034,0.000408,0.010355,0.013236,0.000674,0.103547,-40.611107,0.011525,0.000000
1.040000,0.004097,-40.522148,0.000022,0.000414,0.010519,0.018224,0.000928,0.105194,-40.522148,0.011681,0.000000
1.050000,-0.003349,-40.566628,0.000034,0.000422,0.010710,-0.014898,-0.000759,0.107101,-40.566628,0.011855,0.000000
1.060000,-0.018623,-40.566628,0.000013,0.000428,0.010875,-0.082841,-0.004220,0.108748,-40.566628,0.012011,0.000000
1.070000,-0.016388,-40.477665,0.000017,0.000435,0.011048,-0.072897,-0.003714,0.110485,-40.477665,0.012184,0.000000
1.080000,-0.013779,-40.566628,0.000052,0.000443,0.011248,-0.061291,-0.003122,0.112480,-40.566628,0.012358,0.000000
1.090000,-0.026070,-40.522148,0.000034,0.000451,0.011456,-0.115964,-0.005907,0.114561,-40.522148,0.012514,0.000000
1.100000,-0.012291,-40.566628,0.000047,0.000458,0.011621,-0.054673,-0.002785,0.116208,-40.566628,0.012687,0.000000
1.110000,-0.021225,-40.566628,0.000056,0.000463,0.011768,-0.094413,-0.004810,0.117680,-40.566628,0.012844,0.000000
1.120000,-0.050644,-40.522148,0.000047,0.000469,0.011924,-0.225275,-0.011476,0.119243,-40.522148,0.013017,0.000000
1.130000,-0.051018,-40.611107,0.000039,0.000475,0.012055,-0.226938,-0.011561,0.120545,-40.611107,0.013190,0.000000
1.140000,-0.048409,-40.566628,0.000039,0.000480,0.012184,-0.215332,-0.010970,0.121843,-40.566628,0.013347,0.000000
1.150000,-0.046173,-40.566628,0.000026,0.000486,0.012349,-0.205388,-0.010463,0.123494,-40.566628,0.013520,0.000000
1.160000,-0.052879,-40.611107,0.000052,0.000493,0.012531,-0.235219,-0.011983,0.125314,-40.611107,0.013693,0.000000
1.170000,-0.039474,-40.566628,0.000000,0.000501,0.012731,-0.175591,-0.008945,0.127309,-40.566628,0.013850,0.000000
1.180000,-0.004845,-40.611107,0.000022,0.000509,0.012930,-0.021550,-0.001098,0.129303,-40.611107,0.014023,0.000000
1.190000,-0.002235,-40.566628,0.000022,0.000517,0.013121,-0.009944,-0.000507,0.131211,-40.566628,0.014179,0.000000
1.200000,0.000374,-40.566628,0.000030,0.000523,0.013286,0.001663,0.000085,0.132857,-40.566628,0.014353,0.000000
1.210000,-0.002235,-40.522148,0.000022,0.000528,0.013399,-0.009944,-0.000507,0.133985,-40.522148,0.014526,0.000000
1.220000,0.017876,-40.477665,0.000047,0.000531,0.013494,0.079515,0.004051,0.134939,-40.477665,0.014682,0.000000
1.230000,0.032394,-40.611107,0.000013,0.000536,0.013624,0.144098,0.007341,0.136241,-40.611107,0.014855,0.000000
1.240000,0.026062,-40.522148,0.000039,0.000543,0.013789,0.115930,0.005906,0.137888,-40.522148,0.015012,0.000000
1.250000,0.007446,-40.522148,0.000060,0.000550,0.013971,0.033123,0.001687,0.139708,-40.522148,0.015185,0.000000
1.260000,0.001488,-40.566628,0.000052,0.000558,0.014162,0.006618,0.000337,0.141616,-40.566628,0.015358,0.000000
1.270000,0.004837,-40.611107,0.000022,0.000565,0.014353,0.021516,0.001096,0.143527,-40.611107,0.015515,0.000000
1.280000,0.002609,-40.566628,0.000000,0.000572,0.014535,0.011607,0.000591,0.145348,-40.566628,0.015688,0.000000
1.290000,0.008560,-40.566628,0.000043,0.000580,0.014726,0.038078,0.001940,0.147255,-40.566628,0.015844,0.000000
1.300000,0.009308,-40.611107,0.000022,0.000585,0.014864,0.041403,0.002109,0.148640,-40.611107,0.016018,0.000000
1.310000,0.013405,-40.611107,0.000039,0.000591,0.015012,0.059628,0.003038,0.150117,-40.611107,0.016191,0.000000
1.320000,0.003349,-40.566628,0.000039,0.000598,0.015194,0.014898,0.000759,0.151937,-40.566628,0.016347,0.000000
1.330000,-0.004097,-40.611107,0.000022,0.000604,0.015341,-0.018224,-0.000928,0.153413,-40.611107,0.016521,0.000000
1.340000,-0.001488,-40.611107,0.000047,0.000610,0.015497,-0.006618,-0.000337,0.154973,-40.611107,0.016677,0.000000
1.350000,-0.011917,-40.522148,0.000013,0.000618,0.015688,-0.053010,-0.002700,0.156880,-40.522148,0.016850,0.000000
1.360000,-0.002235,-40.655590,0.000034,0.000625,0.015870,-0.009944,-0.000507,0.158701,-40.655590,0.017024,0.000000
1.370000,-0.006332,-40.566628,0.000034,0.000632,0.016061,-0.028168,-0.001435,0.160608,-40.566628,0.017180,0.000000
1.380000,0.001114,-40.611107,0.000030,0.000640,0.016252,0.004955,0.000252,0.162516,-40.611107,0.017353,0.000000
1.390000,0.000374,-40.566628,0.000017,0.000647,0.016434,0.001663,0.000085,0.164340,-40.566628,0.017509,0.000000
