Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.000000,-145.408234,-0.013741,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-145.408234,0.000191,0.000000
0.020000,0.001862,-145.452713,-0.013732,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-145.452713,0.000191,0.000000
0.030000,-0.003349,-145.452713,-0.013745,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-145.452713,0.000191,0.000000
0.040000,0.006706,-145.408234,-0.013736,-0.000000,-0.000000,0.029831,0.001520,-0.000000,-145.408234,0.000191,0.000000
0.050000,0.004845,-145.452713,-0.013732,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-145.452713,0.000191,0.000000
0.060000,0.002983,-145.497192,-0.013736,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-145.497192,0.000191,0.000000
0.070000,-0.003723,-145.363754,-0.013719,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-145.363754,0.000191,0.000000
0.080000,-0.003349,-145.497192,-0.013732,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-145.497192,0.000191,0.000000
0.090000,0.002983,-145.408234,-0.013741,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-145.408234,0.000191,0.000000
0.100000,0.011169,-145.541672,-0.013741,-0.000000,-0.000000,0.049684,0.002531,-0.000000,-145.541672,0.000191,0.000000
0.110000,0.004845,-145.452713,-0.013732,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-145.452713,0.000191,0.000000
0.120000,0.003723,-145.408234,-0.013724,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-145.408234,0.000191,0.000000
0.130000,0.001862,-145.541672,-0.013728,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-145.541672,0.000191,0.000000
0.140000,0.004845,-145.452713,-0.013719,-0.000000,-0.000000,0.021550,0.001098,-0.000000,-145.452713,0.000191,0.000000
0.150000,-0.003349,-145.452713,-0.013715,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-145.452713,0.000191,0.000000
0.160000,0.001488,-145.497192,-0.013732,-0.000000,-0.000000,0.006618,0.000337,-0.000000,-145.497192,0.000191,0.000000
0.170000,0.005585,-145.452713,-0.013724,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-145.452713,0.000191,0.000000
0.180000,0.008942,-145.497192,-0.013724,-0.000000,-0.000000,0.039774,0.002026,-0.000000,-145.497192,0.000191,0.000000
0.190000,0.009682,-145.452713,-0.013736,-0.000000,-0.000000,0.043066,0.002194,-0.000000,-145.452713,0.000191,0.000000
0.200000,0.001862,-145.497192,-0.013728,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-145.497192,0.000191,0.000000
0.210000,-0.004097,-145.452713,-0.013736,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-145.452713,0.000191,0.000000
0.220000,-0.000000,-145.497192,-0.013719,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-145.497192,0.000191,0.000000
0.230000,-0.012657,-145.497192,-0.013754,-0.000000,-0.000000,-0.056302,-0.002868,-0.000000,-145.497192,0.000191,0.000000
0.240000,0.002983,-145.452713,-0.013719,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-145.452713,0.000191,0.000000
0.250000,0.009682,-145.586151,-0.013724,-0.000000,-0.000000,0.043066,0.002194,-0.000000,-145.586151,0.000191,0.000000
0.260000,0.007820,-145.408234,-0.013732,-0.000000,-0.000000,0.034786,0.001772,-0.000000,-145.408234,0.000191,0.000000
0.270000,-0.007820,-145.452713,-0.013715,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-145.452713,0.000191,0.000000
0.280000,-0.008560,-145.497192,-0.013745,-0.000000,-0.000000,-0.038078,-0.001940,-0.000000,-145.497192,0.000191,0.000000
0.290000,0.000374,-145.497192,-0.013741,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-145.497192,0.000191,0.000000
0.300000,-0.001488,-145.497192,-0.013749,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-145.497192,0.000191,0.000000
0.310000,0.005959,-145.452713,-0.013741,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-145.452713,0.000191,0.000000
0.320000,0.008568,-145.497192,-0.013749,-0.000000,-0.000000,0.038112,0.001941,-0.000000,-145.497192,0.000191,0.000000
0.330000,-0.005959,-145.586151,-0.013741,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-145.586151,0.000191,0.000000
0.340000,-0.004471,-145.497192,-0.013711,0.000000,0.000008,-0.019887,-0.001013,0.000083,-145.497192,0.000294,0.000000
0.350000,-0.028297,-145.541672,-0.013728,0.000001,0.000035,-0.125873,-0.006412,0.000348,-145.541672,0.000468,0.000000
0.360000,0.008568,-145.452713,-0.013741,0.000005,0.000139,0.038112,0.001941,0.001385,-145.452713,0.000625,0.000000
0.370000,-0.001862,-145.541672,-0.013732,0.000011,0.000277,-0.008281,-0.000422,0.002771,-145.541672,0.000798,0.000000
0.380000,-0.000000,-145.541672,-0.013732,0.000017,0.000434,-0.000000,-0.000000,0.004337,-145.541672,0.000971,0.000000
0.390000,0.001122,-145.497192,-0.013732,0.000025,0.000633,0.004989,0.000254,0.006328,-145.497192,0.001127,0.000000
0.400000,0.007072,-145.586151,-0.013762,0.000033,0.000849,0.031460,0.001603,0.008493,-145.586151,0.001300,0.000000
0.410000,0.006332,-145.497192,-0.013728,0.000042,0.001057,0.028168,0.001435,0.010575,-145.497192,0.001456,0.000000
0.420000,0.039848,-145.497192,-0.013728,0.000048,0.001232,0.177254,0.009030,0.012316,-145.497192,0.001630,0.000000
0.430000,0.041710,-145.497192,-0.013749,0.000054,0.001370,0.185535,0.009452,0.013701,-145.497192,0.001804,0.000000
