Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.002235,-136.556519,-0.009757,-0.005013,-0.127326,0.009944,0.000507,-1.273261,-136.556519,-0.127161,0.000000
0.120000,0.000740,-136.600998,-0.009761,-0.005013,-0.127326,0.003292,0.000168,-1.273261,-136.600998,-0.127161,0.000000
0.130000,0.000740,-136.600998,-0.009766,-0.005013,-0.127326,0.003292,0.000168,-1.273261,-136.600998,-0.127161,0.000000
0.140000,-0.002609,-136.689957,-0.009757,-0.005013,-0.127326,-0.011607,-0.000591,-1.273261,-136.689957,-0.127161,0.000000
0.150000,-0.000000,-136.645477,-0.009757,-0.005013,-0.127326,-0.000000,-0.000000,-1.273261,-136.645477,-0.127161,0.000000
0.160000,0.003723,-136.689957,-0.009770,-0.005013,-0.127326,0.016561,0.000844,-1.273261,-136.689957,-0.127161,0.000000
0.170000,0.002235,-136.645477,-0.009770,-0.005013,-0.127326,0.009944,0.000507,-1.273261,-136.645477,-0.127161,0.000000
0.180000,-0.000374,-136.600998,-0.009748,-0.005013,-0.127326,-0.001663,-0.000085,-1.273261,-136.600998,-0.127161,0.000000
0.190000,-0.007820,-136.645477,-0.009761,-0.005013,-0.127326,-0.034786,-0.001772,-1.273261,-136.645477,-0.127161,0.000000
0.200000,0.000374,-136.600998,-0.009770,-0.005013,-0.127326,0.001663,0.000085,-1.273261,-136.600998,-0.127161,0.000000
0.210000,0.004097,-136.645477,-0.009748,-0.005013,-0.127326,0.018224,0.000928,-1.273261,-136.645477,-0.127161,0.000000
0.220000,0.008560,-136.645477,-0.009766,-0.005013,-0.127326,0.038078,0.001940,-1.273261,-136.645477,-0.127161,0.000000
0.230000,0.005585,-136.645477,-0.009761,-0.005013,-0.127326,0.024842,0.001266,-1.273261,-136.645477,-0.127161,0.000000
0.240000,-0.001862,-136.645477,-0.009753,-0.005013,-0.127326,-0.008281,-0.000422,-1.273261,-136.645477,-0.127161,0.000000
0.250000,-0.002235,-136.600998,-0.009757,-0.005013,-0.127326,-0.009944,-0.000507,-1.273261,-136.600998,-0.127161,0.000000
0.260000,0.004463,-136.600998,-0.009753,-0.005013,-0.127326,0.019853,0.001011,-1.273261,-136.600998,-0.127161,0.000000
0.270000,0.006325,-136.645477,-0.009774,-0.005013,-0.127326,0.028134,0.001433,-1.273261,-136.645477,-0.127161,0.000000
0.280000,0.005211,-136.600998,-0.009766,-0.005013,-0.127326,0.023179,0.001181,-1.273261,-136.600998,-0.127161,0.000000
0.290000,-0.008942,-136.645477,-0.009766,-0.005013,-0.127326,-0.039774,-0.002026,-1.273261,-136.645477,-0.127161,0.000000
0.300000,-0.005219,-136.645477,-0.009783,-0.005013,-0.127326,-0.023213,-0.001183,-1.273261,-136.645477,-0.127161,0.000000
0.310000,-0.000000,-136.645477,-0.009748,-0.005013,-0.127326,-0.000000,-0.000000,-1.273261,-136.645477,-0.127161,0.000000
0.320000,-0.005585,-136.689957,-0.009753,-0.005013,-0.127326,-0.024842,-0.001266,-1.273261,-136.689957,-0.127161,0.000000
0.330000,-0.002235,-136.645477,-0.009774,-0.005013,-0.127326,-0.009944,-0.000507,-1.273261,-136.645477,-0.127161,0.000000
0.340000,-0.002235,-136.645477,-0.009774,-0.005013,-0.127326,-0.009944,-0.000507,-1.273261,-136.645477,-0.127161,0.000000
0.350000,0.007446,-136.600998,-0.009757,-0.005013,-0.127326,0.033123,0.001687,-1.273261,-136.600998,-0.127161,0.000000
0.360000,0.002602,-136.689957,-0.009757,-0.005013,-0.127326,0.011573,0.000590,-1.273261,-136.689957,-0.127161,0.000000
0.370000,-0.008942,-136.689957,-0.009748,-0.005013,-0.127326,-0.039774,-0.002026,-1.273261,-136.689957,-0.127161,0.000000
0.380000,-0.007080,-136.556519,-0.009753,-0.005013,-0.127326,-0.031494,-0.001604,-1.273261,-136.556519,-0.127161,0.000000
0.390000,-0.000748,-136.645477,-0.009766,-0.005013,-0.127326,-0.003326,-0.000169,-1.273261,-136.645477,-0.127040,0.000000
0.400000,-0.012291,-136.600998,-0.009766,-0.005012,-0.127309,-0.054673,-0.002785,-1.273087,-136.600998,-0.126884,0.000000
0.410000,0.024574,-136.645477,-0.009761,-0.005009,-0.127222,0.109312,0.005569,-1.272220,-136.645477,-0.126710,0.000000
0.420000,-0.000000,-136.645477,-0.009753,-0.005002,-0.127057,-0.000000,-0.000000,-1.270572,-136.645477,-0.126537,0.000000
0.430000,-0.010056,-136.645477,-0.009757,-0.004995,-0.126866,-0.044729,-0.002279,-1.268664,-136.645477,-0.126381,0.000000
0.440000,-0.014900,-136.689957,-0.009770,-0.004987,-0.126676,-0.066279,-0.003376,-1.266757,-136.689957,-0.126207,0.000000
0.450000,-0.007446,-136.689957,-0.009774,-0.004981,-0.126528,-0.033123,-0.001687,-1.265282,-136.689957,-0.126051,0.000000
0.460000,-0.008942,-136.645477,-0.009770,-0.004976,-0.126398,-0.039774,-0.002026,-1.263981,-136.645477,-0.125878,0.000000
0.470000,-0.024208,-136.600998,-0.009766,-0.004971,-0.126251,-0.107683,-0.005486,-1.262507,-136.600998,-0.125704,0.000000
0.480000,-0.032028,-136.645477,-0.009761,-0.004965,-0.126103,-0.142469,-0.007258,-1.261033,-136.645477,-0.125548,0.000000
0.490000,-0.013405,-136.689957,-0.009753,-0.004958,-0.125930,-0.059628,-0.003038,-1.259298,-136.689957,-0.125375,0.000000
0.500000,-0.013405,-136.645477,-0.009761,-0.004951,-0.125748,-0.059628,-0.003038,-1.257477,-136.645477,-0.125219,0.000000
0.510000,-0.023460,-136.600998,-0.009761,-0.004944,-0.125574,-0.104357,-0.005316,-1.255743,-136.600998,-0.125045,0.000000
0.520000,-0.011917,-136.734436,-0.009757,-0.004938,-0.125427,-0.053010,-0.002700,-1.254269,-136.734436,-0.124872,0.000000
0.530000,-0.009308,-136.645477,-0.009766,-0.004934,-0.125331,-0.041403,-0.002109,-1.253315,-136.645477,-0.124716,0.000000
0.540000,0.013405,-136.734436,-0.009761,-0.004931,-0.125253,0.059628,0.003038,-1.252534,-136.734436,-0.124542,0.000000
0.550000,0.024948,-136.689957,-0.009757,-0.004928,-0.125167,0.110975,0.005653,-1.251667,-136.689957,-0.124386,0.000000
0.560000,0.014145,-136.645477,-0.009740,-0.004924,-0.125071,0.062920,0.003205,-1.250713,-136.645477,-0.124213,0.000000
0.570000,0.018990,-136.689957,-0.009761,-0.004920,-0.124976,0.084470,0.004303,-1.249759,-136.689957,-0.124039,0.000000
