Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.004097,-67.744492,-0.007226,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-67.744492,0.000278,0.000000
0.120000,-0.000748,-67.788971,-0.007209,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-67.788971,0.000278,0.000000
0.130000,0.008560,-67.788971,-0.007205,-0.000000,-0.000000,0.038078,0.001940,-0.000000,-67.788971,0.000278,0.000000
0.140000,0.003349,-67.744492,-0.007213,-0.000000,-0.000000,0.014898,0.000759,-0.000000,-67.744492,0.000278,0.000000
0.150000,0.001862,-67.788971,-0.007222,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-67.788971,0.000278,0.000000
0.160000,-0.002983,-67.833450,-0.007222,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-67.833450,0.000278,0.000000
0.170000,-0.005585,-67.744492,-0.007213,-0.000000,-0.000000,-0.024842,-0.001266,-0.000000,-67.744492,0.000278,0.000000
0.180000,-0.004097,-67.788971,-0.007209,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-67.788971,0.000278,0.000000
0.190000,-0.003349,-67.788971,-0.007217,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-67.788971,0.000278,0.000000
0.200000,0.001488,-67.744492,-0.007205,-0.000000,-0.000000,0.006618,0.000337,-0.000000,-67.744492,0.000278,0.000000
0.210000,0.001862,-67.833450,-0.007222,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-67.833450,0.000278,0.000000
0.220000,0.000374,-67.744492,-0.007213,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-67.744492,0.000278,0.000000
0.230000,-0.010803,-67.833450,-0.007217,-0.000000,-0.000000,-0.048055,-0.002448,-0.000000,-67.833450,0.000278,0.000000
0.240000,-0.009682,-67.788971,-0.007222,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-67.788971,0.000278,0.000000
0.250000,0.005585,-67.833450,-0.007217,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-67.833450,0.000278,0.000000
0.260000,-0.000000,-67.833450,-0.007222,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-67.833450,0.000278,0.000000
0.270000,0.000740,-67.744492,-0.007222,-0.000000,-0.000000,0.003292,0.000168,-0.000000,-67.744492,0.000278,0.000000
0.280000,-0.001488,-67.788971,-0.007217,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-67.788971,0.000278,0.000000
0.290000,0.000740,-67.788971,-0.007226,-0.000000,-0.000000,0.003292,0.000168,-0.000000,-67.788971,0.000278,0.000000
0.300000,0.010056,-67.788971,-0.007226,-0.000000,-0.000000,0.044729,0.002279,-0.000000,-67.788971,0.000278,0.000000
0.310000,0.002975,-67.788971,-0.007213,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-67.788971,0.000278,0.000000
0.320000,0.004097,-67.788971,-0.007213,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-67.788971,0.000278,0.000000
0.330000,-0.002609,-67.833450,-0.007205,-0.000000,-0.000000,-0.011607,-0.000591,-0.000000,-67.833450,0.000434,0.000000
0.340000,0.035378,-67.833450,-0.007209,0.000001,0.000017,0.157367,0.008017,0.000173,-67.833450,0.000590,0.000000
0.350000,0.032768,-67.788971,-0.007213,0.000003,0.000087,0.145760,0.007425,0.000867,-67.788971,0.000763,0.000000
0.360000,0.033882,-67.877930,-0.007222,0.000009,0.000217,0.150715,0.007678,0.002168,-67.877930,0.000919,0.000000
0.370000,0.032768,-67.788971,-0.007217,0.000015,0.000390,0.145760,0.007425,0.003903,-67.788971,0.001093,0.000000
0.380000,0.027924,-67.877930,-0.007200,0.000023,0.000581,0.124210,0.006328,0.005810,-67.877930,0.001266,0.000000
0.390000,0.032021,-67.788971,-0.007222,0.000030,0.000763,0.142435,0.007256,0.007632,-67.788971,0.001422,0.000000
0.400000,0.032394,-67.877930,-0.007226,0.000036,0.000919,0.144098,0.007341,0.009193,-67.877930,0.001596,0.000000
