Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.008568,-124.235298,0.000000,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-124.235298,0.000191,0.000000
0.120000,-0.004845,-124.190819,-0.000009,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-124.190819,0.000191,0.000000
0.130000,0.002228,-124.190819,0.000017,-0.000000,-0.000000,0.009910,0.000505,-0.000000,-124.190819,0.000191,0.000000
0.140000,-0.002983,-124.235298,-0.000004,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-124.235298,0.000191,0.000000
0.150000,-0.011917,-124.146332,0.000004,-0.000000,-0.000000,-0.053010,-0.002700,-0.000000,-124.146332,0.000191,0.000000
0.160000,-0.008942,-124.190819,0.000004,-0.000000,-0.000000,-0.039774,-0.002026,-0.000000,-124.190819,0.000191,0.000000
0.170000,-0.010056,-124.190819,0.000009,-0.000000,-0.000000,-0.044729,-0.002279,-0.000000,-124.190819,0.000191,0.000000
0.180000,-0.008194,-124.146332,0.000009,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-124.146332,0.000191,0.000000
0.190000,-0.009682,-124.190819,0.000009,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-124.190819,0.000191,0.000000
0.200000,-0.004845,-124.235298,0.000004,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-124.235298,0.000191,0.000000
0.210000,-0.011177,-124.190819,0.000009,-0.000000,-0.000000,-0.049718,-0.002533,-0.000000,-124.190819,0.000191,0.000000
0.220000,-0.006706,-124.146332,-0.000009,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-124.146332,0.000191,0.000000
0.230000,-0.007820,-124.190819,0.000000,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-124.190819,0.000191,0.000000
0.240000,-0.006706,-124.235298,0.000009,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-124.235298,0.000191,0.000000
0.250000,-0.007454,-124.146332,0.000000,-0.000000,-0.000000,-0.033157,-0.001689,-0.000000,-124.146332,0.000191,0.000000
0.260000,0.001114,-124.190819,0.000009,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-124.190819,0.000191,0.000000
0.270000,-0.008194,-124.235298,-0.000004,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-124.235298,0.000191,0.000000
0.280000,-0.006706,-124.235298,0.000013,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-124.235298,0.000191,0.000000
0.290000,-0.002235,-124.235298,0.000022,-0.000000,-0.000000,-0.009944,-0.000507,-0.000000,-124.235298,0.000191,0.000000
0.300000,-0.010429,-124.190819,0.000013,-0.000000,-0.000000,-0.046392,-0.002363,-0.000000,-124.190819,0.000191,0.000000
0.310000,-0.016014,-124.235298,0.000004,-0.000000,-0.000000,-0.071234,-0.003629,-0.000000,-124.235298,0.000191,0.000000
0.320000,-0.014153,-124.235298,-0.000004,-0.000000,-0.000000,-0.062954,-0.003207,-0.000000,-124.235298,0.000191,0.000000
0.330000,-0.004845,-124.101852,0.000004,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-124.101852,0.000191,0.000000
0.340000,0.006325,-124.235298,0.000000,-0.000000,-0.000000,0.028134,0.001433,-0.000000,-124.235298,0.000191,0.000000
0.350000,-0.002983,-124.190819,0.000004,-0.000000,-0.000000,-0.013269,-0.000676,-0.000000,-124.190819,0.000191,0.000000
0.360000,-0.005959,-124.146332,0.000013,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-124.146332,0.000191,0.000000
0.370000,-0.001122,-124.235298,-0.000004,-0.000000,-0.000000,-0.004989,-0.000254,-0.000000,-124.235298,0.000191,0.000000
0.380000,0.005585,-124.146332,0.000004,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-124.146332,0.000191,0.000000
0.390000,-0.000748,-124.235298,0.000000,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-124.235298,0.000191,0.000000
0.400000,-0.009682,-124.190819,0.000004,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-124.190819,0.000191,0.000000
0.410000,-0.011177,-124.190819,0.000009,-0.000000,-0.000000,-0.049718,-0.002533,-0.000000,-124.190819,0.000260,0.000000
0.420000,-0.034637,-124.190819,0.000000,0.000001,0.000026,-0.154075,-0.007849,0.000261,-124.190819,0.000416,0.000000
0.430000,-0.007454,-124.190819,-0.000013,0.000003,0.000078,-0.033157,-0.001689,0.000780,-124.190819,0.000590,0.000000
0.440000,-0.019363,-124.235298,-0.000009,0.000007,0.000182,-0.086133,-0.004388,0.001821,-124.235298,0.000746,0.000000
0.450000,-0.023094,-124.146332,-0.000004,0.000013,0.000338,-0.102728,-0.005233,0.003384,-124.146332,0.000919,0.000000
0.460000,0.008560,-124.190819,-0.000004,0.000020,0.000512,0.038078,0.001940,0.005117,-124.190819,0.001093,0.000000
0.470000,0.002975,-124.190819,0.000004,0.000026,0.000668,0.013236,0.000674,0.006680,-124.190819,0.001249,0.000000
0.480000,0.005951,-124.190819,0.000013,0.000032,0.000824,0.026471,0.001348,0.008240,-124.190819,0.001422,0.000000
0.490000,0.016380,-124.235298,0.000004,0.000039,0.000997,0.072863,0.003712,0.009973,-124.235298,0.001578,0.000000
0.500000,0.002975,-124.190819,-0.000009,0.000046,0.001179,0.013236,0.000674,0.011794,-124.190819,0.001752,0.000000
0.510000,-0.005959,-124.235298,0.000017,0.000054,0.001362,-0.026505,-0.001350,0.013618,-124.235298,0.001925,0.000000
0.520000,-0.014526,-124.190819,0.000000,0.000062,0.001578,-0.064617,-0.003292,0.015783,-124.190819,0.002081,0.000000
0.530000,-0.016014,-124.190819,0.000004,0.000071,0.001795,-0.071234,-0.003629,0.017952,-124.190819,0.002255,0.000000
0.540000,-0.008568,-124.235298,0.000004,0.000078,0.001969,-0.038112,-0.001941,0.019685,-124.235298,0.002428,0.000000
0.550000,-0.012291,-124.235298,0.000004,0.000083,0.002099,-0.054673,-0.002785,0.020987,-124.235298,0.002584,0.000000
0.560000,-0.011177,-124.235298,0.000004,0.000087,0.002203,-0.049718,-0.002533,0.022028,-124.235298,0.002758,0.000000
0.570000,-0.026443,-124.235298,-0.000017,0.000091,0.002307,-0.117626,-0.005992,0.023069,-124.235298,0.002914,0.000000
0.580000,-0.014900,-124.146332,0.000004,0.000096,0.002428,-0.066279,-0.003376,0.024284,-124.146332,0.003087,0.000000
0.590000,-0.013039,-124.235298,0.000004,0.000101,0.002559,-0.057999,-0.002955,0.025586,-124.235298,0.003261,0.000000
0.600000,-0.020485,-124.101852,-0.000004,0.000104,0.002654,-0.091121,-0.004642,0.026540,-124.101852,0.003417,0.000000
0.610000,-0.039101,-124.190819,0.000009,0.000108,0.002749,-0.173928,-0.008860,0.027493,-124.190819,0.003590,0.000000
0.620000,-0.029045,-124.190819,0.000009,0.000113,0.002879,-0.129199,-0.006582,0.028792,-124.190819,0.003747,0.000000
0.630000,-0.027184,-124.146332,-0.000004,0.000120,0.003044,-0.120918,-0.006160,0.030442,-124.146332,0.003920,0.000000
0.640000,-0.013039,-124.235298,0.000009,0.000126,0.003209,-0.057999,-0.002955,0.032088,-124.235298,0.004093,0.000000
0.650000,0.000366,-124.190819,0.000000,0.000133,0.003391,0.001629,0.000083,0.033909,-124.190819,0.004249,0.000000
0.660000,-0.003731,-124.190819,0.000022,0.000140,0.003556,-0.016595,-0.000845,0.035555,-124.190819,0.004423,0.000000
0.670000,-0.005959,-124.146332,0.000004,0.000146,0.003703,-0.026505,-0.001350,0.037031,-124.146332,0.004579,0.000000
0.680000,0.000366,-124.146332,0.000013,0.000151,0.003825,0.001629,0.000083,0.038246,-124.146332,0.004752,0.000000
0.690000,-0.002235,-124.235298,0.000022,0.000155,0.003937,-0.009944,-0.000507,0.039374,-124.235298,0.004926,0.000000
0.700000,0.007812,-124.190819,0.000009,0.000159,0.004042,0.034752,0.001770,0.040415,-124.190819,0.005082,0.000000
0.710000,-0.006332,-124.190819,0.000030,0.000165,0.004180,-0.028168,-0.001435,0.041800,-124.190819,0.005255,0.000000
0.720000,-0.005219,-124.235298,0.000026,0.000171,0.004353,-0.023213,-0.001183,0.043534,-124.235298,0.005412,0.000000
0.730000,-0.016762,-124.190819,0.000022,0.000179,0.004536,-0.074560,-0.003798,0.045358,-124.190819,0.005585,0.000000
0.740000,-0.018623,-124.190819,0.000047,0.000186,0.004727,-0.082841,-0.004220,0.047266,-124.190819,0.005758,0.000000
0.750000,-0.022720,-124.146332,0.000043,0.000195,0.004943,-0.101065,-0.005149,0.049435,-124.146332,0.005915,0.000000
0.760000,-0.014153,-124.190819,0.000069,0.000201,0.005117,-0.062954,-0.003207,0.051168,-124.190819,0.006088,0.000000
0.770000,-0.010429,-124.235298,0.000065,0.000207,0.005247,-0.046392,-0.002363,0.052466,-124.235298,0.006244,0.000000
0.780000,-0.024956,-124.146332,0.000073,0.000211,0.005359,-0.111009,-0.005655,0.053594,-124.146332,0.006418,0.000000
0.790000,-0.037613,-124.235298,0.000065,0.000216,0.005498,-0.167311,-0.008523,0.054983,-124.235298,0.006591,0.000000
