Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.006706,-407.178619,0.000004,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-407.178619,0.000208,0.000000
0.120000,-0.004845,-407.267578,-0.000026,-0.000000,-0.000000,-0.021550,-0.001098,-0.000000,-407.267578,0.000208,0.000000
0.130000,-0.008194,-407.267578,-0.000026,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-407.267578,0.000208,0.000000
0.140000,0.007072,-407.223114,-0.000017,-0.000000,-0.000000,0.031460,0.001603,-0.000000,-407.223114,0.000208,0.000000
0.150000,-0.001862,-407.223114,-0.000013,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-407.223114,0.000208,0.000000
0.160000,0.007446,-407.267578,-0.000013,-0.000000,-0.000000,0.033123,0.001687,-0.000000,-407.267578,0.000208,0.000000
0.170000,0.013779,-407.178619,-0.000017,-0.000000,-0.000000,0.061291,0.003122,-0.000000,-407.178619,0.000208,0.000000
0.180000,0.006332,-407.267578,-0.000009,-0.000000,-0.000000,0.028168,0.001435,-0.000000,-407.267578,0.000208,0.000000
0.190000,-0.008194,-407.223114,0.000004,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-407.223114,0.000208,0.000000
0.200000,-0.005211,-407.267578,-0.000022,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-407.267578,0.000208,0.000000
0.210000,-0.005959,-407.267578,-0.000026,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-407.267578,0.000208,0.000000
0.220000,0.002975,-407.267578,-0.000013,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-407.267578,0.000208,0.000000
0.230000,0.006332,-407.223114,-0.000030,-0.000000,-0.000000,0.028168,0.001435,-0.000000,-407.223114,0.000208,0.000000
0.240000,0.008568,-407.223114,-0.000009,-0.000000,-0.000000,0.038112,0.001941,-0.000000,-407.223114,0.000208,0.000000
0.250000,0.001862,-407.267578,-0.000022,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-407.267578,0.000208,0.000000
0.260000,0.004097,-407.267578,-0.000017,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-407.267578,0.000208,0.000000
0.270000,-0.004097,-407.223114,-0.000009,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-407.223114,0.000208,0.000000
0.280000,0.001488,-407.267578,0.000000,-0.000000,-0.000000,0.006618,0.000337,-0.000000,-407.267578,0.000208,0.000000
0.290000,0.008934,-407.178619,-0.000017,-0.000000,-0.000000,0.039741,0.002024,-0.000000,-407.178619,0.000208,0.000000
0.300000,0.008934,-407.223114,-0.000026,-0.000000,-0.000000,0.039741,0.002024,-0.000000,-407.223114,0.000208,0.000000
0.310000,-0.000748,-407.178619,-0.000009,-0.000000,-0.000000,-0.003326,-0.000169,-0.000000,-407.178619,0.000208,0.000000
0.320000,-0.005959,-407.223114,-0.000009,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-407.223114,0.000208,0.000000
0.330000,-0.005211,-407.223114,-0.000009,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-407.223114,0.000208,0.000000
0.340000,-0.008194,-407.178619,-0.000004,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-407.178619,0.000208,0.000000
0.350000,0.001114,-407.312073,0.000009,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-407.312073,0.000208,0.000000
0.360000,-0.006706,-407.223114,-0.000009,-0.000000,-0.000000,-0.029831,-0.001520,-0.000000,-407.223114,0.000208,0.000000
0.370000,0.001114,-407.312073,-0.000004,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-407.312073,0.000208,0.000000
0.380000,-0.001862,-407.223114,-0.000004,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-407.223114,0.000208,0.000000
0.390000,0.009682,-407.178619,-0.000017,-0.000000,-0.000000,0.043066,0.002194,-0.000000,-407.178619,0.000295,0.000000
0.400000,-0.027184,-407.267578,-0.000004,0.000001,0.000035,-0.120918,-0.006160,0.000346,-407.267578,0.000468,0.000000
0.410000,-0.019737,-407.178619,-0.000017,0.000003,0.000087,-0.087796,-0.004473,0.000867,-407.178619,0.000624,0.000000
0.420000,-0.036491,-407.267578,0.000000,0.000007,0.000173,-0.162322,-0.008269,0.001733,-407.267578,0.000798,0.000000
0.430000,-0.022346,-407.312073,-0.000017,0.000013,0.000321,-0.099402,-0.005064,0.003208,-407.312073,0.000954,0.000000
0.440000,-0.009682,-407.223114,-0.000013,0.000020,0.000512,-0.043066,-0.002194,0.005117,-407.223114,0.001127,0.000000
0.450000,0.003349,-407.178619,-0.000013,0.000028,0.000720,0.014898,0.000759,0.007197,-407.178619,0.001301,0.000000
0.460000,0.005585,-407.223114,-0.000009,0.000037,0.000937,0.024842,0.001266,0.009366,-407.223114,0.001457,0.000000
0.470000,0.002609,-407.267578,-0.000004,0.000045,0.001136,0.011607,0.000591,0.011360,-407.267578,0.001630,0.000000
0.480000,-0.004845,-407.267578,-0.000026,0.000051,0.001301,-0.021550,-0.001098,0.013009,-407.267578,0.001786,0.000000
0.490000,-0.004097,-407.223114,-0.000026,0.000057,0.001448,-0.018224,-0.000928,0.014483,-407.223114,0.001960,0.000000
0.500000,0.001862,-407.267578,-0.000013,0.000062,0.001587,0.008281,0.000422,0.015870,-407.267578,0.002133,0.000000
0.510000,-0.002235,-407.223114,-0.000009,0.000068,0.001717,-0.009944,-0.000507,0.017170,-407.223114,0.002289,0.000000
0.520000,0.004471,-407.223114,-0.000017,0.000073,0.001847,0.019887,0.001013,0.018472,-407.223114,0.002463,0.000000
0.530000,0.011917,-407.267578,-0.000017,0.000077,0.001960,0.053010,0.002700,0.019598,-407.267578,0.002619,0.000000
0.540000,0.015266,-407.223114,-0.000017,0.000082,0.002081,0.067908,0.003459,0.020813,-407.223114,0.002792,0.000000
0.550000,0.005211,-407.223114,-0.000017,0.000086,0.002194,0.023179,0.001181,0.021941,-407.223114,0.002966,0.000000
0.560000,-0.005959,-407.312073,-0.000009,0.000092,0.002342,-0.026505,-0.001350,0.023415,-407.312073,0.003122,0.000000
0.570000,-0.015266,-407.267578,-0.000009,0.000100,0.002532,-0.067908,-0.003459,0.025323,-407.267578,0.003296,0.000000
0.580000,-0.005959,-407.312073,-0.000009,0.000107,0.002714,-0.026505,-0.001350,0.027143,-407.312073,0.003451,0.000000
0.590000,-0.006706,-407.223114,-0.000013,0.000113,0.002870,-0.029831,-0.001520,0.028705,-407.223114,0.003625,0.000000
0.600000,-0.026436,-407.223114,-0.000009,0.000119,0.003018,-0.117593,-0.005990,0.030179,-407.223114,0.003799,0.000000
0.610000,-0.066658,-407.223114,-0.000022,0.000124,0.003148,-0.296510,-0.015105,0.031481,-407.223114,0.003954,0.000000
0.620000,-0.061813,-407.312073,-0.000004,0.000128,0.003252,-0.274960,-0.014007,0.032520,-407.312073,0.004128,0.000000
0.630000,-0.039101,-407.312073,-0.000022,0.000131,0.003339,-0.173928,-0.008860,0.033388,-407.312073,0.004284,0.000000
0.640000,-0.039841,-407.267578,0.000004,0.000136,0.003460,-0.177220,-0.009028,0.034602,-407.267578,0.004457,0.000000
0.650000,-0.059578,-407.267578,-0.000009,0.000143,0.003625,-0.265016,-0.013501,0.036250,-407.267578,0.004631,0.000000
0.660000,-0.053253,-407.223114,0.000000,0.000149,0.003772,-0.236882,-0.012067,0.037724,-407.223114,0.004787,0.000000
0.670000,-0.040962,-407.267578,0.000004,0.000154,0.003920,-0.182209,-0.009282,0.039198,-407.267578,0.004960,0.000000
0.680000,-0.025696,-407.267578,0.000009,0.000161,0.004093,-0.114301,-0.005823,0.040934,-407.267578,0.005117,0.000000
0.690000,-0.015266,-407.223114,0.000030,0.000169,0.004293,-0.067908,-0.003459,0.042928,-407.223114,0.005290,0.000000
0.700000,-0.011169,-407.312073,0.000022,0.000177,0.004484,-0.049684,-0.002531,0.044836,-407.312073,0.005463,0.000000
0.710000,-0.003723,-407.178619,0.000030,0.000182,0.004622,-0.016561,-0.000844,0.046223,-407.178619,0.005620,0.000000
0.720000,0.000374,-407.267578,0.000043,0.000187,0.004744,0.001663,0.000085,0.047436,-407.267578,0.005793,0.000000
0.730000,0.009682,-407.223114,0.000030,0.000192,0.004865,0.043066,0.002194,0.048651,-407.223114,0.005949,0.000000
0.740000,0.035378,-407.267578,0.000043,0.000196,0.004987,0.157367,0.008017,0.049866,-407.267578,0.006123,0.000000
0.750000,0.004837,-407.267578,0.000047,0.000203,0.005151,0.021516,0.001096,0.051512,-407.267578,0.006296,0.000000
0.760000,-0.010796,-407.267578,0.000056,0.000213,0.005403,-0.048021,-0.002446,0.054027,-407.267578,0.006452,0.000000
0.770000,-0.012291,-407.178619,0.000060,0.000223,0.005672,-0.054673,-0.002785,0.056717,-407.178619,0.006626,0.000000
0.780000,-0.011169,-407.267578,0.000078,0.000233,0.005923,-0.049684,-0.002531,0.059232,-407.267578,0.006799,0.000000
0.790000,-0.004097,-407.223114,0.000082,0.000241,0.006114,-0.018224,-0.000928,0.061139,-407.223114,0.006955,0.000000
0.800000,-0.023460,-407.267578,0.000091,0.000247,0.006270,-0.104357,-0.005316,0.062701,-407.267578,0.007129,0.000000
0.810000,-0.039474,-407.223114,0.000095,0.000252,0.006400,-0.175591,-0.008945,0.064001,-407.223114,0.007285,0.000000
0.820000,-0.035378,-407.223114,0.000091,0.000256,0.006504,-0.157367,-0.008017,0.065042,-407.223114,0.007458,0.000000
0.830000,-0.033142,-407.267578,0.000112,0.000260,0.006608,-0.147423,-0.007510,0.066082,-407.267578,0.007631,0.000000
0.840000,-0.047295,-407.178619,0.000125,0.000266,0.006747,-0.210377,-0.010717,0.067470,-407.178619,0.007788,0.000000
0.850000,-0.046547,-407.267578,0.000121,0.000273,0.006929,-0.207051,-0.010548,0.069292,-407.267578,0.007961,0.000000
0.860000,-0.036118,-407.223114,0.000125,0.000280,0.007120,-0.160659,-0.008184,0.071200,-407.223114,0.008117,0.000000
0.870000,-0.016014,-407.178619,0.000134,0.000287,0.007293,-0.071234,-0.003629,0.072933,-407.178619,0.008291,0.000000
0.880000,0.010429,-407.312073,0.000138,0.000294,0.007476,0.046392,0.002363,0.074755,-407.312073,0.008464,0.000000
0.890000,0.018990,-407.223114,0.000147,0.000301,0.007640,0.084470,0.004303,0.076402,-407.223114,0.008620,0.000000
0.900000,0.014153,-407.267578,0.000160,0.000307,0.007788,0.062954,0.003207,0.077876,-407.267578,0.008794,0.000000
0.910000,0.007072,-407.267578,0.000160,0.000312,0.007918,0.031460,0.001603,0.079178,-407.267578,0.008950,0.000000
0.920000,0.036491,-407.267578,0.000151,0.000318,0.008065,0.162322,0.008269,0.080652,-407.267578,0.009123,0.000000
0.930000,0.039841,-407.267578,0.000164,0.000323,0.008204,0.177220,0.009028,0.082039,-407.267578,0.009297,0.000000
0.940000,0.022339,-407.178619,0.000181,0.000328,0.008325,0.099368,0.005062,0.083253,-407.178619,0.009453,0.000000
0.950000,0.015266,-407.267578,0.000177,0.000334,0.008473,0.067908,0.003459,0.084729,-407.267578,0.009626,0.000000
0.960000,0.021599,-407.267578,0.000177,0.000342,0.008690,0.096076,0.004894,0.086896,-407.267578,0.009782,0.000000
0.970000,0.017502,-407.267578,0.000203,0.000352,0.008932,0.077852,0.003966,0.089324,-407.267578,0.009956,0.000000
0.980000,0.016380,-407.267578,0.000211,0.000360,0.009149,0.072863,0.003712,0.091492,-407.267578,0.010129,0.000000
0.990000,0.018616,-407.223114,0.000229,0.000367,0.009314,0.082807,0.004218,0.093141,-407.223114,0.010285,0.000000
1.000000,0.006699,-407.312073,0.000224,0.000372,0.009444,0.029797,0.001518,0.094441,-407.312073,0.010459,0.000000
1.010000,-0.016388,-407.223114,0.000216,0.000377,0.009566,-0.072897,-0.003714,0.095656,-407.223114,0.010615,0.000000
1.020000,-0.009308,-407.267578,0.000216,0.000382,0.009704,-0.041403,-0.002109,0.097043,-407.267578,0.010788,0.000000
1.030000,-0.002983,-407.267578,0.000241,0.000388,0.009860,-0.013269,-0.000676,0.098604,-407.267578,0.010962,0.000000
1.040000,-0.008194,-407.178619,0.000237,0.000395,0.010025,-0.036449,-0.001857,0.100251,-407.178619,0.011118,0.000000
1.050000,-0.016754,-407.312073,0.000254,0.000402,0.010216,-0.074526,-0.003797,0.102158,-407.312073,0.011291,0.000000
1.060000,-0.001114,-407.223114,0.000259,0.000410,0.010424,-0.004955,-0.000252,0.104240,-407.223114,0.011447,0.000000
1.070000,0.010429,-407.267578,0.000280,0.000419,0.010650,0.046392,0.002363,0.106496,-407.267578,0.011621,0.000000
1.080000,0.014153,-407.267578,0.000280,0.000428,0.010875,0.062954,0.003207,0.108749,-407.267578,0.011794,0.000000
1.090000,0.021225,-407.223114,0.000272,0.000435,0.011057,0.094413,0.004810,0.110572,-407.223114,0.011950,0.000000
1.100000,0.033142,-407.178619,0.000272,0.000441,0.011196,0.147423,0.007510,0.111959,-407.178619,0.012124,0.000000
1.110000,0.040588,-407.223114,0.000306,0.000445,0.011291,0.180546,0.009197,0.112913,-407.223114,0.012280,0.000000
1.120000,0.032768,-407.267578,0.000302,0.000448,0.011387,0.145760,0.007425,0.113867,-407.267578,0.012453,0.000000
1.130000,0.017876,-407.267578,0.000285,0.000453,0.011517,0.079515,0.004051,0.115167,-407.267578,0.012627,0.000000
1.140000,0.011917,-407.267578,0.000297,0.000460,0.011690,0.053010,0.002700,0.116902,-407.267578,0.012783,0.000000
1.150000,0.017502,-407.267578,0.000310,0.000468,0.011898,0.077852,0.003966,0.118984,-407.267578,0.012956,0.000000
1.160000,0.023460,-407.223114,0.000328,0.000477,0.012115,0.104357,0.005316,0.121151,-407.223114,0.013112,0.000000
1.170000,0.017502,-407.223114,0.000345,0.000485,0.012315,0.077852,0.003966,0.123145,-407.223114,0.013286,0.000000
1.180000,0.014153,-407.312073,0.000336,0.000491,0.012479,0.062954,0.003207,0.124794,-407.312073,0.013459,0.000000
1.190000,0.007072,-407.178619,0.000345,0.000497,0.012618,0.031460,0.001603,0.126181,-407.178619,0.013615,0.000000
1.200000,-0.009308,-407.178619,0.000354,0.000503,0.012766,-0.041403,-0.002109,0.127655,-407.178619,0.013789,0.000000
1.210000,-0.019363,-407.223114,0.000358,0.000509,0.012922,-0.086133,-0.004388,0.129216,-407.223114,0.013962,0.000000
1.220000,-0.021973,-407.267578,0.000362,0.000515,0.013086,-0.097739,-0.004979,0.130865,-407.267578,0.014118,0.000000
1.230000,-0.023834,-407.312073,0.000345,0.000522,0.013251,-0.106020,-0.005401,0.132511,-407.312073,0.014292,0.000000
1.240000,-0.016754,-407.223114,0.000366,0.000528,0.013416,-0.074526,-0.003797,0.134159,-407.223114,0.014448,0.000000
1.250000,-0.007446,-407.267578,0.000371,0.000535,0.013581,-0.033123,-0.001687,0.135808,-407.267578,0.014621,0.000000
1.260000,0.004837,-407.223114,0.000397,0.000543,0.013780,0.021516,0.001096,0.137802,-407.223114,0.014795,0.000000
