Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,-0.007820,-79.354019,0.000017,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-79.354019,0.000217,0.000000
0.020000,-0.007820,-79.354019,0.000004,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-79.354019,0.000217,0.000000
0.030000,-0.000000,-79.354019,0.000009,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-79.354019,0.000217,0.000000
0.040000,0.005959,-79.354019,0.000004,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-79.354019,0.000217,0.000000
0.050000,0.000374,-79.265053,0.000004,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-79.265053,0.000217,0.000000
0.060000,-0.002609,-79.354019,0.000009,-0.000000,-0.000000,-0.011607,-0.000591,-0.000000,-79.354019,0.000217,0.000000
0.070000,0.004471,-79.398499,-0.000009,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-79.398499,0.000217,0.000000
0.080000,0.004471,-79.309532,0.000004,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-79.309532,0.000217,0.000000
0.090000,-0.006699,-79.398499,0.000013,-0.000000,-0.000000,-0.029797,-0.001518,-0.000000,-79.398499,0.000217,0.000000
0.100000,-0.004837,-79.354019,0.000000,-0.000000,-0.000000,-0.021516,-0.001096,-0.000000,-79.354019,0.000217,0.000000
0.110000,-0.003349,-79.354019,0.000009,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-79.354019,0.000217,0.000000
0.120000,-0.006332,-79.354019,0.000004,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-79.354019,0.000217,0.000000
0.130000,-0.012291,-79.309532,0.000009,-0.000000,-0.000000,-0.054673,-0.002785,-0.000000,-79.309532,0.000217,0.000000
0.140000,-0.002235,-79.354019,0.000000,-0.000000,-0.000000,-0.009944,-0.000507,-0.000000,-79.354019,0.000217,0.000000
0.150000,0.018250,-79.354019,0.000009,-0.000000,-0.000000,0.081178,0.004135,-0.000000,-79.354019,0.000217,0.000000
0.160000,0.005211,-79.398499,0.000013,-0.000000,-0.000000,0.023179,0.001181,-0.000000,-79.398499,0.000217,0.000000
0.170000,-0.008560,-79.398499,0.000009,-0.000000,-0.000000,-0.038078,-0.001940,-0.000000,-79.398499,0.000217,0.000000
0.180000,-0.004097,-79.309532,-0.000004,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-79.309532,0.000217,0.000000
0.190000,-0.019363,-79.354019,0.000000,-0.000000,-0.000000,-0.086133,-0.004388,-0.000000,-79.354019,0.000217,0.000000
0.200000,-0.011543,-79.354019,0.000004,-0.000000,-0.000000,-0.051347,-0.002616,-0.000000,-79.354019,0.000217,0.000000
0.210000,-0.000740,-79.398499,0.000009,-0.000000,-0.000000,-0.003292,-0.000168,-0.000000,-79.398499,0.000217,0.000000
0.220000,0.004471,-79.354019,-0.000004,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-79.354019,0.000217,0.000000
0.230000,-0.007072,-79.309532,0.000004,-0.000000,-0.000000,-0.031460,-0.001603,-0.000000,-79.309532,0.000217,0.000000
0.240000,0.000374,-79.398499,-0.000004,-0.000000,-0.000000,0.001663,0.000085,-0.000000,-79.398499,0.000217,0.000000
0.250000,-0.007446,-79.309532,-0.000004,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-79.309532,0.000217,0.000000
0.260000,-0.009308,-79.398499,0.000009,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-79.398499,0.000217,0.000000
0.270000,-0.003723,-79.354019,0.000004,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-79.354019,0.000217,0.000000
0.280000,-0.014153,-79.309532,0.000004,-0.000000,-0.000000,-0.062954,-0.003207,-0.000000,-79.309532,0.000217,0.000000
0.290000,-0.009308,-79.398499,-0.000004,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-79.398499,0.000217,0.000000
0.300000,-0.007072,-79.265053,0.000000,-0.000000,-0.000000,-0.031460,-0.001603,-0.000000,-79.265053,0.000217,0.000000
0.310000,-0.002975,-79.354019,0.000009,-0.000000,-0.000000,-0.013236,-0.000674,-0.000000,-79.354019,0.000217,0.000000
0.320000,-0.011917,-79.354019,-0.000004,-0.000000,-0.000000,-0.053010,-0.002700,-0.000000,-79.354019,0.000217,0.000000
0.330000,0.001122,-79.354019,0.000009,0.000000,0.000009,0.004989,0.000254,0.000091,-79.354019,0.000356,0.000000
0.340000,0.042450,-79.354019,-0.000004,0.000002,0.000044,0.188827,0.009619,0.000439,-79.354019,0.000529,0.000000
0.350000,0.051392,-79.309532,-0.000009,0.000005,0.000130,0.228601,0.011646,0.001302,-79.309532,0.000685,0.000000
0.360000,0.049896,-79.354019,-0.000004,0.000011,0.000269,0.221950,0.011307,0.002687,-79.354019,0.000858,0.000000
0.370000,0.067772,-79.398499,0.000000,0.000018,0.000451,0.301465,0.015357,0.004512,-79.398499,0.001033,0.000000
0.380000,0.073730,-79.309532,0.000013,0.000026,0.000650,0.327969,0.016708,0.006502,-79.309532,0.001188,0.000000
0.390000,0.059952,-79.309532,0.000000,0.000033,0.000833,0.266679,0.013585,0.008327,-79.309532,0.001362,0.000000
0.400000,0.051018,-79.354019,0.000004,0.000039,0.000980,0.226938,0.011561,0.009803,-79.354019,0.001518,0.000000
0.410000,0.061073,-79.354019,0.000000,0.000043,0.001084,0.271668,0.013839,0.010840,-79.354019,0.001691,0.000000
0.420000,0.073357,-79.398499,0.000000,0.000047,0.001188,0.326307,0.016623,0.011885,-79.398499,0.001864,0.000000
0.430000,0.078201,-79.398499,0.000009,0.000051,0.001301,0.347857,0.017721,0.013012,-79.398499,0.002021,0.000000
0.440000,0.073730,-79.398499,0.000000,0.000057,0.001440,0.327969,0.016708,0.014398,-79.398499,0.002194,0.000000
0.450000,0.065536,-79.309532,0.000004,0.000064,0.001622,0.291521,0.014851,0.016222,-79.309532,0.002350,0.000000
0.460000,0.053993,-79.309532,0.000000,0.000073,0.001864,0.240174,0.012235,0.018644,-79.309532,0.002524,0.000000
0.470000,0.065910,-79.354019,0.000004,0.000083,0.002099,0.293184,0.014935,0.020991,-79.354019,0.002697,0.000000
0.480000,0.067398,-79.354019,0.000013,0.000089,0.002255,0.299802,0.015273,0.022550,-79.354019,0.002853,0.000000
0.490000,0.068520,-79.354019,-0.000004,0.000093,0.002368,0.304790,0.015527,0.023678,-79.354019,0.003027,0.000000
0.500000,0.070381,-79.398499,0.000004,0.000097,0.002463,0.313071,0.015949,0.024632,-79.398499,0.003201,0.000000
0.510000,0.030167,-79.442978,0.000000,0.000101,0.002559,0.134188,0.006836,0.025586,-79.442978,0.003356,0.000000
0.520000,0.005959,-79.398499,0.000000,0.000105,0.002671,0.026505,0.001350,0.026714,-79.398499,0.003530,0.000000
0.530000,0.016388,-79.354019,0.000009,0.000110,0.002802,0.072897,0.003714,0.028016,-79.354019,0.003686,0.000000
0.540000,0.024574,-79.442978,-0.000004,0.000115,0.002931,0.109312,0.005569,0.029310,-79.442978,0.003859,0.000000
0.550000,0.017128,-79.354019,0.000004,0.000121,0.003070,0.076189,0.003881,0.030703,-79.354019,0.004032,0.000000
0.560000,0.016014,-79.354019,0.000004,0.000127,0.003226,0.071234,0.003629,0.032262,-79.354019,0.004189,0.000000
0.570000,0.020851,-79.354019,-0.000013,0.000134,0.003391,0.092750,0.004725,0.033913,-79.354019,0.004362,0.000000
0.580000,0.047661,-79.309532,-0.000004,0.000141,0.003573,0.212006,0.010800,0.035729,-79.309532,0.004518,0.000000
0.590000,0.077827,-79.398499,0.000009,0.000147,0.003746,0.346194,0.017636,0.037463,-79.398499,0.004692,0.000000
0.600000,0.087135,-79.354019,0.000004,0.000153,0.003886,0.387597,0.019745,0.038856,-79.354019,0.004865,0.000000
0.610000,0.078575,-79.309532,0.000004,0.000158,0.004016,0.349520,0.017805,0.040158,-79.309532,0.005021,0.000000
