Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.010000,0.004097,-599.158386,-0.000017,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-599.158386,0.000199,0.000000
0.020000,0.003723,-599.113953,-0.000004,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-599.113953,0.000199,0.000000
0.030000,-0.002609,-599.113953,-0.000022,-0.000000,-0.000000,-0.011607,-0.000591,-0.000000,-599.113953,0.000199,0.000000
0.040000,0.004837,-599.113953,-0.000004,-0.000000,-0.000000,0.021516,0.001096,-0.000000,-599.113953,0.000199,0.000000
0.050000,0.002975,-599.158386,-0.000026,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-599.158386,0.000199,0.000000
0.060000,0.002975,-599.158386,-0.000017,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-599.158386,0.000199,0.000000
0.070000,0.009308,-599.158386,0.000009,-0.000000,-0.000000,0.041403,0.002109,-0.000000,-599.158386,0.000199,0.000000
0.080000,0.005211,-599.158386,0.000000,-0.000000,-0.000000,0.023179,0.001181,-0.000000,-599.158386,0.000199,0.000000
0.090000,0.008560,-599.113953,0.000009,-0.000000,-0.000000,0.038078,0.001940,-0.000000,-599.113953,0.000199,0.000000
0.100000,0.000740,-599.202881,-0.000017,-0.000000,-0.000000,0.003292,0.000168,-0.000000,-599.202881,0.000199,0.000000
0.110000,-0.007446,-599.202881,-0.000022,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-599.202881,0.000199,0.000000
0.120000,0.001488,-599.158386,0.000000,-0.000000,-0.000000,0.006618,0.000337,-0.000000,-599.158386,0.000199,0.000000
0.130000,0.001862,-599.247375,0.000022,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-599.247375,0.000199,0.000000
0.140000,-0.005211,-599.069458,-0.000004,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-599.069458,0.000199,0.000000
0.150000,0.005959,-599.158386,0.000017,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-599.158386,0.000199,0.000000
0.160000,-0.007072,-599.069458,-0.000004,-0.000000,-0.000000,-0.031460,-0.001603,-0.000000,-599.069458,0.000199,0.000000
0.170000,0.003723,-599.158386,-0.000009,-0.000000,-0.000000,0.016561,0.000844,-0.000000,-599.158386,0.000199,0.000000
0.180000,0.003349,-599.247375,0.000000,-0.000000,-0.000000,0.014898,0.000759,-0.000000,-599.247375,0.000199,0.000000
0.190000,0.008194,-599.113953,-0.000004,-0.000000,-0.000000,0.036449,0.001857,-0.000000,-599.113953,0.000199,0.000000
0.200000,0.004837,-599.113953,-0.000009,-0.000000,-0.000000,0.021516,0.001096,-0.000000,-599.113953,0.000199,0.000000
0.210000,0.006332,-599.247375,-0.000013,-0.000000,-0.000000,0.028168,0.001435,-0.000000,-599.247375,0.000199,0.000000
0.220000,-0.000000,-599.113953,0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-599.113953,0.000199,0.000000
0.230000,0.004471,-599.158386,0.000004,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-599.158386,0.000199,0.000000
0.240000,-0.001122,-599.113953,0.000004,-0.000000,-0.000000,-0.004989,-0.000254,-0.000000,-599.113953,0.000199,0.000000
0.250000,0.008560,-599.158386,0.000000,-0.000000,-0.000000,0.038078,0.001940,-0.000000,-599.158386,0.000199,0.000000
0.260000,0.004471,-599.202881,0.000000,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-599.202881,0.000199,0.000000
0.270000,0.005585,-599.113953,0.000017,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-599.113953,0.000199,0.000000
0.280000,-0.000374,-599.202881,-0.000004,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-599.202881,0.000199,0.000000
0.290000,0.006699,-599.113953,-0.000013,-0.000000,-0.000000,0.029797,0.001518,-0.000000,-599.113953,0.000199,0.000000
0.300000,0.002975,-599.202881,0.000013,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-599.202881,0.000199,0.000000
0.310000,-0.001862,-599.202881,-0.000004,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-599.202881,0.000199,0.000000
0.320000,0.005959,-599.113953,-0.000013,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-599.113953,0.000199,0.000000
0.330000,0.004471,-599.158386,-0.000009,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-599.158386,0.000199,0.000000
0.340000,0.002975,-599.113953,-0.000013,-0.000000,-0.000000,0.013236,0.000674,-0.000000,-599.113953,0.000304,0.000000
0.350000,-0.020851,-599.158386,-0.000004,0.000001,0.000017,-0.092750,-0.004725,0.000174,-599.158386,0.000477,0.000000
0.360000,0.004097,-599.202881,-0.000022,0.000003,0.000078,0.018224,0.000928,0.000783,-599.202881,0.000633,0.000000
0.370000,-0.011917,-599.158386,0.000004,0.000009,0.000217,-0.053010,-0.002700,0.002169,-599.158386,0.000807,0.000000
0.380000,0.005211,-599.202881,-0.000017,0.000016,0.000408,0.023179,0.001181,0.004076,-599.202881,0.000963,0.000000
0.390000,0.002235,-599.158386,-0.000009,0.000025,0.000633,0.009944,0.000507,0.006332,-599.158386,0.001136,0.000000
0.400000,-0.003349,-599.158386,0.000000,0.000033,0.000850,-0.014898,-0.000759,0.008501,-599.158386,0.001310,0.000000
0.410000,-0.000748,-599.158386,0.000000,0.000040,0.001023,-0.003326,-0.000169,0.010234,-599.158386,0.001466,0.000000
0.420000,0.015266,-599.158386,-0.000004,0.000045,0.001145,0.067908,0.003459,0.011449,-599.158386,0.001639,0.000000
0.430000,-0.002235,-599.202881,-0.000017,0.000050,0.001258,-0.009944,-0.000507,0.012577,-599.202881,0.001795,0.000000
0.440000,0.002975,-599.113953,-0.000017,0.000054,0.001371,0.013236,0.000674,0.013705,-599.113953,0.001969,0.000000
0.450000,0.014893,-599.113953,-0.000004,0.000058,0.001483,0.066245,0.003375,0.014829,-599.113953,0.002142,0.000000
0.460000,0.033882,-599.158386,-0.000013,0.000065,0.001648,0.150715,0.007678,0.016479,-599.158386,0.002298,0.000000
0.470000,0.033142,-599.113953,-0.000009,0.000072,0.001830,0.147423,0.007510,0.018300,-599.113953,0.002472,0.000000
0.480000,0.032021,-599.158386,-0.000004,0.000080,0.002038,0.142435,0.007256,0.020382,-599.158386,0.002628,0.000000
0.490000,0.021599,-599.113953,-0.000022,0.000088,0.002238,0.096076,0.004894,0.022376,-599.113953,0.002801,0.000000
0.500000,0.003349,-599.202881,0.000000,0.000094,0.002376,0.014898,0.000759,0.023762,-599.202881,0.002975,0.000000
0.510000,0.021599,-599.202881,0.000009,0.000097,0.002455,0.096076,0.004894,0.024545,-599.202881,0.003131,0.000000
