Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.014519,-155.283005,0.000000,-0.000000,-0.000000,-0.064583,-0.003290,-0.000000,-155.283005,0.000173,0.000000
0.120000,-0.005951,-155.194031,-0.000004,-0.000000,-0.000000,-0.026471,-0.001348,-0.000000,-155.194031,0.000173,0.000000
0.130000,0.002983,-155.238525,-0.000009,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-155.238525,0.000173,0.000000
0.140000,0.005219,-155.283005,-0.000009,-0.000000,-0.000000,0.023213,0.001183,-0.000000,-155.283005,0.000173,0.000000
0.150000,-0.004463,-155.238525,-0.000004,-0.000000,-0.000000,-0.019853,-0.001011,-0.000000,-155.238525,0.000173,0.000000
0.160000,0.006332,-155.283005,0.000000,-0.000000,-0.000000,0.028168,0.001435,-0.000000,-155.283005,0.000173,0.000000
0.170000,-0.005211,-155.283005,-0.000017,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-155.283005,0.000173,0.000000
0.180000,-0.009308,-155.283005,0.000000,-0.000000,-0.000000,-0.041403,-0.002109,-0.000000,-155.283005,0.000173,0.000000
0.190000,-0.006325,-155.238525,0.000000,-0.000000,-0.000000,-0.028134,-0.001433,-0.000000,-155.238525,0.000173,0.000000
0.200000,-0.003349,-155.194031,-0.000013,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-155.194031,0.000173,0.000000
0.210000,-0.001488,-155.238525,-0.000004,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-155.238525,0.000173,0.000000
0.220000,0.007080,-155.283005,-0.000017,-0.000000,-0.000000,0.031494,0.001604,-0.000000,-155.283005,0.000173,0.000000
0.230000,-0.001488,-155.194031,-0.000004,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-155.194031,0.000173,0.000000
0.240000,-0.003349,-155.327484,0.000004,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-155.327484,0.000173,0.000000
0.250000,-0.002228,-155.238525,-0.000009,-0.000000,-0.000000,-0.009910,-0.000505,-0.000000,-155.238525,0.000173,0.000000
0.260000,-0.005211,-155.238525,0.000000,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-155.238525,0.000173,0.000000
0.270000,-0.007820,-155.283005,-0.000009,-0.000000,-0.000000,-0.034786,-0.001772,-0.000000,-155.283005,0.000173,0.000000
0.280000,0.001495,-155.149551,-0.000009,-0.000000,-0.000000,0.006652,0.000339,-0.000000,-155.149551,0.000173,0.000000
0.290000,-0.001488,-155.238525,-0.000004,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-155.238525,0.000173,0.000000
0.300000,-0.008560,-155.283005,-0.000009,-0.000000,-0.000000,-0.038078,-0.001940,-0.000000,-155.283005,0.000173,0.000000
0.310000,-0.004463,-155.238525,-0.000009,-0.000000,-0.000000,-0.019853,-0.001011,-0.000000,-155.238525,0.000173,0.000000
0.320000,-0.004089,-155.238525,-0.000009,-0.000000,-0.000000,-0.018190,-0.000927,-0.000000,-155.238525,0.000173,0.000000
0.330000,-0.006325,-155.238525,-0.000004,-0.000000,-0.000000,-0.028134,-0.001433,-0.000000,-155.238525,0.000173,0.000000
