Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.004471,-190.956726,0.000013,-0.000000,-0.000000,-0.019887,-0.001013,-0.000000,-190.956726,0.000182,0.000000
0.120000,-0.010796,-190.956726,-0.000004,-0.000000,-0.000000,-0.048021,-0.002446,-0.000000,-190.956726,0.000182,0.000000
0.130000,-0.008934,-191.001205,-0.000009,-0.000000,-0.000000,-0.039741,-0.002024,-0.000000,-191.001205,0.000182,0.000000
0.140000,0.001862,-190.956726,0.000000,-0.000000,-0.000000,0.008281,0.000422,-0.000000,-190.956726,0.000182,0.000000
0.150000,-0.004837,-191.045685,-0.000004,-0.000000,-0.000000,-0.021516,-0.001096,-0.000000,-191.045685,0.000182,0.000000
0.160000,-0.000000,-190.956726,0.000022,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-190.956726,0.000182,0.000000
0.170000,0.001114,-190.956726,0.000047,-0.000000,-0.000000,0.004955,0.000252,-0.000000,-190.956726,0.000182,0.000000
0.180000,0.004097,-191.045685,0.000013,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-191.045685,0.000182,0.000000
0.190000,0.004097,-191.001205,0.000000,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-191.001205,0.000182,0.000000
0.200000,0.007072,-191.001205,0.000017,-0.000000,-0.000000,0.031460,0.001603,-0.000000,-191.001205,0.000182,0.000000
0.210000,0.004471,-191.045685,0.000017,-0.000000,-0.000000,0.019887,0.001013,-0.000000,-191.045685,0.000182,0.000000
0.220000,-0.001862,-191.001205,-0.000009,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-191.001205,0.000182,0.000000
0.230000,-0.000000,-191.001205,-0.000013,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-191.001205,0.000182,0.000000
0.240000,0.000748,-190.956726,0.000017,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-190.956726,0.000182,0.000000
0.250000,0.004097,-191.001205,0.000000,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-191.001205,0.000182,0.000000
0.260000,0.005959,-191.001205,0.000004,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-191.001205,0.000182,0.000000
0.270000,0.002235,-190.956726,0.000009,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-190.956726,0.000182,0.000000
0.280000,-0.003723,-191.001205,-0.000009,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-191.001205,0.000182,0.000000
0.290000,-0.012657,-190.956726,0.000026,-0.000000,-0.000000,-0.056302,-0.002868,-0.000000,-190.956726,0.000182,0.000000
0.300000,-0.013405,-191.045685,0.000004,-0.000000,-0.000000,-0.059628,-0.003038,-0.000000,-191.045685,0.000182,0.000000
0.310000,-0.010796,-191.001205,0.000013,-0.000000,-0.000000,-0.048021,-0.002446,-0.000000,-191.001205,0.000182,0.000000
0.320000,-0.001862,-191.001205,0.000013,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-191.001205,0.000182,0.000000
0.330000,-0.000374,-191.001205,0.000013,-0.000000,-0.000000,-0.001663,-0.000085,-0.000000,-191.001205,0.000182,0.000000
0.340000,0.005211,-190.956726,0.000017,-0.000000,-0.000000,0.023179,0.001181,-0.000000,-190.956726,0.000182,0.000000
0.350000,-0.030907,-191.045685,0.000017,0.000000,0.000009,-0.137480,-0.007004,0.000087,-191.045685,0.000321,0.000000
0.360000,-0.061440,-191.001205,-0.000004,0.000001,0.000035,-0.273297,-0.013922,0.000348,-191.001205,0.000477,0.000000
0.370000,-0.029419,-191.090164,0.000026,0.000004,0.000095,-0.130862,-0.006666,0.000954,-191.090164,0.000651,0.000000
0.380000,-0.048409,-191.001205,0.000004,0.000008,0.000199,-0.215332,-0.010970,0.001995,-191.001205,0.000824,0.000000
0.390000,-0.026062,-190.956726,-0.000004,0.000014,0.000347,-0.115930,-0.005906,0.003471,-190.956726,0.000980,0.000000
0.400000,-0.021973,-191.045685,-0.000004,0.000020,0.000520,-0.097739,-0.004979,0.005204,-191.045685,0.001154,0.000000
0.410000,-0.017502,-191.045685,0.000000,0.000028,0.000720,-0.077852,-0.003966,0.007199,-191.045685,0.001310,0.000000
0.420000,-0.012291,-190.956726,0.000022,0.000037,0.000928,-0.054673,-0.002785,0.009281,-190.956726,0.001483,0.000000
0.430000,-0.011543,-191.090164,0.000017,0.000044,0.001128,-0.051347,-0.002616,0.011275,-191.090164,0.001657,0.000000
0.440000,-0.013779,-190.956726,0.000000,0.000051,0.001301,-0.061291,-0.003122,0.013009,-190.956726,0.001813,0.000000
0.450000,-0.017128,-191.001205,0.000009,0.000056,0.001431,-0.076189,-0.003881,0.014311,-191.001205,0.001986,0.000000
0.460000,-0.010796,-191.045685,0.000009,0.000061,0.001561,-0.048021,-0.002446,0.015613,-191.045685,0.002142,0.000000
0.470000,0.013031,-190.912247,-0.000013,0.000067,0.001700,0.057965,0.002953,0.016998,-190.912247,0.002316,0.000000
0.480000,0.028671,-191.001205,-0.000004,0.000072,0.001830,0.127536,0.006497,0.018300,-191.001205,0.002489,0.000000
0.490000,0.020851,-190.956726,0.000013,0.000078,0.001969,0.092750,0.004725,0.019685,-190.956726,0.002645,0.000000
0.500000,0.010056,-191.001205,0.000009,0.000082,0.002090,0.044729,0.002279,0.020900,-191.001205,0.002819,0.000000
0.510000,-0.002975,-191.001205,-0.000009,0.000087,0.002220,-0.013236,-0.000674,0.022202,-191.001205,0.002975,0.000000
0.520000,-0.004471,-191.001205,0.000017,0.000094,0.002376,-0.019887,-0.001013,0.023762,-191.001205,0.003148,0.000000
0.530000,-0.000374,-191.001205,-0.000017,0.000100,0.002550,-0.001663,-0.000085,0.025499,-191.001205,0.003322,0.000000
0.540000,0.005211,-190.956726,-0.000013,0.000107,0.002723,0.023179,0.001181,0.027232,-190.956726,0.003478,0.000000
0.550000,-0.005585,-191.045685,0.000000,0.000112,0.002853,-0.024842,-0.001266,0.028534,-191.045685,0.003651,0.000000
0.560000,0.001488,-191.001205,0.000017,0.000116,0.002940,0.006618,0.000337,0.029401,-191.001205,0.003807,0.000000
0.570000,0.002983,-191.090164,0.000017,0.000118,0.003001,0.013269,0.000676,0.030007,-191.090164,0.003981,0.000000
0.580000,0.008568,-191.001205,-0.000004,0.000121,0.003061,0.038112,0.001941,0.030612,-191.001205,0.004154,0.000000
0.590000,-0.010796,-191.001205,-0.000004,0.000125,0.003174,-0.048021,-0.002446,0.031740,-191.001205,0.004310,0.000000
0.600000,-0.004097,-191.045685,0.000017,0.000132,0.003356,-0.018224,-0.000928,0.033561,-191.045685,0.004484,0.000000
0.610000,-0.009682,-190.956726,0.000000,0.000141,0.003582,-0.043066,-0.002194,0.035816,-190.956726,0.004640,0.000000
0.620000,-0.015640,-191.001205,0.000017,0.000150,0.003799,-0.069571,-0.003544,0.037985,-191.001205,0.004813,0.000000
0.630000,-0.013405,-191.001205,0.000000,0.000157,0.003998,-0.059628,-0.003038,0.039980,-191.001205,0.004987,0.000000
0.640000,-0.013405,-191.001205,0.000009,0.000164,0.004163,-0.059628,-0.003038,0.041626,-191.001205,0.005143,0.000000
0.650000,-0.000000,-191.001205,0.000034,0.000171,0.004336,-0.000000,-0.000000,0.043364,-191.001205,0.005316,0.000000
0.660000,0.000748,-191.001205,0.000017,0.000178,0.004518,0.003326,0.000169,0.045184,-191.001205,0.005490,0.000000
0.670000,0.008194,-191.045685,0.000034,0.000183,0.004657,0.036449,0.001857,0.046569,-191.045685,0.005646,0.000000
0.680000,0.013779,-191.001205,0.000039,0.000187,0.004761,0.061291,0.003122,0.047610,-191.001205,0.005819,0.000000
0.690000,0.011543,-190.956726,0.000013,0.000192,0.004874,0.051347,0.002616,0.048738,-190.956726,0.005975,0.000000
0.700000,0.023087,-191.045685,0.000065,0.000197,0.005004,0.102694,0.005231,0.050040,-191.045685,0.006149,0.000000
0.710000,0.022713,-190.912247,0.000022,0.000203,0.005160,0.101031,0.005147,0.051599,-190.912247,0.006322,0.000000
0.720000,0.013405,-191.090164,0.000065,0.000212,0.005377,0.059628,0.003038,0.053768,-191.090164,0.006478,0.000000
0.730000,0.007820,-191.001205,0.000069,0.000222,0.005646,0.034786,0.001772,0.056455,-191.001205,0.006652,0.000000
0.740000,0.013779,-191.001205,0.000073,0.000233,0.005915,0.061291,0.003122,0.059147,-191.001205,0.006808,0.000000
0.750000,0.018990,-191.045685,0.000082,0.000241,0.006123,0.084470,0.004303,0.061228,-191.045685,0.006981,0.000000
0.760000,0.017502,-191.045685,0.000103,0.000247,0.006270,0.077852,0.003966,0.062701,-191.045685,0.007155,0.000000
0.770000,0.023460,-191.001205,0.000099,0.000252,0.006392,0.104357,0.005316,0.063916,-191.001205,0.007311,0.000000
0.780000,-0.002609,-191.045685,0.000103,0.000256,0.006513,-0.011607,-0.000591,0.065130,-191.045685,0.007484,0.000000
0.790000,-0.020851,-191.001205,0.000142,0.000262,0.006660,-0.092750,-0.004725,0.066603,-191.001205,0.007640,0.000000
0.800000,-0.023460,-191.001205,0.000134,0.000268,0.006817,-0.104357,-0.005316,0.068166,-191.001205,0.007814,0.000000
