Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,-0.006699,-175.922165,0.000000,-0.000000,-0.000000,-0.029797,-0.001518,-0.000000,-175.922165,0.000208,0.000000
0.120000,0.007454,-175.966644,-0.000013,-0.000000,-0.000000,0.033157,0.001689,-0.000000,-175.966644,0.000208,0.000000
0.130000,0.010429,-175.966644,-0.000013,-0.000000,-0.000000,0.046392,0.002363,-0.000000,-175.966644,0.000208,0.000000
0.140000,0.005592,-175.922165,0.000000,-0.000000,-0.000000,0.024876,0.001267,-0.000000,-175.922165,0.000208,0.000000
0.150000,0.002235,-176.011124,-0.000009,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-176.011124,0.000208,0.000000
0.160000,0.002235,-175.922165,-0.000009,-0.000000,-0.000000,0.009944,0.000507,-0.000000,-175.922165,0.000208,0.000000
0.170000,0.005959,-175.966644,-0.000009,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-175.966644,0.000208,0.000000
0.180000,-0.000366,-176.011124,-0.000013,-0.000000,-0.000000,-0.001629,-0.000083,-0.000000,-176.011124,0.000208,0.000000
0.190000,-0.008186,-175.966644,0.000000,-0.000000,-0.000000,-0.036415,-0.001855,-0.000000,-175.966644,0.000208,0.000000
0.200000,-0.005211,-176.011124,-0.000009,-0.000000,-0.000000,-0.023179,-0.001181,-0.000000,-176.011124,0.000208,0.000000
0.210000,0.008194,-175.966644,-0.000017,-0.000000,-0.000000,0.036449,0.001857,-0.000000,-175.966644,0.000208,0.000000
0.220000,-0.001114,-175.966644,-0.000004,-0.000000,-0.000000,-0.004955,-0.000252,-0.000000,-175.966644,0.000208,0.000000
0.230000,-0.003349,-176.011124,-0.000004,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-176.011124,0.000208,0.000000
0.240000,-0.004463,-175.922165,-0.000004,-0.000000,-0.000000,-0.019853,-0.001011,-0.000000,-175.922165,0.000208,0.000000
0.250000,-0.004463,-176.011124,-0.000004,-0.000000,-0.000000,-0.019853,-0.001011,-0.000000,-176.011124,0.000208,0.000000
0.260000,-0.014519,-176.011124,0.000004,-0.000000,-0.000000,-0.064583,-0.003290,-0.000000,-176.011124,0.000208,0.000000
0.270000,-0.005951,-176.011124,-0.000013,-0.000000,-0.000000,-0.026471,-0.001348,-0.000000,-176.011124,0.000208,0.000000
0.280000,-0.015266,-176.011124,-0.000013,-0.000000,-0.000000,-0.067908,-0.003459,-0.000000,-176.011124,0.000208,0.000000
0.290000,-0.007812,-176.011124,-0.000013,-0.000000,-0.000000,-0.034752,-0.001770,-0.000000,-176.011124,0.000208,0.000000
0.300000,-0.000000,-176.011124,-0.000017,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-176.011124,0.000208,0.000000
0.310000,0.004097,-175.966644,-0.000004,-0.000000,-0.000000,0.018224,0.000928,-0.000000,-175.966644,0.000208,0.000000
0.320000,0.001495,-175.966644,-0.000004,-0.000000,-0.000000,0.006652,0.000339,-0.000000,-175.966644,0.000208,0.000000
0.330000,-0.001862,-176.011124,-0.000017,-0.000000,-0.000000,-0.008281,-0.000422,-0.000000,-176.011124,0.000208,0.000000
0.340000,-0.004837,-175.966644,-0.000013,-0.000000,-0.000000,-0.021516,-0.001096,-0.000000,-175.966644,0.000208,0.000000
0.350000,-0.004463,-176.011124,-0.000009,-0.000000,-0.000000,-0.019853,-0.001011,-0.000000,-176.011124,0.000208,0.000000
0.360000,0.000748,-176.011124,-0.000004,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-176.011124,0.000208,0.000000
0.370000,-0.001114,-176.100082,-0.000009,-0.000000,-0.000000,-0.004955,-0.000252,-0.000000,-176.100082,0.000208,0.000000
0.380000,0.003357,-176.055603,-0.000013,-0.000000,-0.000000,0.014932,0.000761,-0.000000,-176.055603,0.000295,0.000000
0.390000,-0.023453,-176.011124,-0.000009,0.000001,0.000026,-0.104323,-0.005314,0.000265,-176.011124,0.000451,0.000000
