Time (sec),S:Load (lbs),S:HL1 (DIM),S:LVDT (in),S:Position (in),Ch:Position (mm),Ch:Load (N),Ch:Stress (MPa),Ch:Strain (mm/mm),Ch:HL1 (DIM),Set Point (),Cycles ()
0.110000,0.010056,-157.017761,-0.000022,-0.000000,-0.000000,0.044729,0.002279,-0.000000,-157.017761,0.000156,0.000000
0.120000,0.012291,-156.928802,-0.000009,-0.000000,-0.000000,0.054673,0.002785,-0.000000,-156.928802,0.000156,0.000000
0.130000,-0.001488,-157.017761,-0.000017,-0.000000,-0.000000,-0.006618,-0.000337,-0.000000,-157.017761,0.000156,0.000000
0.140000,0.001488,-156.928802,-0.000013,-0.000000,-0.000000,0.006618,0.000337,-0.000000,-156.928802,0.000156,0.000000
0.150000,-0.010056,-157.017761,-0.000004,-0.000000,-0.000000,-0.044729,-0.002279,-0.000000,-157.017761,0.000156,0.000000
0.160000,-0.003723,-157.062241,-0.000009,-0.000000,-0.000000,-0.016561,-0.000844,-0.000000,-157.062241,0.000156,0.000000
0.170000,0.000748,-156.973282,0.000000,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-156.973282,0.000156,0.000000
0.180000,0.002983,-157.017761,-0.000009,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-157.017761,0.000156,0.000000
0.190000,0.000748,-156.928802,-0.000009,-0.000000,-0.000000,0.003326,0.000169,-0.000000,-156.928802,0.000156,0.000000
0.200000,-0.007446,-156.973282,0.000004,-0.000000,-0.000000,-0.033123,-0.001687,-0.000000,-156.973282,0.000156,0.000000
0.210000,-0.005959,-157.017761,-0.000013,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-157.017761,0.000156,0.000000
0.220000,0.005585,-156.973282,-0.000009,-0.000000,-0.000000,0.024842,0.001266,-0.000000,-156.973282,0.000156,0.000000
0.230000,0.002983,-157.017761,-0.000009,-0.000000,-0.000000,0.013269,0.000676,-0.000000,-157.017761,0.000156,0.000000
0.240000,-0.008194,-156.973282,0.000000,-0.000000,-0.000000,-0.036449,-0.001857,-0.000000,-156.973282,0.000156,0.000000
0.250000,-0.003349,-156.973282,-0.000009,-0.000000,-0.000000,-0.014898,-0.000759,-0.000000,-156.973282,0.000156,0.000000
0.260000,0.008568,-157.017761,-0.000017,-0.000000,-0.000000,0.038112,0.001941,-0.000000,-157.017761,0.000156,0.000000
0.270000,0.008568,-156.973282,0.000004,-0.000000,-0.000000,0.038112,0.001941,-0.000000,-156.973282,0.000156,0.000000
0.280000,-0.006332,-157.017761,-0.000013,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-157.017761,0.000156,0.000000
0.290000,-0.008934,-156.973282,-0.000004,-0.000000,-0.000000,-0.039741,-0.002024,-0.000000,-156.973282,0.000156,0.000000
0.300000,-0.008568,-157.017761,-0.000004,-0.000000,-0.000000,-0.038112,-0.001941,-0.000000,-157.017761,0.000156,0.000000
0.310000,-0.000000,-156.973282,-0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-156.973282,0.000156,0.000000
0.320000,-0.009682,-156.973282,-0.000017,-0.000000,-0.000000,-0.043066,-0.002194,-0.000000,-156.973282,0.000156,0.000000
0.330000,-0.004837,-157.062241,-0.000022,-0.000000,-0.000000,-0.021516,-0.001096,-0.000000,-157.062241,0.000156,0.000000
0.340000,-0.006332,-157.017761,0.000000,-0.000000,-0.000000,-0.028168,-0.001435,-0.000000,-157.017761,0.000156,0.000000
0.350000,-0.011169,-157.017761,-0.000009,-0.000000,-0.000000,-0.049684,-0.002531,-0.000000,-157.017761,0.000156,0.000000
0.360000,-0.005959,-157.017761,-0.000017,-0.000000,-0.000000,-0.026505,-0.001350,-0.000000,-157.017761,0.000156,0.000000
0.370000,-0.004097,-157.017761,-0.000004,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-157.017761,0.000156,0.000000
0.380000,0.005959,-157.106720,0.000000,-0.000000,-0.000000,0.026505,0.001350,-0.000000,-157.106720,0.000156,0.000000
0.390000,-0.004097,-157.017761,-0.000017,-0.000000,-0.000000,-0.018224,-0.000928,-0.000000,-157.017761,0.000278,0.000000
0.400000,-0.023834,-157.062241,-0.000013,0.000001,0.000017,-0.106020,-0.005401,0.000174,-157.062241,0.000451,0.000000
0.410000,-0.000000,-157.062241,-0.000022,0.000003,0.000087,-0.000000,-0.000000,0.000871,-157.062241,0.000607,0.000000
0.420000,-0.017502,-157.017761,-0.000017,0.000009,0.000226,-0.077852,-0.003966,0.002256,-157.017761,0.000780,0.000000
0.430000,-0.020111,-157.062241,-0.000017,0.000015,0.000373,-0.089459,-0.004557,0.003732,-157.062241,0.000936,0.000000
0.440000,-0.001488,-156.973282,-0.000004,0.000021,0.000521,-0.006618,-0.000337,0.005208,-156.973282,0.001110,0.000000
0.450000,0.008568,-157.062241,-0.000022,0.000027,0.000685,0.038112,0.001941,0.006851,-157.062241,0.001284,0.000000
0.460000,0.002983,-157.017761,-0.000013,0.000033,0.000850,0.013269,0.000676,0.008501,-157.017761,0.001440,0.000000
0.470000,-0.010796,-157.017761,-0.000017,0.000040,0.001023,-0.048021,-0.002446,0.010234,-157.017761,0.001613,0.000000
0.480000,-0.014893,-157.017761,-0.000013,0.000048,0.001214,-0.066245,-0.003375,0.012142,-157.017761,0.001769,0.000000
0.490000,-0.017502,-157.017761,-0.000022,0.000056,0.001414,-0.077852,-0.003966,0.014140,-157.017761,0.001942,0.000000
0.500000,-0.018616,-157.017761,-0.000013,0.000063,0.001596,-0.082807,-0.004218,0.015957,-157.017761,0.002117,0.000000
0.510000,-0.012291,-157.062241,-0.000013,0.000069,0.001761,-0.054673,-0.002785,0.017607,-157.062241,0.002272,0.000000
0.520000,-0.023087,-157.017761,-0.000013,0.000075,0.001917,-0.102694,-0.005231,0.019167,-157.017761,0.002446,0.000000
0.530000,-0.070381,-157.017761,-0.000009,0.000081,0.002047,-0.313071,-0.015949,0.020469,-157.017761,0.002619,0.000000
0.540000,-0.064789,-157.017761,-0.000009,0.000086,0.002177,-0.288195,-0.014681,0.021771,-157.017761,0.002775,0.000000
0.550000,-0.039101,-157.017761,-0.000017,0.000090,0.002298,-0.173928,-0.008860,0.022982,-157.017761,0.002948,0.000000
0.560000,-0.033516,-157.017761,-0.000013,0.000095,0.002411,-0.149086,-0.007595,0.024110,-157.017761,0.003105,0.000000
0.570000,-0.051018,-157.062241,-0.000009,0.000099,0.002524,-0.226938,-0.011561,0.025238,-157.062241,0.003278,0.000000
0.580000,-0.065163,-157.062241,-0.000009,0.000105,0.002662,-0.289858,-0.014766,0.026623,-157.062241,0.003452,0.000000
0.590000,-0.064789,-157.062241,-0.000013,0.000110,0.002802,-0.288195,-0.014681,0.028016,-157.062241,0.003608,0.000000
0.600000,-0.049896,-157.106720,-0.000004,0.000116,0.002940,-0.221950,-0.011307,0.029401,-157.106720,0.003781,0.000000
0.610000,-0.046547,-157.062241,-0.000013,0.000122,0.003105,-0.207051,-0.010548,0.031051,-157.062241,0.003937,0.000000
0.620000,-0.024200,-157.017761,-0.000009,0.000129,0.003269,-0.107649,-0.005484,0.032694,-157.017761,0.004111,0.000000
0.630000,-0.023460,-157.062241,-0.000004,0.000135,0.003425,-0.104357,-0.005316,0.034253,-157.062241,0.004285,0.000000
0.640000,-0.011169,-157.062241,-0.000013,0.000138,0.003512,-0.049684,-0.002531,0.035124,-157.062241,0.004440,0.000000
0.650000,-0.001488,-157.062241,-0.000013,0.000142,0.003608,-0.006618,-0.000337,0.036078,-157.062241,0.004614,0.000000
0.660000,0.003349,-157.106720,-0.000013,0.000147,0.003729,0.014898,0.000759,0.037289,-157.106720,0.004770,0.000000
0.670000,-0.002235,-157.017761,0.000000,0.000152,0.003859,-0.009944,-0.000507,0.038591,-157.017761,0.004943,0.000000
0.680000,-0.007072,-157.062241,-0.000017,0.000156,0.003972,-0.031460,-0.001603,0.039719,-157.062241,0.005116,0.000000
0.690000,-0.005959,-157.106720,-0.000013,0.000162,0.004119,-0.026505,-0.001350,0.041195,-157.106720,0.005273,0.000000
0.700000,-0.014153,-157.106720,-0.000013,0.000168,0.004258,-0.062954,-0.003207,0.042580,-157.106720,0.005446,0.000000
0.710000,-0.024574,-157.106720,-0.000004,0.000176,0.004466,-0.109312,-0.005569,0.044662,-157.106720,0.005602,0.000000
0.720000,-0.017502,-157.062241,-0.000004,0.000185,0.004709,-0.077852,-0.003966,0.047092,-157.062241,0.005776,0.000000
0.730000,-0.018990,-157.151199,0.000004,0.000195,0.004952,-0.084470,-0.004303,0.049522,-157.151199,0.005949,0.000000
0.740000,-0.013779,-157.062241,0.000013,0.000201,0.005116,-0.061291,-0.003122,0.051164,-157.062241,0.006106,0.000000
0.750000,-0.043938,-157.062241,0.000022,0.000207,0.005247,-0.195445,-0.009956,0.052466,-157.062241,0.006279,0.000000
0.760000,-0.058090,-157.017761,0.000017,0.000211,0.005359,-0.258398,-0.013163,0.053594,-157.017761,0.006435,0.000000
0.770000,-0.058838,-157.017761,0.000030,0.000216,0.005490,-0.261724,-0.013333,0.054896,-157.017761,0.006608,0.000000
0.780000,-0.056229,-157.151199,0.000030,0.000222,0.005628,-0.250117,-0.012742,0.056281,-157.151199,0.006782,0.000000
