PVDF5-3(6),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,38.7896,3.1147,2.42776,1.95124,0.493416223
43487.4,4.638363443,40.1968,3.50343,2.67603,2.26117,0.544493445
37823.2,4.577758269,40.5925,4.08009,3.09825,2.65481,0.610669743
32896.7,4.517152334,42.2072,4.54738,3.36833,3.05499,0.657761247
28611.8,4.456545181,43.683,5.07103,3.66723,3.5024,0.70509618
24885.1,4.39593939,45.1088,5.62084,3.96698,3.98207,0.749801223
21643.8,4.335333512,46.4259,6.23244,4.29597,4.5153,0.794658106
18824.7,4.274728064,47.2114,6.94278,4.7162,5.09506,0.841533404
16372.7,4.214120304,48.3031,7.65608,5.09274,5.7166,0.884006463
14240.2,4.153516089,49.423,8.43401,5.48607,6.4059,0.926034112
12385.4,4.092910037,50.436,9.26754,5.90287,7.14447,0.966964469
10772.2,4.032304408,51.3454,10.199,6.37056,7.96468,1.008557592
9369.09,3.971697411,52.2092,11.2273,6.87988,8.87241,1.050275327
8148.75,3.911090994,52.9973,12.3483,7.43184,9.86143,1.091607172
7087.37,3.850485106,53.736,13.5849,8.03559,10.9535,1.133056446
6164.23,3.789878835,54.3967,14.9325,8.69327,12.1411,1.174132523
5361.34,3.72927335,55.1112,16.4216,9.39292,13.47,1.215415469
4663.02,3.668667278,55.8608,18.0324,10.1199,14.925,1.256053532
4055.65,3.608060469,56.463,19.8318,10.9566,16.5304,1.297362134
3527.4,3.547454711,57.0467,21.8375,11.8786,18.3242,1.339202918
3067.95,3.486848277,57.5801,23.9738,12.8528,20.2373,1.379736878
2668.35,3.426242794,58.1747,26.3895,13.916,22.4221,1.421431162
2320.79,3.365635844,58.6447,29.0715,15.1272,24.8259,1.463467441
2018.51,3.305030905,59.1617,32.0136,16.4107,27.4874,1.505334514
1755.6,3.244425572,59.6393,35.2928,17.8385,30.4528,1.547686115
1526.93,3.183819128,60.0631,38.9057,19.4158,33.7147,1.590013234
1328.04,3.123211156,60.4652,42.8388,21.1175,37.2722,1.631837297
1155.06,3.062604544,60.9851,47.3213,22.9526,41.3822,1.675056667
1004.62,3.00200182,61.2897,52.2041,25.0779,45.7862,1.717704613
873.764,2.941394147,61.7424,57.68,27.3078,50.8061,1.761025252
759.956,2.880788448,62.0557,63.6971,29.8493,56.2703,1.80411966
660.971,2.820182405,62.4491,70.4384,32.5803,62.4507,1.847809482
574.878,2.759575689,62.8024,77.8272,35.5718,69.2223,1.891131406
500,2.698970004,63.071,85.938,38.92,76.6196,1.934185242
434.875,2.638364442,63.3568,95.1555,42.6708,85.0515,1.978433896
378.232,2.577758269,63.6567,105.275,46.7157,94.3426,2.02232525
328.967,2.517152334,63.93,116.643,51.2607,104.775,2.066858681
286.118,2.456545181,64.19,128.999,56.1648,116.131,2.110586344
248.851,2.39593939,64.3871,143.043,61.8359,128.987,2.15546661
216.438,2.335333512,64.6488,158.477,67.8545,143.216,2.199966241
188.247,2.274728064,64.8417,175.711,74.6984,159.042,2.24479895
163.727,2.214120304,65.1128,194.808,81.9816,176.717,2.289606788
142.402,2.153516089,65.3057,216.07,90.269,196.31,2.334594472
123.854,2.092910037,65.5435,239.749,99.2564,218.237,2.379756804
107.722,2.032304408,65.7404,265.993,109.289,242.504,2.424870208
93.6909,1.971697411,65.9873,295.133,120.101,269.591,2.470017772
81.4875,1.911090994,66.0637,327.758,132.978,299.57,2.515553301
70.8737,1.850485106,66.3331,363.804,146.038,333.206,2.56086747
61.6423,1.789878835,66.4457,404.971,161.833,371.229,2.607423924
53.6134,1.72927335,66.7465,449.124,177.314,412.64,2.652366263
46.6302,1.668667278,67.0615,499.017,194.488,459.556,2.698115341
40.5565,1.608060469,67.3417,554.595,213.649,511.791,2.74397595
35.274,1.547454711,67.5958,615.667,234.654,569.196,2.789345876
30.6795,1.486848277,67.8293,683.908,258.085,633.342,2.834997684
26.6835,1.426242794,68.1257,761.778,283.817,706.933,2.881828426
23.2079,1.365635844,68.4436,848.511,311.757,789.163,2.928657477
20.1851,1.305030905,68.7978,946.495,342.309,882.427,2.976118324
17.556,1.244425572,69.0902,1052.42,375.607,983.113,3.022189093
15.2693,1.183819128,69.4843,1173.08,411.12,1098.67,3.069327631
13.2804,1.123211156,69.8007,1308.64,451.856,1228.15,3.116820191
11.5506,1.062604544,70.1462,1463.17,496.924,1376.2,3.165294788
10.0462,1.00200182,70.5986,1635.59,543.317,1542.72,3.213674447
8.73764,0.941394147,70.9567,1828.76,596.69,1728.67,3.262156714
7.59956,0.880788448,71.1807,2045.37,659.804,1936.03,3.310771882
6.60971,0.820182405,71.5842,2293.1,724.416,2175.67,3.360422994
5.74879,0.759576444,71.9592,2569.76,795.84,2443.42,3.409892565
5,0.698970004,72.3676,2889.62,875.294,2753.87,3.460840735
4.34874,0.638363443,72.7327,3236.07,960.562,3090.22,3.510017907
3.78232,0.577758269,73.0831,3631.24,1056.63,3474.1,3.560054954
