PVDF0.2-1(3),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,56.4107,4.53214,2.50734,3.77539,0.656303317
43487.4,4.638363443,56.3636,5.42627,3.00572,4.51774,0.7345014
37823.2,4.577758269,56.3416,6.39402,3.54382,5.32211,0.80577399
32896.7,4.517152334,56.4363,7.37055,4.07492,6.14167,0.867499897
28611.8,4.456545181,55.8157,8.4964,4.77376,7.02852,0.92923495
24885.1,4.39593939,53.52,9.93185,5.9049,7.98585,0.997030152
21643.8,4.335333512,53.9821,11.01,6.47431,8.90528,1.041787319
18824.7,4.274728064,54.6234,12.1597,7.03986,9.91462,1.08492286
16372.7,4.214120304,54.8221,13.4415,7.7439,10.9867,1.128447736
14240.2,4.153516089,54.994,14.8429,8.51479,12.1577,1.171518762
12385.4,4.092910037,55.1869,16.3495,9.33393,13.4232,1.213504476
10772.2,4.032304408,55.3945,17.9785,10.2104,14.7978,1.254753454
9369.09,3.971697411,55.5344,19.7526,11.1782,16.2853,1.295624269
8148.75,3.911090994,55.7669,21.6388,12.1731,17.89,1.335233173
7087.37,3.850485106,55.9468,23.6848,13.2626,19.6233,1.374469722
6164.23,3.789878835,56.1799,25.9602,14.4491,21.5674,1.414308034
5361.34,3.72927335,56.3727,28.4462,15.7532,23.686,1.454024259
4663.02,3.668667278,56.5852,31.123,17.1393,25.9786,1.493081453
4055.65,3.608060469,56.854,34.0254,18.6042,28.4888,1.531803239
3527.4,3.547454711,57.1047,37.2173,20.2129,31.25,1.570744863
3067.95,3.486848277,57.4064,40.7208,21.9354,34.3078,1.609816302
2668.35,3.426242794,57.628,44.5633,23.8598,37.6377,1.648977344
2320.79,3.365635844,57.9594,48.7525,25.8642,41.3262,1.687996891
2018.51,3.305030905,58.2292,53.3209,28.0747,45.3313,1.726897471
1755.6,3.244425572,58.5169,58.4514,30.5261,49.8471,1.766794918
1526.93,3.183819128,58.8827,64.1557,33.1551,54.9244,1.807235248
1328.04,3.123211156,59.11,70.4136,36.1498,60.4258,1.847656549
1155.06,3.062604544,59.3476,77.0363,39.2752,66.2725,1.886695416
1004.62,3.00200182,59.7637,84.6082,42.6059,73.0978,1.927412456
873.764,2.941394147,59.631,92.9781,47.0067,80.2203,1.968380667
759.956,2.880788448,60.1084,102.314,50.9896,88.7035,2.009935064
660.971,2.820182405,60.1264,112.591,56.0805,97.631,2.051503676
574.878,2.759575689,60.6113,123.736,60.7212,107.813,2.092496073
500,2.698970004,60.8039,135.866,66.2755,118.605,2.13311079
434.875,2.638364442,61.0795,149.66,72.3751,130.996,2.175105741
378.232,2.577758269,61.2378,164.863,79.3281,144.523,2.217123198
328.967,2.517152334,61.436,181.607,86.8336,159.502,2.259132584
286.118,2.456545181,61.6462,200.058,95.0104,176.057,2.301155923
248.851,2.39593939,61.8708,220.415,103.917,194.381,2.343241146
216.438,2.335333512,62.0139,242.886,113.976,214.483,2.385402483
188.247,2.274728064,62.0962,267.89,125.369,236.744,2.427956502
163.727,2.214120304,62.2962,295.367,137.316,261.506,2.470361972
142.402,2.153516089,62.459,326.49,150.963,289.492,2.513869884
123.854,2.092910037,62.4949,360.091,166.3,319.39,2.556412267
107.722,2.032304408,62.614,396.599,182.429,352.152,2.598351615
93.6909,1.971697411,62.7642,437.871,200.393,389.324,2.641346183
81.4875,1.911090994,62.7698,482.96,220.987,429.436,2.683911163
