PES0.45-3(5),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,56.7401,2.63065,1.44275,2.19973,0.42006307
43487.4,4.638363443,53.3629,3.08479,1.84083,2.47533,0.489225604
37823.2,4.577758269,51.7493,3.58914,2.22205,2.81858,0.554990399
32896.7,4.517152334,50.7874,4.14138,2.61818,3.20877,0.617145082
28611.8,4.456545181,48.1124,4.94384,3.30086,3.68047,0.694064407
24885.1,4.39593939,45.0859,5.87876,4.15067,4.16314,0.769285731
21643.8,4.335333512,47.6293,6.16293,4.15335,4.55318,0.789787235
18824.7,4.274728064,48.6983,6.65992,4.39571,5.00323,0.823469012
16372.7,4.214120304,49.2921,7.23712,4.72007,5.48606,0.859565774
14240.2,4.153516089,49.9984,7.86511,5.05576,6.02488,0.895704801
12385.4,4.092910037,50.3001,8.58568,5.48424,6.60583,0.933774698
10772.2,4.032304408,50.4761,9.34807,5.94912,7.21072,0.970721956
9369.09,3.971697411,50.747,10.1802,6.44149,7.88316,1.00775631
8148.75,3.911090994,50.9937,11.0735,6.96971,8.60494,1.04428491
7087.37,3.850485106,51.3042,12.0259,7.51841,9.3859,1.080117588
6164.23,3.789878835,51.5235,13.0778,8.13692,10.2381,1.116534691
5361.34,3.72927335,51.9641,14.1611,8.72542,11.1536,1.15109699
4663.02,3.668667278,52.2378,15.3918,9.42572,12.1681,1.187289412
4055.65,3.608060469,52.5186,16.7305,10.1806,13.2765,1.22350892
3527.4,3.547454711,52.796,18.1938,11.001,14.4912,1.259923416
3067.95,3.486848277,53.0925,19.7393,11.8539,15.7836,1.295331748
2668.35,3.426242794,53.3677,21.4475,12.7973,17.2113,1.331376676
2320.79,3.365635844,53.6575,23.2956,13.8052,18.7643,1.367273901
2018.51,3.305030905,53.9709,25.3384,14.904,20.4917,1.403779188
1755.6,3.244425572,54.155,27.5527,16.1347,22.3343,1.440164164
1526.93,3.183819128,54.4874,29.9902,17.4208,24.4117,1.476979362
1328.04,3.123211156,54.6175,32.6513,18.9061,26.6207,1.513900477
1155.06,3.062604544,54.8556,35.4949,20.4322,29.0243,1.550165957
1004.62,3.00200182,55.0826,38.6553,22.1262,31.6965,1.587209048
873.764,2.941394147,55.3456,42.111,23.9454,34.6404,1.624395555
759.956,2.880788448,55.4244,45.9606,26.0823,37.8429,1.66238569
660.971,2.820182405,55.5791,50.1591,28.3533,41.3766,1.700349735
574.878,2.759575689,55.731,54.6724,30.7849,45.1814,1.737768139
500,2.698970004,55.8292,59.6363,33.4954,49.3411,1.775510691
434.875,2.638364442,55.96,65.1088,36.4461,53.9522,1.813639691
378.232,2.577758269,56.0433,71.052,39.6872,58.9348,1.851576307
328.967,2.517152334,56.1288,77.5853,43.2404,64.4185,1.889779444
286.118,2.456545181,56.1827,84.6487,47.1109,70.3276,1.927620293
248.851,2.39593939,56.1636,92.4725,51.4909,76.8106,1.966012599
216.438,2.335333512,56.0862,102.339,57.0995,84.9289,2.010041169
188.247,2.274728064,55.9781,111.168,62.1996,92.1387,2.045979792
163.727,2.214120304,55.7683,116.382,65.4697,96.2213,2.065885816
142.402,2.153516089,55.6347,126.18,71.2243,104.156,2.100990523
123.854,2.092910037,55.2015,132.728,75.7467,108.991,2.12296255
107.722,2.032304408,55.0206,140.564,80.5826,115.172,2.147874107
93.6909,1.971697411,54.8982,151.127,86.9029,123.642,2.179342061
81.4875,1.911090994,54.6563,163.37,94.5065,133.261,2.213172309
70.8737,1.850485106,54.5112,176.157,102.267,143.432,2.245899906
61.6423,1.789878835,54.3288,190.959,111.354,155.131,2.280940132
53.6134,1.72927335,54.2651,206.858,120.812,167.912,2.315672321
46.6302,1.668667278,54.1239,224.206,131.392,181.671,2.350647231
40.5565,1.608060469,53.9754,242.959,142.892,196.497,2.385532991
35.274,1.547454711,53.8522,263.072,155.178,212.43,2.420074627
30.6795,1.486848277,53.7314,284.965,168.577,229.754,2.454791522
26.6835,1.426242794,53.6043,309.316,183.535,248.98,2.490402385
23.2079,1.365635844,53.4534,335.269,199.645,269.346,2.525393399
