Sartorius_CelluloseNitrate5-2(1),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,55.3993,2.97879,1.69152,2.45193,0.474039887
43487.4,4.638363443,57.6403,3.40062,1.82013,2.87252,0.531558105
37823.2,4.577758269,57.3363,4.11189,2.21921,3.46161,0.614041488
32896.7,4.517152334,56.9501,4.89471,2.66942,4.10272,0.689726966
28611.8,4.456545181,56.8205,5.72377,3.13241,4.79057,0.757682174
24885.1,4.39593939,56.7623,6.55934,3.59526,5.48626,0.816860143
21643.8,4.335333512,56.7411,7.45105,4.08633,6.23058,0.872217478
18824.7,4.274728064,56.7799,8.38839,4.59564,7.01749,0.923678614
16372.7,4.214120304,56.8088,9.41147,5.15217,7.87597,0.973657462
14240.2,4.153516089,56.8943,10.4826,5.72547,8.78094,1.020469014
12385.4,4.092910037,57.0943,11.6399,6.32349,9.7725,1.065949249
10772.2,4.032304408,57.3762,12.9024,6.95594,10.8667,1.110670502
9369.09,3.971697411,57.744,14.2367,7.59817,12.0396,1.153409334
8148.75,3.911090994,58.0155,15.7368,8.33563,13.3478,1.196916425
7087.37,3.850485106,58.2161,17.3786,9.15361,14.7725,1.240014787
6164.23,3.789878835,58.3945,19.1515,10.0367,16.3109,1.282202795
5361.34,3.72927335,58.6717,21.1156,10.9789,18.037,1.324603426
4663.02,3.668667278,58.9388,23.255,11.9985,19.9206,1.366516344
4055.65,3.608060469,59.0961,25.6292,13.1632,21.9907,1.40873505
3527.4,3.547454711,59.3368,28.1939,14.3786,24.2518,1.450155155
3067.95,3.486848277,59.5315,31.0454,15.742,26.7583,1.49199726
2668.35,3.426242794,59.7616,34.1632,17.2046,29.5149,1.533558543
2320.79,3.365635844,60.0192,37.6081,18.7931,32.5759,1.575281393
2018.51,3.305030905,60.1501,41.4129,20.6124,35.9188,1.617135644
1755.6,3.244425572,60.4128,45.6495,22.5393,39.697,1.659436025
1526.93,3.183819128,60.6093,50.2598,24.6656,43.791,1.701220756
1328.04,3.123211156,60.8663,55.3877,26.9655,48.3804,1.743413331
1155.06,3.062604544,61.1219,60.9666,29.4437,53.3854,1.785091976
1004.62,3.00200182,61.3804,67.2956,32.2341,59.0734,1.82798667
873.764,2.941394147,61.5569,73.8099,35.1546,64.9004,1.868114617
759.956,2.880788448,61.6264,81.7536,38.8509,71.9323,1.912506886
660.971,2.820182405,61.8029,90.1335,42.5886,79.4371,1.954886236
574.878,2.759575689,62.082,99.3305,46.5074,87.7703,1.997082622
500,2.698970004,62.2584,109.425,50.9355,96.8469,2.039116555
434.875,2.638364442,62.47,120.915,55.8885,107.223,2.08248018
378.232,2.577758269,62.6843,133.301,61.1711,118.437,2.124833407
328.967,2.517152334,62.831,147.265,67.2438,131.017,2.168099542
286.118,2.456545181,63.0021,162.696,73.8572,144.966,2.211376876
248.851,2.39593939,63.1923,179.822,81.0991,160.495,2.254842824
216.438,2.335333512,63.3676,198.886,89.1534,177.784,2.298604213
188.247,2.274728064,63.5248,219.922,98.0435,196.858,2.342268676
163.727,2.214120304,63.6904,243.062,107.731,217.884,2.385717067
142.402,2.153516089,63.8246,268.243,118.328,240.735,2.428528398
123.854,2.092910037,63.9519,297.316,130.559,267.116,2.473218281
107.722,2.032304408,64.2158,328.994,143.106,296.239,2.517187978
93.6909,1.971697411,64.4076,364.107,157.282,328.384,2.561229028
81.4875,1.911090994,64.4508,403.104,173.853,363.686,2.605417108
70.8737,1.850485106,64.6201,446.053,191.186,403.003,2.649386465
61.6423,1.789878835,64.9763,492.185,208.191,445.985,2.692128374
53.6134,1.72927335,65.1059,546.988,230.251,496.166,2.737977799
46.6302,1.668667278,65.2009,606.193,254.26,550.293,2.782610917
40.5565,1.608060469,65.4028,671.652,279.566,610.704,2.827144312
35.274,1.547454711,65.6689,743.543,306.347,677.501,2.871306089
30.6795,1.486848277,65.8976,822.814,336.011,751.079,2.915301673
26.6835,1.426242794,66.1598,913.712,369.311,835.751,2.960809329
23.2079,1.365635844,66.3973,1014.05,406.017,929.218,3.006059369
20.1851,1.305030905,66.6862,1126.72,445.92,1034.73,3.051816003
17.556,1.244425572,66.9623,1249.38,488.926,1149.73,3.09669455
15.2693,1.183819128,67.2514,1386.56,536.168,1278.7,3.141938667
13.2804,1.123211156,67.5771,1539.13,587.087,1422.77,3.187275303
11.5506,1.062604544,67.9145,1712.43,643.857,1586.78,3.233612828
10.0462,1.00200182,68.2314,1909.68,708.223,1773.5,3.2809606
8.73764,0.941394147,68.5994,2122.62,774.516,1976.27,3.326872252
7.59956,0.880788448,68.8279,2363.65,853.68,2204.1,3.373583168
6.60971,0.820182405,69.2362,2638.6,935.425,2467.22,3.421373558
5.74879,0.759576444,69.6636,2937.85,1021,2754.73,3.468029618
5,0.698970004,70.0114,3289.86,1124.59,3091.68,3.517177417
4.34874,0.638363443,70.3921,3666.16,1230.29,3453.57,3.564211415
3.78232,0.577758269,70.7432,4110.36,1355.61,3880.38,3.613879861
3.28967,0.517152334,71.0071,4605.88,1498.99,4355.13,3.663312619
