I-16-1,,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,13.103,17.2522,16.8031,3.91113,1.236844484
43487.4,4.638363443,14.2535,16.7139,16.1994,4.11516,1.223077799
37823.2,4.577758269,15.5456,16.5509,15.9454,4.43573,1.218821615
32896.7,4.517152334,17.0275,16.2806,15.5669,4.76747,1.211670406
28611.8,4.456545181,18.3607,16.3012,15.4714,5.13486,1.212219576
24885.1,4.39593939,19.5468,16.6095,15.6523,5.55716,1.220356559
21643.8,4.335333512,20.7736,16.9517,15.8497,6.01239,1.229213258
18824.7,4.274728064,21.9402,17.4103,16.1494,6.50515,1.240806255
16372.7,4.214120304,23.0504,18.0127,16.5746,7.05271,1.255578816
14240.2,4.153516089,24.108,18.6707,17.0422,7.62619,1.271160601
12385.4,4.092910037,25.2011,19.437,17.587,8.2762,1.288629235
10772.2,4.032304408,26.382,20.2183,18.1126,8.98407,1.305744636
9369.09,3.971697411,26.4367,21.9253,19.6325,9.76136,1.340945544
8148.75,3.911090994,28.0296,22.5698,19.9225,10.6062,1.353527711
7087.37,3.850485106,29.4603,23.4565,20.4235,11.5364,1.370263211
6164.23,3.789878835,30.7432,24.5154,21.0702,12.5321,1.389438984
5361.34,3.72927335,31.2987,26.1927,22.3809,13.6071,1.418180269
4663.02,3.668667278,32.6119,27.3783,23.0618,14.7554,1.437406478
4055.65,3.608060469,34.1752,28.5681,23.635,16.0474,1.455881357
3527.4,3.547454711,35.3498,30.1604,24.5999,17.4498,1.479437097
3067.95,3.486848277,36.4419,31.8936,25.6571,18.945,1.503703543
2668.35,3.426242794,37.5543,33.7647,26.7678,20.58,1.528462895
2320.79,3.365635844,38.5726,35.8662,28.0409,22.3628,1.554685366
2018.51,3.305030905,39.5509,38.2295,29.4772,24.3432,1.582398618
1755.6,3.244425572,40.4294,40.6886,30.9724,26.387,1.609472747
1526.93,3.183819128,41.3179,43.412,32.6049,28.6622,1.637609794
1328.04,3.123211156,42.157,46.436,34.4234,31.1662,1.666854803
1155.06,3.062604544,42.9144,49.5988,36.3247,33.7721,1.695471169
1004.62,3.00200182,43.7125,53.1456,38.4145,36.7258,1.725467314
873.764,2.941394147,44.3606,56.9407,40.71,39.8114,1.755422802
759.956,2.880788448,45.0596,60.903,43.0201,43.1097,1.784638686
660.971,2.820182405,45.755,65.4406,45.6597,46.8792,1.815847273
574.878,2.759575689,46.3291,70.257,48.5135,50.8181,1.846689601
500,2.698970004,46.8926,75.3519,51.4931,55.0124,1.877094208
434.875,2.638364442,47.4192,81.0337,54.8297,59.6671,1.908665669
378.232,2.577758269,47.9153,87.1426,58.4055,64.6733,1.940230513
328.967,2.517152334,48.4222,93.7636,62.225,70.1403,1.972034273
286.118,2.456545181,48.9294,100.874,66.2728,76.0487,2.003779242
248.851,2.39593939,49.3603,108.696,70.7936,82.4806,2.036213562
216.438,2.335333512,49.7752,117.169,75.6665,89.4605,2.068812723
188.247,2.274728064,50.1249,126.438,81.0614,97.034,2.101877618
163.727,2.214120304,50.474,136.443,86.8365,105.244,2.13495126
142.402,2.153516089,50.8329,147.159,92.9432,114.093,2.167786828
123.854,2.092910037,51.2362,159.109,99.6202,124.063,2.201694746
107.722,2.032304408,51.5774,171.981,106.879,134.738,2.23548047
93.6909,1.971697411,51.9227,185.983,114.7,146.402,2.269473249
81.4875,1.911090994,52.1685,201.06,123.319,158.801,2.303325678
70.8737,1.850485106,52.5315,217.354,132.222,172.511,2.337167637
61.6423,1.789878835,52.9025,235.067,141.786,187.492,2.371191665
53.6134,1.72927335,53.2413,255.15,152.694,204.417,2.406795573
46.6302,1.668667278,53.6486,276.746,164.037,222.89,2.442081352
40.5565,1.608060469,54.0175,300.245,176.406,242.957,2.477475784
35.274,1.547454711,54.4989,327.222,190.024,266.392,2.514842495
30.6795,1.486848277,54.8853,356.21,204.897,291.381,2.551706107
26.6835,1.426242794,55.3643,388.558,220.84,319.699,2.589455855
23.2079,1.365635844,55.9605,428.381,239.793,354.979,2.6318302
20.1851,1.305030905,56.4442,469.186,259.342,390.995,2.671345045
17.556,1.244425572,56.8737,510.925,279.214,427.883,2.708357154
15.2693,1.183819128,57.2626,557.102,301.275,468.611,2.745934718
13.2804,1.123211156,57.6555,608.273,325.431,513.897,2.784098539
11.5506,1.062604544,58.0415,664.275,351.604,563.592,2.822347908
10.0462,1.00200182,58.3749,727.832,381.645,619.747,2.862031146
8.73764,0.941394147,58.688,795.822,413.588,679.91,2.900815941
7.59956,0.880788448,58.9899,871.207,448.836,746.691,2.940121356
6.60971,0.820182405,59.2601,956.413,488.862,822.034,2.980645471
5.74879,0.759576444,59.4736,1047.48,532.051,902.293,3.02014574
5,0.698970004,59.6267,1150.45,581.705,992.553,3.060867748
4.34874,0.638363443,59.6954,1260.11,635.848,1087.92,3.100408458
3.78232,0.577758269,59.659,1383.41,698.825,1193.93,3.140950911
3.28967,0.517152334,59.6875,1522.34,768.351,1314.22,3.182511659
2.86118,0.456545181,59.6701,1672.57,844.613,1443.65,3.223384303
2.48851,0.39593939,59.5198,1839.79,933.217,1585.54,3.264768254
2.16438,0.335333512,59.2506,2020.56,1033.08,1736.49,3.305471751
1.88247,0.274728064,59.1468,2213.16,1135,1899.97,3.345012812
1.63727,0.214120304,58.6403,2445.73,1272.78,2088.45,3.388408511
1.42402,0.153516089,58.3065,2683.12,1409.65,2282.99,3.428640097
1.23854,0.092910037,57.9155,2943.73,1563.62,2494.12,3.468897974
1.07722,0.032304408,57.1078,3247.79,1763.74,2727.15,3.51158794
0.936909,-0.028302589,56.3981,3563.04,1971.86,2967.67,3.551820698
0.814875,-0.088909006,55.1846,3900.53,2226.95,3202.32,3.591123623
0.708737,-0.149514894,54.1327,4274.48,2504.46,3463.94,3.630883289
0.616423,-0.210121165,53.2897,4657.85,2784.32,3734.05,3.668185499
0.536134,-0.27072665,52.1744,5083.01,3117.21,4014.97,3.706120964
0.466302,-0.331332722,50.9667,5545.66,3492.5,4307.76,3.74395324
0.405565,-0.391939531,49.7584,6010.13,3882.62,4587.69,3.778883866
0.35274,-0.452545289,48.5998,6516.21,4309.26,4887.87,3.813995072
0.306795,-0.513151723,47.1468,7015.82,4771.62,5143.29,3.846078438
0.266835,-0.573757206,45.7364,7551.51,5270.65,5407.91,3.878033802
0.232079,-0.634364156,44.3322,8102.12,5795.45,5661.9,3.908598671
0.201851,-0.694969095,42.8669,8623.16,6320.22,5866.32,3.935666444
