Sartorius_CelluloseNitrate0.45-2(2),,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,37.0091,2.61532,2.08843,1.57427,0.417524835
43487.4,4.638363443,40.966,2.59368,1.95848,1.70044,0.413916393
37823.2,4.577758269,42.1723,2.89593,2.14626,1.94422,0.46178806
32896.7,4.517152334,43.2888,3.23066,2.35162,2.21519,0.509291255
28611.8,4.456545181,44.3325,3.60802,2.5808,2.52136,0.557268936
24885.1,4.39593939,44.7187,4.0787,2.8982,2.86988,0.610521763
21643.8,4.335333512,45.5777,4.50743,3.15493,3.21921,0.653928991
18824.7,4.274728064,46.4018,4.984,3.43696,3.60938,0.697578034
16372.7,4.214120304,47.0311,5.48329,3.73742,4.01226,0.739041215
14240.2,4.153516089,47.4792,6.042,4.08353,4.45315,0.781180721
12385.4,4.092910037,48.3115,6.60238,4.39111,4.93048,0.819700517
10772.2,4.032304408,48.9684,7.25156,4.76047,5.47019,0.860431445
9369.09,3.971697411,49.5049,7.93812,5.15489,6.03663,0.89971766
8148.75,3.911090994,50.0102,8.67532,5.5752,6.64668,0.938285503
7087.37,3.850485106,50.5186,9.46785,6.01992,7.30758,0.976251369
6164.23,3.789878835,50.9694,10.3339,6.50761,8.02745,1.014264255
5361.34,3.72927335,51.4739,11.2724,7.02126,8.81869,1.052016391
4663.02,3.668667278,51.9265,12.2685,7.56566,9.65802,1.088791467
4055.65,3.608060469,52.3155,13.3556,8.16444,10.5695,1.125663403
3527.4,3.547454711,52.7133,14.5453,8.8116,11.5724,1.162722683
3067.95,3.486848277,53.1951,15.9004,9.52581,12.7311,1.20140805
2668.35,3.426242794,53.6434,17.4449,10.3415,14.0491,1.241668484
2320.79,3.365635844,54.0351,19.0146,11.1671,15.39,1.279087194
2018.51,3.305030905,54.4422,20.7773,12.0825,16.9029,1.317589111
1755.6,3.244425572,54.7914,22.6601,13.0648,18.5146,1.355261822
1526.93,3.183819128,55.1329,24.7023,14.1217,20.2677,1.392737392
1328.04,3.123211156,55.5154,26.9596,15.2641,22.2222,1.430713444
1155.06,3.062604544,55.8803,29.4245,16.5049,24.3596,1.468709092
1004.62,3.00200182,56.132,32.1011,17.8894,26.6543,1.506519915
873.764,2.941394147,56.4621,35.0108,19.3431,29.1822,1.544202035
759.956,2.880788448,56.7902,38.2812,20.9669,32.0287,1.582985543
660.971,2.820182405,57.0196,41.89,22.8029,35.1397,1.62211036
574.878,2.759575689,57.3567,45.8305,24.7213,38.5914,1.661154595
500,2.698970004,57.6126,50.0943,26.8326,42.3019,1.699788312
434.875,2.638364442,57.9103,54.817,29.1213,46.442,1.738915264
378.232,2.577758269,58.1748,59.9727,31.6254,50.9565,1.777953601
328.967,2.517152334,58.4214,65.6704,34.3894,55.9461,1.817369662
