PW-3,,,,,,
freq / Hz,Log(f / Hz),neg. Phase / бу,Z / Ohm,Z' / Ohm,Z'' / Ohm,Log(Z / Ohm)
50000,4.698970004,12.455,13.497,13.1793,2.91094,1.130237248
43487.4,4.638363443,13.0816,13.8704,13.5105,3.13941,1.142088986
37823.2,4.577758269,13.7445,14.1364,13.7316,3.35871,1.150338825
32896.7,4.517152334,14.5167,14.2171,13.7632,3.56369,1.152811018
28611.8,4.456545181,15.2601,14.4106,13.9025,3.7929,1.158682063
24885.1,4.39593939,15.2155,15.4588,14.9169,4.05717,1.189175778
21643.8,4.335333512,15.9183,15.7047,15.1025,4.30728,1.196029645
18824.7,4.274728064,16.588,16.0415,15.3739,4.57965,1.205244976
16372.7,4.214120304,17.2124,16.5023,15.7632,4.88327,1.217544478
14240.2,4.153516089,18.1716,16.7126,15.8791,5.21206,1.223044019
12385.4,4.092910037,19.1021,17.0233,16.0859,5.57091,1.231043753
10772.2,4.032304408,19.928,17.5338,16.4839,5.97621,1.243876048
9369.09,3.971697411,20.7913,18.0985,16.9199,6.42433,1.257642582
8148.75,3.911090994,21.6832,18.7064,17.3827,6.91153,1.271990217
7087.37,3.850485106,22.5716,19.3704,17.8866,7.43508,1.287138589
6164.23,3.789878835,23.5017,20.093,18.4262,8.01259,1.303044784
5361.34,3.72927335,24.4636,20.8514,18.9794,8.63487,1.31913522
4663.02,3.668667278,25.4909,21.6933,19.5815,9.33611,1.336325622
4055.65,3.608060469,26.4873,22.6243,20.2495,10.0904,1.354575151
3527.4,3.547454711,27.4849,23.6035,20.9394,10.8933,1.372976406
3067.95,3.486848277,28.4967,24.7252,21.7296,11.7966,1.393139813
2668.35,3.426242794,29.5487,25.8695,22.5048,12.7579,1.412788035
2320.79,3.365635844,30.5956,27.1821,23.3979,13.835,1.434283006
2018.51,3.305030905,31.6454,28.582,24.3322,14.9959,1.456092615
1755.6,3.244425572,32.5842,30.1202,25.3793,16.2209,1.478857851
1526.93,3.183819128,33.6176,31.7528,26.4422,17.5798,1.501782028
1328.04,3.123211156,34.5415,33.5732,27.6547,19.0361,1.525992738
1155.06,3.062604544,35.4238,35.5629,28.9797,20.613,1.550997169
1004.62,3.00200182,36.3368,37.7261,30.3901,22.3539,1.576641912
873.764,2.941394147,37.1983,40.103,31.944,24.2453,1.603176862
759.956,2.880788448,37.9636,42.6074,33.5917,26.2104,1.629485033
660.971,2.820182405,38.7608,45.4122,35.4109,28.4313,1.657172542
574.878,2.759575689,39.442,48.4201,37.3933,30.7611,1.685025682
500,2.698970004,40.0261,51.6909,39.5824,33.2443,1.713414094
434.875,2.638364442,40.603,55.2787,41.9696,35.9762,1.742557821
378.232,2.577758269,41.1576,59.088,44.4875,38.8877,1.77149929
328.967,2.517152334,41.6398,63.2766,47.289,42.0438,1.801243135
286.118,2.456545181,42.0784,67.7009,50.2495,45.3696,1.830594442
248.851,2.39593939,42.428,72.5024,53.5159,48.9147,1.860352383
216.438,2.335333512,42.7622,77.665,57.02,52.7312,1.890225347
188.247,2.274728064,43.0467,83.208,60.8083,56.7973,1.920165083
163.727,2.214120304,43.2536,89.1527,64.9324,61.09,1.9501345
142.402,2.153516089,43.5189,95.5334,69.2758,65.7837,1.980155234
123.854,2.092910037,43.6578,102.405,74.0873,70.695,2.010321162
107.722,2.032304408,43.8076,109.589,79.0867,75.8616,2.039766964
93.6909,1.971697411,43.9457,117.556,84.6399,81.5809,2.0702448
81.4875,1.911090994,43.9155,125.857,90.6626,87.294,2.099877375
70.8737,1.850485106,44.0692,134.794,96.8492,93.7525,2.129670561
61.6423,1.789878835,44.2081,144.175,103.347,100.529,2.15888996
53.6134,1.72927335,44.3234,154.562,110.575,107.994,2.189102729
46.6302,1.668667278,44.4284,165.439,118.144,115.81,2.218637896
40.5565,1.608060469,44.5846,177.108,126.139,124.323,2.248238179
35.274,1.547454711,44.7251,189.18,134.41,133.127,2.276875221
30.6795,1.486848277,44.8882,202.281,143.313,142.755,2.305955092
26.6835,1.426242794,45.0492,216.542,152.986,153.25,2.335542144
23.2079,1.365635844,45.3024,231.92,163.125,164.856,2.365338202
20.1851,1.305030905,45.517,248.434,174.077,177.247,2.395211032
17.556,1.244425572,45.7173,265.912,185.66,190.368,2.424737936
15.2693,1.183819128,45.99,284.721,197.819,204.777,2.4544195
13.2804,1.123211156,46.2345,305.048,211.004,220.298,2.484368182
11.5506,1.062604544,46.5042,327.274,225.263,237.413,2.514911505
10.0462,1.00200182,46.8305,351.23,240.297,256.164,2.545591604
8.73764,0.941394147,47.1265,376.994,256.5,276.283,2.576334438
7.59956,0.880788448,47.3719,404.472,273.923,297.596,2.606888462
6.60971,0.820182405,47.8623,436.024,292.535,323.327,2.639510395
5.74879,0.759576444,48.122,467.132,311.833,347.812,2.669439619
5,0.698970004,48.4881,503.239,333.535,376.835,2.701774291
4.34874,0.638363443,48.9343,541.193,355.523,408.036,2.733352171
3.78232,0.577758269,49.3954,583.259,379.605,442.821,2.765861449
3.28967,0.517152334,49.7865,629.197,406.233,480.483,2.798786643
2.86118,0.456545181,50.2139,679.566,434.87,522.205,2.832231642
2.48851,0.39593939,50.6038,736.153,467.222,568.881,2.866968086
2.16438,0.335333512,51.0335,795.948,500.544,618.861,2.900884696
1.88247,0.274728064,51.5157,860.081,535.229,673.253,2.934539354
1.63727,0.214120304,51.6805,933.822,579.013,732.644,2.970264101
1.42402,0.153516089,52.0862,1011.91,621.795,798.335,3.005141888
1.23854,0.092910037,52.3966,1102.31,672.621,873.31,3.042303747
1.07722,0.032304408,52.4956,1204.95,733.603,955.898,3.080969026
0.936909,-0.028302589,52.949,1305.07,786.339,1041.58,3.115633807
0.814875,-0.088909006,52.685,1421.86,861.925,1130.82,3.152856837
0.708737,-0.149514894,52.4551,1552.13,945.843,1230.65,3.190928093
0.616423,-0.210121165,52.4257,1691.59,1031.51,1340.69,3.228295109
0.536134,-0.27072665,52.4385,1848.14,1126.65,1465.02,3.266734867
0.466302,-0.331332722,52.0788,2021.39,1242.3,1594.58,3.305650113
0.405565,-0.391939531,52.2863,2202.85,1347.52,1742.62,3.342984925
0.35274,-0.452545289,51.4061,2397.26,1495.4,1873.66,3.379715139
0.306795,-0.513151723,51.1275,2611.23,1638.78,2032.96,3.416845127
0.266835,-0.573757206,50.498,2841.11,1807.25,2192.21,3.453488049
0.232079,-0.634364156,49.6966,3094,2001.3,2359.58,3.490520309
0.201851,-0.694969095,48.8395,3362.95,2213.4,2531.86,3.52672041
0.17556,-0.755574428,47.7778,3644.46,2449.1,2698.88,3.561633188
0.152693,-0.816180872,46.6814,3935.33,2699.85,2863.15,3.594981156
0.132804,-0.876788844,45.803,4263.07,2971.9,3056.4,3.629722464
0.115506,-0.937395456,44.1505,4574.79,3282.47,3186.55,3.660371163
0.100462,-0.99799818,42.7614,4908.98,3604.11,3332.94,3.690991263
0.0873764,-1.058605853,41.2272,5293.13,3980.97,3488.42,3.72371256
0.0759956,-1.119211552,39.4451,5682.33,4388.09,3610.21,3.754526452
0.0660971,-1.179817595,37.7758,6031.31,4767.22,3694.62,3.780411651
0.0574878,-1.240424311,35.8539,6430.89,5212.32,3766.7,3.808271081
0.05,-1.301029996,34.2572,6802.35,5622.27,3829.1,3.832658974
