I-16-2,,I-16-3,,I-16-1,,PES0.45-1(5),,PES0.45-2(5),,PES0.45-3(5),,PVDF0.2-1(3),,PVDF0.2-2(3),,PVDF0.2-3(3),,PVDF0.45-1(4),,PVDF0.45-2(4),,PVDF0.45-3(4),,PVDF5-1(6),,PVDF5-2(6),,PVDF5-3(6),,PW-1,,PW-2,,PW-3,,Sartorius_CelluloseNitrate0.45-1(2),,Sartorius_CelluloseNitrate0.45-2(2),,Sartorius_CelluloseNitrate0.45-3(2),,Sartorius_CelluloseNitrate5-1(1),,Sartorius_CelluloseNitrate5-2(1),,Sartorius_CelluloseNitrate5-3(1),
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-1.00004,-1345.23,-1.00004,-1301.22,-1.00004,-884.751,-1.00004,-1716.98,-1.00004,-1795.37,-1.00004,-1937.99,-1.00004,-1048.35,-1.00004,-2234.68,-1.00004,-1965.03,-1.00004,-1752.12,-1.00004,-1789.51,-1.00004,-1577.93,-1.00004,-1019.17,-1.00004,-868.968,-1.00004,-1033.62,-1.00004,-1289.83,-1.00004,-753,-1.00004,-1149.54,-1.00004,-1958.74,-1.00004,-2082.38,-1.00004,-2124.1,-1.00004,-1257.02,-1.00004,-937.823,-1.00004,-1282.29
-0.990043,-1289.16,-0.990043,-1246.05,-0.990043,-854.472,-0.990043,-1665.34,-0.990043,-1730.66,-0.990043,-1868.18,-0.990043,-1004.53,-0.990043,-2149.8,-0.990043,-1887.88,-0.990043,-1686.03,-0.990043,-1724.18,-0.990043,-1517.18,-0.990043,-973.252,-0.990043,-832.299,-0.990043,-988.034,-0.990043,-1258.21,-0.990043,-725.916,-0.990043,-1097.52,-0.990043,-1882.25,-0.990043,-2007.95,-0.990043,-2046.85,-0.990043,-1196.84,-0.990043,-893.954,-0.990043,-1220.45
-0.980042,-1238.99,-0.980042,-1195.84,-0.980042,-825.337,-0.980042,-1613.89,-0.980042,-1671.49,-0.980042,-1804.24,-0.980042,-969.867,-0.980042,-2073.22,-0.980042,-1819.21,-0.980042,-1623.47,-0.980042,-1662.19,-0.980042,-1462.3,-0.980042,-933.674,-0.980042,-798.204,-0.980042,-947.217,-0.980042,-1214.34,-0.980042,-700.453,-0.980042,-1060.32,-0.980042,-1811.96,-0.980042,-1940.42,-0.980042,-1976.95,-0.980042,-1140.1,-0.980042,-853.327,-0.980042,-1161.84
-0.970043,-1190.83,-0.970043,-1147.63,-0.970043,-796.965,-0.970043,-1549.94,-0.970043,-1604.4,-0.970043,-1746.69,-0.970043,-936.44,-0.970043,-2000.17,-0.970043,-1753.93,-0.970043,-1563.1,-0.970043,-1604.97,-0.970043,-1410.94,-0.970043,-893.048,-0.970043,-766.781,-0.970043,-908.497,-0.970043,-1158.07,-0.970043,-675.991,-0.970043,-1016.07,-0.970043,-1741.87,-0.970043,-1876.43,-0.970043,-1909.43,-0.970043,-1085.69,-0.970043,-813.988,-0.970043,-1109.63
-0.960043,-1144.77,-0.960043,-1097.85,-0.960043,-768.259,-0.960043,-1496.54,-0.960043,-1548.65,-0.960043,-1689.85,-0.960043,-904.015,-0.960043,-1929.89,-0.960043,-1691.42,-0.960043,-1500.21,-0.960043,-1548.75,-0.960043,-1362.4,-0.960043,-852.183,-0.960043,-733.831,-0.960043,-871.399,-0.960043,-1120.93,-0.960043,-653.77,-0.960043,-972.346,-0.960043,-1672.15,-0.960043,-1814.59,-0.960043,-1844.34,-0.960043,-1031.9,-0.960043,-774.076,-0.960043,-1055.84
-0.950043,-1097.56,-0.950043,-1048.35,-0.950043,-738.123,-0.950043,-1441.17,-0.950043,-1495.63,-0.950043,-1634.34,-0.950043,-870.303,-0.950043,-1859.17,-0.950043,-1628.91,-0.950043,-1437.12,-0.950043,-1492.67,-0.950043,-1312.43,-0.950043,-810.888,-0.950043,-698.259,-0.950043,-833.968,-0.950043,-1076.44,-0.950043,-630.167,-0.950043,-945.93,-0.950043,-1600.49,-0.950043,-1752.41,-0.950043,-1778.54,-0.950043,-977.353,-0.950043,-731.543,-0.950043,-1003.96
-0.940042,-1050.02,-0.940042,-999.288,-0.940042,-708.225,-0.940042,-1386.67,-0.940042,-1436.6,-0.940042,-1578.27,-0.940042,-836.638,-0.940042,-1788.74,-0.940042,-1566.77,-0.940042,-1372.94,-0.940042,-1436.36,-0.940042,-1263.12,-0.940042,-767.83,-0.940042,-660.875,-0.940042,-796.536,-0.940042,-1032.05,-0.940042,-606.277,-0.940042,-898.388,-0.940042,-1526.86,-0.940042,-1689.99,-0.940042,-1712.83,-0.940042,-922.135,-0.940042,-687.149,-0.940042,-950.603
-0.930042,-1002.43,-0.930042,-947.837,-0.930042,-677.469,-0.930042,-1331.84,-0.930042,-1371.65,-0.930042,-1519.28,-0.930042,-805.357,-0.930042,-1717.84,-0.930042,-1504.45,-0.930042,-1305.61,-0.930042,-1379.95,-0.930042,-1213.82,-0.930042,-723.913,-0.930042,-620.534,-0.930042,-758.913,-0.930042,-986.365,-0.930042,-582.054,-0.930042,-854.71,-0.930042,-1452.57,-0.930042,-1626.19,-0.930042,-1647.41,-0.930042,-866.059,-0.930042,-640.991,-0.930042,-898.245
-0.920043,-953.273,-0.920043,-897.816,-0.920043,-645.997,-0.920043,-1271.94,-0.920043,-1316.05,-0.920043,-1466.59,-0.920043,-772.026,-0.920043,-1645.88,-0.920043,-1441.84,-0.920043,-1236.23,-0.920043,-1323.44,-0.920043,-1164.13,-0.920043,-679.042,-0.920043,-578.144,-0.920043,-721.1,-0.920043,-934.247,-0.920043,-557.115,-0.920043,-788.763,-0.920043,-1377.23,-0.920043,-1562.2,-0.920043,-1581.7,-0.920043,-810.125,-0.920043,-593.116,-0.920043,-843.791
