Concentration,Heating,Thickness,Elastic Modulus,Yield Strength,Plateau Slope,Densification Slope,Changepoint,Fit
9.99,False,105.0,32.93346058301236,[15.30860664],581.4854869356495,2988.814454007073,0.6568093527004667,False
9.99,False,156.0,102.69237906552988,[40.72836432],112.66489548836292,1785.6391246872297,0.641778019402508,True
9.99,False,130.0,51.04745621827881,[28.38129579],57.86511108973247,1530.8238269595638,0.922208263413797,True
9.99,False,62.0,2.210491706348625,[1.59572889],9.01772564464019,1383.8095317347136,1.4722090238082362,False
9.99,False,76.0,17.809140768986172,[11.29381108],287.94478654588886,3456.5969075281027,0.9434429343453826,False
9.99,False,76.0,19.869897538300197,[18.8849143],284.5825480851414,3081.0764149059623,1.125806898904769,False
9.99,False,120.0,63.93358400085063,[20.36366475],87.90291142201369,1497.0584515868354,0.7225447243282143,False
9.99,False,98.0,28.413177291232817,[10.74947956],25.58839406349904,1704.665628897519,0.9068276789574146,True
9.99,False,86.0,23.06959654918484,[21.16548428],271.271695812888,1963.1919599695364,1.179778352504063,False
9.99,False,99.0,28.228542860697093,[23.24759972],88.21810261935612,2019.1567004167252,1.0246892901154665,False
9.99,False,121.0,62.145474236252745,[11.96817321],67.45143917698324,1053.2321978304117,0.75690105791329,True
9.99,False,119.0,68.82457057101959,[8.64960086],47.06795420346212,1043.9858600761493,0.690277726556442,True
9.99,False,113.0,77.51937494631511,[6.23681711],47.04089529750911,1149.6416972277939,0.6381982225303426,True
9.99,False,118.0,48.993217823344146,[14.62225457],61.68396315989837,1684.4401499083842,0.7388454457724511,False
9.99,False,149.0,94.50050932386118,[44.90765737],151.96699342304314,1562.1464036353655,0.6957112992966649,False
9.99,False,74.0,14.292620251031487,[3.98816115],22.45760425279427,1295.9825512235602,1.0419605096284081,False
9.99,False,142.0,40.11929287495187,[4.08219085],47.95081366127447,1453.240109709542,0.9183746812617151,True
9.99,False,76.0,17.144890427751477,[7.32720971],23.400977289320146,911.0414040139542,1.200559188171934,False
9.99,False,105.0,9.774049695755956,[1.87049563],19.013281824082732,1432.6616626214395,0.8143750935874645,False
9.99,False,117.0,24.116558818402414,[22.495486],81.47598887115616,2152.9732199563623,1.0951950637722476,False
10.0,True,92.76079999999999,21.905809267285022,[3.00264825],19.59554988122446,1367.3284528996503,0.8797760128765894,True
10.0,True,94.9452,25.198608946885003,[3.10863303],19.547530262178903,1466.4228333003489,0.8483994700763442,True
10.0,True,91.44,22.01254787671758,[2.52599997],19.309995775199837,1392.9490434782344,0.8429338948860136,True
10.0,True,94.615,20.160039624559975,[2.46611018],20.880055741735102,1359.1954053932661,0.8469722040584169,True
11.63,True,116.0,61.360981292036406,[23.34656355],51.365923937129004,1539.5338377186972,0.6027109467965978,True
11.63,True,125.0,98.69083100280965,[39.64839041],48.92591899850621,1587.2317684662926,0.5417527196520342,True
11.63,True,115.0,87.1374247535215,[33.97043724],50.56309639798335,1698.264129167572,0.523386752168451,True
11.63,True,116.0,103.347425277445,[43.68479264],52.382067542662476,1601.2917906086748,0.5398662451373596,True
